col_1,col_2,col_3,col_4,col_5,order,division
,Torri Douglas,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,2,12
Torri Douglas,9,21,21,19,3,12
Kyle Shenandoah,,6,20,19,4,12
Marisa Piccarreto,,,5,18,5,12
Kyle J Sampson,,,,2,6,12
Total,33,28,27,22,7,12
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,14
,Marisa Piccarreto,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,2,14
Marisa Piccarreto,7,74,66,67,3,14
Torri Douglas,,6,67,67,4,14
Kyle Shenandoah,,,4,66,5,14
Kyle J Sampson,,,,0,6,14
Total,81,81,71,67,7,14
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,15
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,15
Torri Douglas,7,49,48,46,3,15
Marisa Piccarreto,,5,46,45,4,15
Kyle J Sampson,,,3,46,5,15
Kyle Shenandoah,,,,2,6,15
Total,59,54,52,49,7,15
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,16
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,16
Torri Douglas,15,19,17,16,3,16
Marisa Piccarreto,,4,17,17,4,16
Kyle J Sampson,,,6,16,5,16
Kyle Shenandoah,,,,5,6,16
Total,34,24,23,22,7,16
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,17
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,2,17
Torri Douglas,10,27,27,28,3,17
Kyle J Sampson,,11,26,27,4,17
Kyle Shenandoah,,,7,26,5,17
Marisa Piccarreto,,,,2,6,17
Total,39,38,34,30,7,17
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,19
,Marisa Piccarreto,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,2,19
Marisa Piccarreto,2,19,17,18,3,19
Torri Douglas,,0,17,17,4,19
Kyle J Sampson,,,1,17,5,19
Kyle Shenandoah,,,,0,6,19
Total,22,19,18,18,7,19
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,20
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,20
Torri Douglas,5,17,15,15,3,20
Marisa Piccarreto,,2,15,15,4,20
Kyle J Sampson,,,0,15,5,20
Kyle Shenandoah,,,,0,6,20
Total,22,19,15,15,7,20
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,21
,Kyle Shenandoah,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,2,21
Kyle Shenandoah,1,11,10,10,3,21
Torri Douglas,,1,10,10,4,21
Kyle J Sampson,,,0,9,5,21
Marisa Piccarreto,,,,0,6,21
Total,12,12,10,10,7,21
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,22
,Marisa Piccarreto,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,2,22
Marisa Piccarreto,1,22,22,22,3,22
Torri Douglas,,1,22,22,4,22
Kyle J Sampson,,,0,22,5,22
Kyle Shenandoah,,,,0,6,22
Total,23,23,22,22,7,22
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,23
,Marisa Piccarreto,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,2,23
Marisa Piccarreto,14,112,99,98,3,23
Torri Douglas,,4,97,97,4,23
Kyle Shenandoah,,,2,97,5,23
Kyle J Sampson,,,,1,6,23
Total,128,116,101,99,7,23
