col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,order,division
Jon Geeting,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,9
Judi Golding Baker,,,,,,,,,,,0,0,0,0,0,0,0,0,13,9
Mariel J K Martin,,,,,,,,,,,,0,0,0,0,0,0,0,14,9
Marylouise Isaacson,,,,,,,,,,,,,0,0,0,0,0,0,15,9
Matthew D Myers,,,,,,,,,,,,,,0,0,0,0,0,16,9
Micah Mahjoubian,,,,,,,,,,,,,,,0,0,0,0,17,9
Noam Kugelmass,,,,,,,,,,,,,,,,0,0,0,18,9
Rhea Powell,,,,,,,,,,,,,,,,,0,0,19,9
Tom Young,,,,,,,,,,,,,,,,,,0,20,9
Total,34,30,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,10
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,10
Nina Ahmad,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
John Fetterman,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
Mike Stack,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
Kathi Cozzone,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10
Ray Sosa,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
Amanda Mcillmurray,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10
Andi Perez,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,10
Darrell L Clarke,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,10
Joe Celentano,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11,10
Jon Geeting,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,10
Judi Golding Baker,,,,,,,,,,,0,0,0,0,0,0,0,0,13,10
Mariel J K Martin,,,,,,,,,,,,0,0,0,0,0,0,0,14,10
Marylouise Isaacson,,,,,,,,,,,,,0,0,0,0,0,0,15,10
Matthew D Myers,,,,,,,,,,,,,,0,0,0,0,0,16,10
Micah Mahjoubian,,,,,,,,,,,,,,,0,0,0,0,17,10
Noam Kugelmass,,,,,,,,,,,,,,,,0,0,0,18,10
Rhea Powell,,,,,,,,,,,,,,,,,0,0,19,10
Tom Young,,,,,,,,,,,,,,,,,,0,20,10
Total,24,21,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,11
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,11
Nina Ahmad,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
John Fetterman,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
Mike Stack,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
Kathi Cozzone,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
Ray Sosa,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
Amanda Mcillmurray,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11
Andi Perez,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,11
Darrell L Clarke,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,11
Joe Celentano,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11,11
Jon Geeting,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,11
Judi Golding Baker,,,,,,,,,,,0,0,0,0,0,0,0,0,13,11
Mariel J K Martin,,,,,,,,,,,,0,0,0,0,0,0,0,14,11
Marylouise Isaacson,,,,,,,,,,,,,0,0,0,0,0,0,15,11
Matthew D Myers,,,,,,,,,,,,,,0,0,0,0,0,16,11
Micah Mahjoubian,,,,,,,,,,,,,,,0,0,0,0,17,11
Noam Kugelmass,,,,,,,,,,,,,,,,0,0,0,18,11
Rhea Powell,,,,,,,,,,,,,,,,,0,0,19,11
Tom Young,,,,,,,,,,,,,,,,,,0,20,11
Total,37,29,24,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,12
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,12
Nina Ahmad,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
John Fetterman,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
Mike Stack,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
Kathi Cozzone,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12
Ray Sosa,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12
Amanda Mcillmurray,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12
Andi Perez,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,12
Darrell L Clarke,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,12
Joe Celentano,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11,12
Jon Geeting,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,12
Judi Golding Baker,,,,,,,,,,,0,0,0,0,0,0,0,0,13,12
Mariel J K Martin,,,,,,,,,,,,0,0,0,0,0,0,0,14,12
Marylouise Isaacson,,,,,,,,,,,,,0,0,0,0,0,0,15,12
Matthew D Myers,,,,,,,,,,,,,,0,0,0,0,0,16,12
Micah Mahjoubian,,,,,,,,,,,,,,,0,0,0,0,17,12
Noam Kugelmass,,,,,,,,,,,,,,,,0,0,0,18,12
Rhea Powell,,,,,,,,,,,,,,,,,0,0,19,12
Tom Young,,,,,,,,,,,,,,,,,,0,20,12
Total,19,16,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,13
,John Fetterman,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,13
John Fetterman,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
Mike Stack,,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13
Nina Ahmad,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13
Kathi Cozzone,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13
Ray Sosa,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13
Amanda Mcillmurray,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13
Andi Perez,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,13
Darrell L Clarke,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,13
Joe Celentano,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11,13
Jon Geeting,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,13
Judi Golding Baker,,,,,,,,,,,0,0,0,0,0,0,0,0,13,13
Mariel J K Martin,,,,,,,,,,,,0,0,0,0,0,0,0,14,13
Marylouise Isaacson,,,,,,,,,,,,,0,0,0,0,0,0,15,13
Matthew D Myers,,,,,,,,,,,,,,0,0,0,0,0,16,13
Micah Mahjoubian,,,,,,,,,,,,,,,0,0,0,0,17,13
