To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
,Lou Barletta,Jim Christiana,Write In,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,0,23
Lou Barletta,1,0,0,3,2,1,0,0,23
Jim Christiana,,1,0,1,1,0,0,0,23
Write In,,,1,0,0,0,0,0,23
Diana Irey Vaughan,,,,1,0,0,0,0,23
Kathy Coder,,,,,1,0,0,0,23
Jeff Bartos,,,,,,1,0,0,23
Peg Luksik,,,,,,,2,0,23
Total,10,6,1,7,6,4,2,0,23
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,24
Jim Christiana,2,0,0,4,3,0,0,0,24
Lou Barletta,,2,0,0,0,0,0,0,24
Write In,,,1,0,0,0,0,0,24
Kathy Coder,,,,1,0,0,0,0,24
Diana Irey Vaughan,,,,,1,0,0,0,24
Jeff Bartos,,,,,,1,0,0,24
Peg Luksik,,,,,,,1,0,24
Total,12,5,1,7,5,3,2,0,24
,Lou Barletta,Jim Christiana,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,25
Lou Barletta,3,0,0,1,0,0,0,0,25
Jim Christiana,,1,0,0,0,0,0,0,25
Write In,,,1,0,0,0,0,0,25
Kathy Coder,,,,1,0,0,0,0,25
Diana Irey Vaughan,,,,,1,0,0,0,25
Jeff Bartos,,,,,,1,0,0,25
Peg Luksik,,,,,,,1,0,25
Total,6,4,1,4,3,2,1,0,25
,Lou Barletta,Jim Christiana,Write In,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,0,26
Lou Barletta,1,0,0,4,1,1,0,0,26
Jim Christiana,,1,0,1,1,0,0,0,26
Write In,,,1,0,0,0,0,0,26
Kathy Coder,,,,1,0,0,0,0,26
Jeff Bartos,,,,,1,0,0,0,26
Diana Irey Vaughan,,,,,,1,0,0,26
Peg Luksik,,,,,,,1,0,26
Total,10,6,1,8,5,4,1,0,26
,Jim Christiana,Lou Barletta,Write In,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Kathy Coder,0,27
Jim Christiana,2,0,0,1,0,2,0,0,27
Lou Barletta,,1,0,0,1,0,1,0,27
Write In,,,1,0,0,0,0,0,27
Diana Irey Vaughan,,,,1,0,0,0,0,27
Jeff Bartos,,,,,1,0,0,0,27
Peg Luksik,,,,,,1,0,0,27
Kathy Coder,,,,,,,1,0,27
Total,8,6,1,4,4,4,3,0,27
,Lou Barletta,Jim Christiana,Write In,Peg Luksik,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,0,28
Lou Barletta,2,0,0,0,0,0,0,0,28
Jim Christiana,,2,0,0,0,0,0,0,28
Write In,,,1,0,0,0,0,0,28
Peg Luksik,,,,2,0,0,0,0,28
Diana Irey Vaughan,,,,,2,0,0,0,28
Kathy Coder,,,,,,1,0,0,28
Jeff Bartos,,,,,,,1,0,28
Total,4,2,1,3,2,2,1,0,28
,Jim Christiana,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Lou Barletta,Write In,0,29
Kathy Coder,2,0,0,3,0,2,0,0,29
Diana Irey Vaughan,2,1,0,,0,0,0,0,29
Jeff Bartos,0,,1,,0,0,0,0,29
Peg Luksik,0,,,,1,0,0,0,29
Jim Christiana,1,,,,,0,0,0,29
Lou Barletta,,,,,,2,0,0,29
Write In,,,,,,,1,0,29
Total,7,4,1,9,1,5,1,0,29
,Jim Christiana,Lou Barletta,Write In,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,0,30
Jim Christiana,2,0,0,2,2,2,0,0,30
Lou Barletta,,2,0,3,2,1,0,0,30
Write In,,,1,0,0,0,0,0,30
Diana Irey Vaughan,,,,1,0,0,0,0,30
Kathy Coder,,,,,1,0,0,0,30
Jeff Bartos,,,,,,1,0,0,30
Peg Luksik,,,,,,,1,0,30
Total,11,11,1,8,7,6,1,0,30
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,0,31
Jim Christiana,1,0,0,4,1,0,0,0,31
Lou Barletta,,1,0,0,1,1,0,0,31
Write In,,,1,0,0,0,0,0,31
Kathy Coder,,,,1,0,0,0,0,31
Jeff Bartos,,,,,2,0,0,0,31
Diana Irey Vaughan,,,,,,1,0,0,31
Peg Luksik,,,,,,,1,0,31
Total,8,6,1,7,6,3,1,0,31
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,0,32
Jim Christiana,3,0,0,7,1,0,0,0,32
Lou Barletta,,3,0,2,1,0,1,0,32
Write In,,,1,0,0,0,0,0,32
Kathy Coder,,,,1,0,0,0,0,32
Jeff Bartos,,,,,1,0,0,0,32
Diana Irey Vaughan,,,,,,2,0,0,32
Peg Luksik,,,,,,,1,0,32
Total,14,11,1,12,5,4,3,0,32
,Jim Christiana,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Lou Barletta,Write In,0,33
Kathy Coder,4,0,0,2,0,3,0,0,33
Diana Irey Vaughan,0,1,0,,0,1,0,0,33
Jeff Bartos,1,,1,,0,0,0,0,33
Peg Luksik,0,,,,1,0,0,0,33
Jim Christiana,1,,,,,0,0,0,33
Lou Barletta,,,,,,2,0,0,33
Write In,,,,,,,1,0,33
Total,9,4,3,11,1,8,1,0,33
,Jim Christiana,Lou Barletta,Write In,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,0,34
Jim Christiana,2,0,0,0,0,0,0,0,34
Lou Barletta,,1,0,0,0,0,0,0,34
Write In,,,1,0,0,0,0,0,34
Jeff Bartos,,,,2,0,0,0,0,34
Kathy Coder,,,,,2,0,0,0,34
Diana Irey Vaughan,,,,,,1,0,0,34
Peg Luksik,,,,,,,1,0,34
Total,4,2,1,3,3,2,1,0,34
,Lou Barletta,Jim Christiana,Write In,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,0,35
Lou Barletta,2,0,0,1,0,0,0,0,35
Jim Christiana,,1,0,0,1,0,0,0,35
Write In,,,1,0,0,0,0,0,35
Diana Irey Vaughan,,,,1,0,0,0,0,35
Kathy Coder,,,,,1,0,0,0,35
Jeff Bartos,,,,,,1,0,0,35
Peg Luksik,,,,,,,1,0,35
Total,6,4,1,4,4,2,1,0,35
,Jim Christiana,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Lou Barletta,Write In,0,36
Jeff Bartos,1,0,0,1,0,1,0,0,36
Kathy Coder,0,1,0,,0,0,0,0,36
Diana Irey Vaughan,0,,1,,0,0,0,0,36
Peg Luksik,0,,,,1,0,0,0,36
Jim Christiana,1,,,,,0,0,0,36
Lou Barletta,,,,,,2,0,0,36
Write In,,,,,,,1,0,36
Total,4,2,1,5,1,4,1,0,36
,Lou Barletta,Jim Christiana,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,37
Lou Barletta,4,0,0,3,4,1,0,0,37
Jim Christiana,,1,0,3,0,0,0,0,37
Write In,,,1,0,0,0,0,0,37
Kathy Coder,,,,1,0,0,0,0,37
Diana Irey Vaughan,,,,,1,0,0,0,37
Jeff Bartos,,,,,,1,0,0,37
Peg Luksik,,,,,,,1,0,37
Total,15,7,1,9,7,4,1,0,37
,Jim Christiana,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Lou Barletta,Write In,0,38
Kathy Coder,4,0,0,2,0,4,0,0,38
Diana Irey Vaughan,1,1,0,,0,2,0,0,38
Jeff Bartos,1,,1,,0,0,0,0,38
Peg Luksik,0,,,,1,0,0,0,38
Jim Christiana,2,,,,,0,0,0,38
Lou Barletta,,,,,,2,0,0,38
Write In,,,,,,,1,0,38
Total,11,6,4,12,1,11,1,0,38
,Jim Christiana,Lou Barletta,Write In,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,0,39
Jim Christiana,4,0,0,2,0,0,0,0,39
Lou Barletta,,1,0,0,2,0,0,0,39
Write In,,,1,0,0,0,0,0,39
Diana Irey Vaughan,,,,2,0,0,0,0,39
Jeff Bartos,,,,,1,0,0,0,39
Kathy Coder,,,,,,2,0,0,39
Peg Luksik,,,,,,,1,0,39
Total,7,6,1,6,4,3,1,0,39
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,40
Jim Christiana,2,0,0,1,0,0,0,0,40
Lou Barletta,,1,0,0,0,0,0,0,40
Write In,,,1,0,0,0,0,0,40
Kathy Coder,,,,1,0,0,0,0,40
Diana Irey Vaughan,,,,,1,0,0,0,40
Jeff Bartos,,,,,,1,0,0,40
Peg Luksik,,,,,,,1,0,40
Total,5,1,1,3,2,1,1,0,40
,Jim Christiana,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Lou Barletta,Write In,0,41
Kathy Coder,2,0,0,5,0,0,0,0,41
Diana Irey Vaughan,2,2,0,,0,0,0,0,41
Jeff Bartos,0,,1,,0,0,0,0,41
Peg Luksik,0,,,,1,0,0,0,41
Jim Christiana,1,,,,,0,0,0,41
Lou Barletta,,,,,,3,0,0,41
Write In,,,,,,,1,0,41
Total,8,5,3,9,1,5,1,0,41
