col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,order,division
Total,31,20,19,18,18,16,15,14,11,28,19,14,18
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,19
,James Harrity,Mona Getzes Cohen,Billy Cortes,Meagan Ingerson,Richard Lombardo,Erica Vanstone,Frank T Brzozowski,Catherine Bartch,Marnie Aument Loughrey,Brendan F Boyle,Michele Lawrence,2,19
James Harrity,2,20,20,18,19,18,17,16,16,23,14,3,19
Mona Getzes Cohen,,1,10,17,10,9,8,6,6,8,14,4,19
Billy Cortes,,,0,8,20,18,18,17,16,17,4,5,19
Meagan Ingerson,,,,1,8,7,7,4,5,8,13,6,19
Richard Lombardo,,,,,0,20,19,15,15,16,5,7,19
Erica Vanstone,,,,,,0,17,16,14,14,6,8,19
Frank T Brzozowski,,,,,,,0,13,16,17,3,9,19
Catherine Bartch,,,,,,,,0,15,13,4,10,19
Marnie Aument Loughrey,,,,,,,,,0,15,3,11,19
Brendan F Boyle,,,,,,,,,,6,0,12,19
Michele Lawrence,,,,,,,,,,,2,13,19
Total,40,24,22,22,22,21,20,18,18,35,18,14,19
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,20
,Brendan F Boyle,Michele Lawrence,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Billy Cortes,Frank T Brzozowski,Catherine Bartch,Marnie Aument Loughrey,2,20
Brendan F Boyle,3,0,26,13,10,14,14,13,15,12,11,3,20
Michele Lawrence,,0,10,15,14,5,3,3,1,3,3,4,20
James Harrity,,,1,19,14,17,17,16,17,14,14,5,20
Meagan Ingerson,,,,0,15,8,8,6,6,5,4,6,20
Mona Getzes Cohen,,,,,1,7,5,5,4,4,3,7,20
Erica Vanstone,,,,,,0,16,16,15,15,13,8,20
Richard Lombardo,,,,,,,0,15,16,13,12,9,20
Billy Cortes,,,,,,,,0,15,13,13,10,20
Frank T Brzozowski,,,,,,,,,0,12,12,11,20
Catherine Bartch,,,,,,,,,,0,13,12,20
Marnie Aument Loughrey,,,,,,,,,,,0,13,20
Total,39,22,39,29,25,20,18,17,17,16,15,14,20
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,21
,James Harrity,Richard Lombardo,Erica Vanstone,Marnie Aument Loughrey,Meagan Ingerson,Frank T Brzozowski,Mona Getzes Cohen,Catherine Bartch,Billy Cortes,Brendan F Boyle,Michele Lawrence,2,21
James Harrity,1,27,26,26,18,24,15,22,21,36,17,3,21
Richard Lombardo,,0,26,21,12,22,11,20,19,21,8,4,21
Erica Vanstone,,,0,22,11,23,9,20,18,20,7,5,21
Marnie Aument Loughrey,,,,0,10,22,5,19,18,19,7,6,21
Meagan Ingerson,,,,,2,10,15,8,6,12,11,7,21
Frank T Brzozowski,,,,,,0,5,18,15,18,6,8,21
Mona Getzes Cohen,,,,,,,1,5,4,12,10,9,21
Catherine Bartch,,,,,,,,0,19,19,3,10,21
Billy Cortes,,,,,,,,,0,15,6,11,21
Brendan F Boyle,,,,,,,,,,3,0,12,21
Michele Lawrence,,,,,,,,,,,2,13,21
Total,57,31,29,28,27,26,25,23,22,50,25,14,21
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,22
,Brendan F Boyle,Michele Lawrence,Erica Vanstone,Frank T Brzozowski,James Harrity,Richard Lombardo,Catherine Bartch,Mona Getzes Cohen,Billy Cortes,Marnie Aument Loughrey,Meagan Ingerson,2,22
Brendan F Boyle,3,0,9,8,8,9,8,6,7,8,5,3,22
Michele Lawrence,,0,1,1,1,1,1,3,1,0,0,4,22
Erica Vanstone,,,0,9,8,9,9,3,8,7,2,5,22
Frank T Brzozowski,,,,0,8,8,7,1,7,7,2,6,22
James Harrity,,,,,0,7,7,1,7,6,1,7,22
Richard Lombardo,,,,,,0,8,2,8,7,2,8,22
Catherine Bartch,,,,,,,0,3,8,7,1,9,22
Mona Getzes Cohen,,,,,,,,0,2,1,2,10,22
Billy Cortes,,,,,,,,,0,7,1,11,22
Marnie Aument Loughrey,,,,,,,,,,0,2,12,22
Meagan Ingerson,,,,,,,,,,,1,13,22
Total,21,3,11,10,10,10,9,9,8,8,7,14,22
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,23
,Brendan F Boyle,Michele Lawrence,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Marnie Aument Loughrey,Billy Cortes,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,Richard Lombardo,2,23
Brendan F Boyle,1,0,11,5,6,5,5,5,4,5,5,3,23
Michele Lawrence,,3,4,8,6,3,2,2,3,2,0,4,23
James Harrity,,,0,8,8,7,6,6,6,7,5,5,23
Mona Getzes Cohen,,,,1,9,3,1,2,3,2,0,6,23
Meagan Ingerson,,,,,0,3,1,2,3,2,0,7,23
Marnie Aument Loughrey,,,,,,0,6,7,7,7,5,8,23
Billy Cortes,,,,,,,0,5,5,6,5,9,23
Catherine Bartch,,,,,,,,0,6,6,5,10,23
Erica Vanstone,,,,,,,,,0,6,4,11,23
Frank T Brzozowski,,,,,,,,,,0,5,12,23
Richard Lombardo,,,,,,,,,,,0,13,23
Total,15,13,15,14,12,8,7,7,7,7,5,14,23
