col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,order,division
Dan Tinney,,,,,,,0,0,9,3
Joseph Giedemann,,,,,,,,0,10,3
Total,3,1,0,2,1,0,0,0,11,3
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,5
,Scott R Wagner,Laura Ellsworth,Paul Mango,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,2,5
Scott R Wagner,1,0,0,0,0,0,0,0,3,5
Laura Ellsworth,,0,0,0,0,0,0,0,4,5
Paul Mango,,,0,0,0,0,0,0,5,5
Camille G Mccolgan,,,,0,0,0,0,0,6,5
Dan Tinney,,,,,0,0,0,0,7,5
Joseph Giedemann,,,,,,0,0,0,8,5
Linwood Holland,,,,,,,0,0,9,5
Margaret L Recupido,,,,,,,,0,10,5
Total,1,0,0,0,0,0,0,0,11,5
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,6
,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Scott R Wagner,Paul Mango,Laura Ellsworth,2,6
Linwood Holland,0,0,0,0,0,2,1,0,3,6
Camille G Mccolgan,,0,0,0,0,0,0,0,4,6
Dan Tinney,,,0,0,0,0,0,0,5,6
Joseph Giedemann,,,,0,0,0,0,0,6,6
Margaret L Recupido,,,,,0,0,0,0,7,6
Scott R Wagner,,,,,,1,0,0,8,6
Paul Mango,,,,,,,0,0,9,6
Laura Ellsworth,,,,,,,,0,10,6
Total,3,0,0,0,0,3,1,0,11,6
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,7
,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Laura Ellsworth,Paul Mango,Scott R Wagner,2,7
Linwood Holland,0,3,3,3,3,2,1,1,3,7
Camille G Mccolgan,,0,2,2,2,1,1,1,4,7
Dan Tinney,,,0,2,2,2,1,0,5,7
Joseph Giedemann,,,,0,2,1,1,1,6,7
Margaret L Recupido,,,,,0,2,0,1,7,7
Laura Ellsworth,,,,,,0,0,0,8,7
Paul Mango,,,,,,,0,0,9,7
Scott R Wagner,,,,,,,,0,10,7
Total,4,3,3,3,3,2,1,1,11,7
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,8
,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Paul Mango,Scott R Wagner,Laura Ellsworth,2,8
Linwood Holland,0,0,0,0,0,0,2,0,3,8
Camille G Mccolgan,,0,0,0,0,0,0,0,4,8
Dan Tinney,,,0,0,0,0,0,0,5,8
Joseph Giedemann,,,,0,0,0,0,0,6,8
Margaret L Recupido,,,,,0,0,0,0,7,8
Paul Mango,,,,,,2,0,0,8,8
Scott R Wagner,,,,,,,0,0,9,8
Laura Ellsworth,,,,,,,,0,10,8
Total,2,0,0,0,0,2,2,0,11,8
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,9
,Camille G Mccolgan,Dan Tinney,Linwood Holland,Margaret L Recupido,Joseph Giedemann,Scott R Wagner,Laura Ellsworth,Paul Mango,2,9
Camille G Mccolgan,0,2,1,1,0,2,0,0,3,9
Dan Tinney,,0,1,1,0,2,0,0,4,9
Linwood Holland,,,0,1,0,1,0,0,5,9
Margaret L Recupido,,,,0,0,1,0,0,6,9
Joseph Giedemann,,,,,0,0,0,0,7,9
Scott R Wagner,,,,,,0,0,0,8,9
Laura Ellsworth,,,,,,,0,0,9,9
Paul Mango,,,,,,,,0,10,9
Total,2,2,1,1,0,2,0,0,11,9
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,10
,Paul Mango,Laura Ellsworth,Scott R Wagner,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,2,10
Paul Mango,1,0,0,0,0,0,0,0,3,10
Laura Ellsworth,,0,0,0,0,0,0,0,4,10
Scott R Wagner,,,0,0,0,0,0,0,5,10
Camille G Mccolgan,,,,0,0,0,0,0,6,10
Dan Tinney,,,,,0,0,0,0,7,10
Joseph Giedemann,,,,,,0,0,0,8,10
Linwood Holland,,,,,,,0,0,9,10
Margaret L Recupido,,,,,,,,0,10,10
Total,1,0,0,0,0,0,0,0,11,10
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,11
,Dan Tinney,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Laura Ellsworth,Paul Mango,Scott R Wagner,2,11
Dan Tinney,0,1,0,0,0,1,0,0,3,11
Margaret L Recupido,,0,0,0,0,1,0,0,4,11
Camille G Mccolgan,,,0,0,0,0,0,0,5,11
Joseph Giedemann,,,,0,0,0,0,0,6,11
Linwood Holland,,,,,0,0,0,0,7,11
Laura Ellsworth,,,,,,0,0,0,8,11
Paul Mango,,,,,,,0,0,9,11
Scott R Wagner,,,,,,,,0,10,11
Total,1,1,0,0,0,1,0,0,11,11
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,14
,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Laura Ellsworth,Paul Mango,Scott R Wagner,2,14
Camille G Mccolgan,0,0,0,0,0,1,1,0,3,14
Dan Tinney,,0,1,0,0,0,0,1,4,14
Joseph Giedemann,,,0,0,0,0,0,1,5,14
Linwood Holland,,,,0,0,0,0,0,6,14
Margaret L Recupido,,,,,0,0,0,0,7,14
Laura Ellsworth,,,,,,0,0,0,8,14
Paul Mango,,,,,,,0,0,9,14
Scott R Wagner,,,,,,,,0,10,14
Total,2,1,1,0,0,1,1,1,11,14
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,15
,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Joseph Giedemann,Dan Tinney,Paul Mango,Scott R Wagner,Laura Ellsworth,2,15
Camille G Mccolgan,0,4,4,1,0,3,2,0,3,15
Linwood Holland,,0,4,1,0,2,2,0,4,15
Margaret L Recupido,,,0,1,0,2,2,0,5,15
Joseph Giedemann,,,,0,0,0,1,0,6,15
Dan Tinney,,,,,0,0,0,0,7,15
Paul Mango,,,,,,0,0,0,8,15
Scott R Wagner,,,,,,,0,0,9,15
Laura Ellsworth,,,,,,,,0,10,15
Total,5,4,4,1,0,3,2,0,11,15
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,16
,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,Linwood Holland,Paul Mango,Scott R Wagner,Laura Ellsworth,2,16
Camille G Mccolgan,0,1,0,0,0,0,1,0,3,16
Margaret L Recupido,,0,0,0,0,0,1,0,4,16
Dan Tinney,,,0,0,0,0,0,0,5,16
Joseph Giedemann,,,,0,0,0,0,0,6,16
Linwood Holland,,,,,0,0,0,0,7,16
Paul Mango,,,,,,1,0,0,8,16
Scott R Wagner,,,,,,,0,0,9,16
Laura Ellsworth,,,,,,,,0,10,16
Total,1,1,0,0,0,1,1,0,11,16
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,17
,Scott R Wagner,Laura Ellsworth,Paul Mango,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,2,17
Scott R Wagner,1,0,0,2,0,0,0,0,3,17
Laura Ellsworth,,0,0,0,0,0,0,0,4,17
Paul Mango,,,0,0,0,0,0,0,5,17
Linwood Holland,,,,0,0,0,0,0,6,17
Camille G Mccolgan,,,,,0,0,0,0,7,17
Dan Tinney,,,,,,0,0,0,8,17
Joseph Giedemann,,,,,,,0,0,9,17
Margaret L Recupido,,,,,,,,0,10,17
Total,3,0,0,2,0,0,0,0,11,17
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,18
,Dan Tinney,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Joseph Giedemann,Paul Mango,Scott R Wagner,Laura Ellsworth,2,18
Dan Tinney,0,2,2,2,1,2,1,0,3,18
Camille G Mccolgan,,0,2,1,1,2,0,0,4,18
Linwood Holland,,,0,1,1,2,0,0,5,18
Margaret L Recupido,,,,0,0,1,1,0,6,18
Joseph Giedemann,,,,,0,1,0,0,7,18
Paul Mango,,,,,,0,0,0,8,18
Scott R Wagner,,,,,,,0,0,9,18
Laura Ellsworth,,,,,,,,0,10,18
Total,3,2,2,2,1,2,1,0,11,18
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,20
,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Dan Tinney,Joseph Giedemann,Scott R Wagner,Laura Ellsworth,Paul Mango,2,20
Camille G Mccolgan,0,1,1,0,0,1,0,0,3,20
Linwood Holland,,0,1,0,0,1,0,0,4,20
Margaret L Recupido,,,0,0,0,1,0,0,5,20
Dan Tinney,,,,0,0,0,0,0,6,20
Joseph Giedemann,,,,,0,0,0,0,7,20
Scott R Wagner,,,,,,0,0,0,8,20
Laura Ellsworth,,,,,,,0,0,9,20
Paul Mango,,,,,,,,0,10,20
Total,1,1,1,0,0,1,0,0,11,20
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,22
,Laura Ellsworth,Paul Mango,Scott R Wagner,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Dan Tinney,2,22
Laura Ellsworth,0,0,0,1,1,1,1,0,3,22
Paul Mango,,0,0,0,0,0,0,0,4,22
Scott R Wagner,,,0,0,0,0,0,0,5,22
Camille G Mccolgan,,,,0,0,1,1,0,6,22
Joseph Giedemann,,,,,0,0,0,0,7,22
Linwood Holland,,,,,,0,1,0,8,22
Margaret L Recupido,,,,,,,0,0,9,22
Dan Tinney,,,,,,,,0,10,22
Total,2,0,0,1,1,1,1,0,11,22
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,24
,Linwood Holland,Camille G Mccolgan,Dan Tinney,Margaret L Recupido,Joseph Giedemann,Scott R Wagner,Laura Ellsworth,Paul Mango,2,24
Linwood Holland,0,3,2,2,1,2,2,0,3,24
Camille G Mccolgan,,0,2,2,1,1,2,0,4,24
Dan Tinney,,,0,1,1,1,1,0,5,24
Margaret L Recupido,,,,0,0,0,2,0,6,24
Joseph Giedemann,,,,,0,1,0,0,7,24
Scott R Wagner,,,,,,1,0,0,8,24
Laura Ellsworth,,,,,,,0,0,9,24
Paul Mango,,,,,,,,0,10,24
Total,4,3,2,2,1,3,2,0,11,24
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,25
,Camille G Mccolgan,Margaret L Recupido,Linwood Holland,Dan Tinney,Joseph Giedemann,Laura Ellsworth,Paul Mango,Scott R Wagner,2,25
Camille G Mccolgan,0,1,1,0,0,1,1,0,3,25
Margaret L Recupido,,0,1,0,0,2,0,0,4,25
Linwood Holland,,,0,0,0,1,0,0,5,25
Dan Tinney,,,,0,0,0,0,0,6,25
Joseph Giedemann,,,,,0,0,0,0,7,25
Laura Ellsworth,,,,,,0,0,0,8,25
Paul Mango,,,,,,,0,0,9,25
Scott R Wagner,,,,,,,,0,10,25
Total,2,2,1,0,0,2,1,0,11,25
