col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
David Torres,2,16,15,13,9,5,3,28
Camille G Mccolgan,,0,10,11,6,4,4,28
Linwood Holland,,,0,9,4,3,5,28
Margaret L Recupido,,,,0,4,3,6,28
Joseph Giedemann,,,,,0,6,7,28
Dan Tinney,,,,,,0,8,28
Total,26,16,15,13,10,6,9,28
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,29
,David Torres,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Margaret L Recupido,2,29
David Torres,5,26,26,21,19,22,3,29
Camille G Mccolgan,,0,19,12,13,21,4,29
Linwood Holland,,,0,9,11,16,5,29
Dan Tinney,,,,0,15,9,6,29
Joseph Giedemann,,,,,2,10,7,29
Margaret L Recupido,,,,,,0,8,29
Total,46,27,26,25,24,22,9,29
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,30
,David Torres,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,2,30
David Torres,0,7,6,7,6,5,3,30
Dan Tinney,,0,7,5,5,5,4,30
Joseph Giedemann,,,1,4,4,4,5,30
Margaret L Recupido,,,,0,3,3,6,30
Camille G Mccolgan,,,,,0,3,7,30
Linwood Holland,,,,,,0,8,30
Total,10,8,8,7,6,5,9,30
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,31
,David Torres,Camille G Mccolgan,Joseph Giedemann,Margaret L Recupido,Dan Tinney,Linwood Holland,2,31
David Torres,5,7,4,4,3,4,3,31
Camille G Mccolgan,,1,4,4,3,3,4,31
Joseph Giedemann,,,0,3,4,2,5,31
Margaret L Recupido,,,,0,2,3,6,31
Dan Tinney,,,,,0,1,7,31
Linwood Holland,,,,,,0,8,31
Total,14,9,5,5,4,4,9,31
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,32
,David Torres,Joseph Giedemann,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Linwood Holland,2,32
David Torres,0,6,5,4,3,3,3,32
Joseph Giedemann,,0,3,2,2,2,4,32
