col_1,col_2,col_3,col_4,col_5,col_6,order,division
Marisa Piccarreto,,,,0,0,6,5
Torri Douglas,,,,,0,7,5
Total,54,0,0,0,0,8,5
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,6
,Bob Casey Jr,Torri Douglas,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,2,6
Bob Casey Jr,9,40,38,38,33,3,6
Torri Douglas,,1,27,28,26,4,6
Kyle Shenandoah,,,1,31,27,5,6
Marisa Piccarreto,,,,1,27,6,6
Kyle J Sampson,,,,,0,7,6
Total,69,41,39,39,33,8,6
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,7
,Bob Casey Jr,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,7
Bob Casey Jr,17,47,45,36,36,3,7
Torri Douglas,,2,34,34,32,4,7
Marisa Piccarreto,,,1,34,33,5,7
Kyle J Sampson,,,,1,33,6,7
Kyle Shenandoah,,,,,0,7,7
Total,81,51,48,40,39,8,7
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,8
,Bob Casey Jr,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,2,8
Bob Casey Jr,23,50,48,45,42,3,8
Torri Douglas,,0,43,40,39,4,8
Marisa Piccarreto,,,1,40,39,5,8
Kyle Shenandoah,,,,2,39,6,8
Kyle J Sampson,,,,,0,7,8
Total,86,50,49,47,42,8,8
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,9
,Bob Casey Jr,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,2,9
Bob Casey Jr,3,30,25,26,20,3,9
Torri Douglas,,2,19,18,16,4,9
Marisa Piccarreto,,,1,20,18,5,9
Kyle Shenandoah,,,,0,19,6,9
Kyle J Sampson,,,,,0,7,9
Total,47,33,27,26,20,8,9
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,10
,Bob Casey Jr,Marisa Piccarreto,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,2,10
Bob Casey Jr,3,16,14,13,10,3,10
Marisa Piccarreto,,2,12,13,11,4,10
Torri Douglas,,,0,12,11,5,10
Kyle Shenandoah,,,,0,11,6,10
Kyle J Sampson,,,,,0,7,10
Total,23,19,15,14,11,8,10
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,11
,Bob Casey Jr,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,11
Bob Casey Jr,2,6,5,4,4,3,11
Torri Douglas,,0,3,3,3,4,11
Marisa Piccarreto,,,0,3,3,5,11
Kyle J Sampson,,,,0,3,6,11
Kyle Shenandoah,,,,,0,7,11
Total,12,6,5,4,4,8,11
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,12
,Bob Casey Jr,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,12
Bob Casey Jr,12,45,39,38,34,3,12
Torri Douglas,,0,34,32,29,4,12
Marisa Piccarreto,,,1,34,30,5,12
Kyle J Sampson,,,,0,31,6,12
Kyle Shenandoah,,,,,0,7,12
Total,68,45,40,38,34,8,12
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,13
,Bob Casey Jr,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,13
Bob Casey Jr,65,0,0,0,0,3,13
Kyle J Sampson,,0,0,0,0,4,13
Kyle Shenandoah,,,0,0,0,5,13
Marisa Piccarreto,,,,0,0,6,13
Torri Douglas,,,,,0,7,13
Total,65,0,0,0,0,8,13
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,14
,Bob Casey Jr,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,14
Bob Casey Jr,72,0,0,0,0,3,14
Kyle J Sampson,,0,0,0,0,4,14
Kyle Shenandoah,,,0,0,0,5,14
Marisa Piccarreto,,,,0,0,6,14
Torri Douglas,,,,,0,7,14
Total,72,0,0,0,0,8,14
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,15
,Bob Casey Jr,Marisa Piccarreto,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,2,15
Bob Casey Jr,10,44,44,36,35,3,15
Marisa Piccarreto,,0,36,35,34,4,15
Torri Douglas,,,0,33,35,5,15
Kyle Shenandoah,,,,0,32,6,15
Kyle J Sampson,,,,,0,7,15
Total,66,45,45,37,36,8,15
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,16
,Bob Casey Jr,Marisa Piccarreto,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,2,16
Bob Casey Jr,7,35,32,30,28,3,16
Marisa Piccarreto,,1,29,27,27,4,16
Torri Douglas,,,1,27,27,5,16
Kyle J Sampson,,,,1,27,6,16
Kyle Shenandoah,,,,,0,7,16
Total,49,36,33,31,28,8,16
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,17
,Bob Casey Jr,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,2,17
Bob Casey Jr,12,38,35,29,26,3,17
Torri Douglas,,0,29,26,26,4,17
Marisa Piccarreto,,,0,26,25,5,17
Kyle Shenandoah,,,,0,25,6,17
Kyle J Sampson,,,,,0,7,17
Total,58,38,35,29,26,8,17
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,18
,Bob Casey Jr,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,18
Bob Casey Jr,71,0,0,0,0,3,18
Kyle J Sampson,,0,0,0,0,4,18
Kyle Shenandoah,,,0,0,0,5,18
Marisa Piccarreto,,,,0,0,6,18
Torri Douglas,,,,,0,7,18
Total,71,0,0,0,0,8,18
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,19
,Bob Casey Jr,Marisa Piccarreto,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,2,19
Bob Casey Jr,2,14,13,8,6,3,19
Marisa Piccarreto,,2,9,7,6,4,19
Torri Douglas,,,2,7,6,5,19
Kyle J Sampson,,,,0,6,6,19
Kyle Shenandoah,,,,,0,7,19
Total,21,16,15,8,6,8,19
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,20
,Bob Casey Jr,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,20
Bob Casey Jr,106,0,0,0,0,3,20
Kyle J Sampson,,0,0,0,0,4,20
Kyle Shenandoah,,,0,0,0,5,20
Marisa Piccarreto,,,,0,0,6,20
Torri Douglas,,,,,0,7,20
Total,106,0,0,0,0,8,20
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,21
,Bob Casey Jr,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,21
Bob Casey Jr,43,66,50,52,46,3,21
Torri Douglas,,1,48,46,44,4,21
Marisa Piccarreto,,,2,44,43,5,21
Kyle J Sampson,,,,1,43,6,21
Kyle Shenandoah,,,,,1,7,21
Total,125,70,56,55,49,8,21
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,22
,Bob Casey Jr,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,Kyle J Sampson,2,22
Bob Casey Jr,2,10,8,8,7,3,22
Kyle Shenandoah,,0,8,7,7,4,22
Marisa Piccarreto,,,1,7,7,5,22
Torri Douglas,,,,0,7,6,22
Kyle J Sampson,,,,,0,7,22
Total,13,10,9,8,7,8,22
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,23
,Bob Casey Jr,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,Marisa Piccarreto,2,23
Bob Casey Jr,8,37,28,26,25,3,23
Torri Douglas,,0,26,26,25,4,23
Kyle Shenandoah,,,0,25,25,5,23
Kyle J Sampson,,,,0,24,6,23
Marisa Piccarreto,,,,,0,7,23
Total,50,38,29,27,26,8,23
