col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,order,division
Jaime Bouldin,,,,0,17,12,12,13,12,11,11,6,2
Humberto Perez,,,,,0,10,10,10,10,10,10,7,2
Barbara Carroll,,,,,,0,13,12,13,13,11,8,2
Robert Taylor,,,,,,,0,12,12,12,10,9,2
Sharon Vaughn,,,,,,,,0,12,11,11,10,2
Dustin Morris,,,,,,,,,0,12,11,11,2
Latrice Y Bryant,,,,,,,,,,0,10,12,2
Jonathan M Gary,,,,,,,,,,,0,13,2
Total,60,8,30,30,24,16,16,15,13,13,11,14,2
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 3rd District - Democrat,,1,3
,Jaime Bouldin,Humberto Perez,David Rodriguez,Barbara Carroll,Jonathan M Gary,Latrice Y Bryant,Dustin Morris,Robert Taylor,Sharon Vaughn,Dwight Evans,Kevin Johnson,2,3
Jaime Bouldin,0,34,34,29,30,31,29,29,29,30,6,3,3
Humberto Perez,,1,33,28,29,29,29,29,28,25,5,4,3
David Rodriguez,,,1,27,29,29,28,28,27,22,6,5,3
Barbara Carroll,,,,0,29,29,28,28,28,22,6,6,3
Jonathan M Gary,,,,,0,30,29,29,28,20,7,7,3
Latrice Y Bryant,,,,,,0,29,29,29,21,6,8,3
Dustin Morris,,,,,,,0,29,28,20,5,9,3
Robert Taylor,,,,,,,,0,28,20,5,10,3
Sharon Vaughn,,,,,,,,,0,21,5,11,3
Dwight Evans,,,,,,,,,,4,0,12,3
Kevin Johnson,,,,,,,,,,,14,13,3
Total,42,37,35,32,31,31,29,29,29,38,21,14,3
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,4
,Dwight Evans,Kevin Johnson,Jaime Bouldin,Sharon Vaughn,Barbara Carroll,David Rodriguez,Dustin Morris,Humberto Perez,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,2,4
Dwight Evans,4,0,15,11,10,9,10,9,10,9,8,3,4
Kevin Johnson,,2,3,3,3,3,2,2,2,3,3,4,4
Jaime Bouldin,,,1,13,12,11,11,11,11,11,9,5,4
Sharon Vaughn,,,,0,13,10,11,10,12,12,10,6,4
Barbara Carroll,,,,,0,9,11,9,11,12,10,7,4
David Rodriguez,,,,,,0,9,10,10,9,8,8,4
Dustin Morris,,,,,,,0,9,10,10,9,9,4
Humberto Perez,,,,,,,,1,9,8,8,10,4
Jonathan M Gary,,,,,,,,,0,11,9,11,4
Latrice Y Bryant,,,,,,,,,,0,10,12,4
Robert Taylor,,,,,,,,,,,0,13,4
Total,21,6,19,14,13,12,12,12,12,12,11,14,4
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,5
,Dwight Evans,Kevin Johnson,Jaime Bouldin,David Rodriguez,Latrice Y Bryant,Humberto Perez,Sharon Vaughn,Barbara Carroll,Robert Taylor,Dustin Morris,Jonathan M Gary,2,5
Dwight Evans,5,0,15,14,9,10,9,8,8,9,7,3,5
Kevin Johnson,,0,3,2,5,3,3,3,3,1,2,4,5
Jaime Bouldin,,,1,12,9,12,10,9,9,8,8,5,5
David Rodriguez,,,,0,8,11,9,8,8,9,7,6,5
Latrice Y Bryant,,,,,1,8,9,9,9,8,8,7,5
Humberto Perez,,,,,,0,8,9,7,8,7,8,5
Sharon Vaughn,,,,,,,0,9,11,8,8,9,5
Barbara Carroll,,,,,,,,0,8,8,9,10,5
Robert Taylor,,,,,,,,,0,7,8,11,5
Dustin Morris,,,,,,,,,,0,7,12,5
Jonathan M Gary,,,,,,,,,,,0,13,5
Total,26,6,19,16,15,13,12,11,11,10,9,14,5
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,6
,Dwight Evans,Kevin Johnson,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Dustin Morris,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,2,6
Dwight Evans,11,0,25,21,19,16,15,13,14,13,12,3,6
Kevin Johnson,,5,8,6,7,5,5,4,3,3,3,4,6
Jaime Bouldin,,,0,22,23,19,20,16,17,15,14,5,6
David Rodriguez,,,,0,23,17,17,15,15,14,13,6,6
Humberto Perez,,,,,1,19,18,16,16,16,15,7,6
Barbara Carroll,,,,,,0,19,16,16,16,15,8,6
Sharon Vaughn,,,,,,,0,15,16,15,14,9,6
Dustin Morris,,,,,,,,0,14,13,13,10,6
Latrice Y Bryant,,,,,,,,,0,15,14,11,6
Robert Taylor,,,,,,,,,,0,15,12,6
Jonathan M Gary,,,,,,,,,,,0,13,6
Total,42,15,33,27,27,21,20,17,17,16,15,14,6
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,7
,Dwight Evans,Kevin Johnson,Jaime Bouldin,David Rodriguez,Humberto Perez,Sharon Vaughn,Barbara Carroll,Jonathan M Gary,Dustin Morris,Latrice Y Bryant,Robert Taylor,2,7
Dwight Evans,15,0,47,25,25,23,23,21,20,19,16,3,7
Kevin Johnson,,9,5,5,2,3,2,1,1,2,1,4,7
Jaime Bouldin,,,1,24,24,24,22,20,20,19,16,5,7
David Rodriguez,,,,0,23,22,21,19,20,20,16,6,7
Humberto Perez,,,,,0,22,20,21,21,19,17,7,7
Sharon Vaughn,,,,,,1,22,20,21,21,17,8,7
Barbara Carroll,,,,,,,0,19,19,19,16,9,7
Jonathan M Gary,,,,,,,,0,20,18,17,10,7
Dustin Morris,,,,,,,,,0,18,17,11,7
Latrice Y Bryant,,,,,,,,,,0,15,12,7
Robert Taylor,,,,,,,,,,,0,13,7
Total,69,16,53,30,27,27,25,22,21,21,17,14,7
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,8
,Dwight Evans,Kevin Johnson,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Latrice Y Bryant,Sharon Vaughn,Dustin Morris,Robert Taylor,Jonathan M Gary,2,8
Dwight Evans,13,0,29,26,24,13,15,13,12,12,10,3,8
Kevin Johnson,,4,11,12,10,8,6,7,7,5,5,4,8
Jaime Bouldin,,,1,25,24,18,16,15,16,16,15,5,8
David Rodriguez,,,,2,26,18,18,17,15,16,15,6,8
Humberto Perez,,,,,0,16,17,16,16,15,15,7,8
Barbara Carroll,,,,,,0,17,17,16,15,14,8,8
Latrice Y Bryant,,,,,,,0,17,16,15,14,9,8
Sharon Vaughn,,,,,,,,0,17,14,13,10,8
Dustin Morris,,,,,,,,,0,14,13,11,8
Robert Taylor,,,,,,,,,,0,14,12,8
Jonathan M Gary,,,,,,,,,,,0,13,8
Total,61,20,41,40,34,21,21,20,19,17,15,14,8
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,9
,Dwight Evans,Kevin Johnson,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Dustin Morris,Jonathan M Gary,2,9
Dwight Evans,10,0,50,33,31,18,17,16,14,11,9,3,9
Kevin Johnson,,6,9,11,6,5,5,5,3,4,3,4,9
Jaime Bouldin,,,2,33,28,18,16,16,15,14,13,5,9
David Rodriguez,,,,1,29,16,16,15,13,13,11,6,9
Humberto Perez,,,,,1,14,15,14,13,14,11,7,9
Barbara Carroll,,,,,,0,19,19,16,14,13,8,9
Sharon Vaughn,,,,,,,0,19,15,14,12,9,9
Latrice Y Bryant,,,,,,,,0,15,14,12,10,9
Robert Taylor,,,,,,,,,0,14,12,11,9
Dustin Morris,,,,,,,,,,0,12,12,9
Jonathan M Gary,,,,,,,,,,,0,13,9
Total,79,20,63,47,39,24,22,21,17,15,13,14,9
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,10
,Dwight Evans,Kevin Johnson,Jaime Bouldin,David Rodriguez,Barbara Carroll,Sharon Vaughn,Humberto Perez,Latrice Y Bryant,Robert Taylor,Dustin Morris,Jonathan M Gary,2,10
Dwight Evans,5,0,18,12,10,11,9,9,9,8,8,3,10
Kevin Johnson,,10,5,6,5,4,5,4,5,4,4,4,10
Jaime Bouldin,,,1,16,15,15,13,14,12,12,12,5,10
David Rodriguez,,,,1,15,14,13,14,12,12,12,6,10
Barbara Carroll,,,,,0,14,12,14,13,12,12,7,10
Sharon Vaughn,,,,,,0,12,14,11,12,12,8,10
Humberto Perez,,,,,,,0,12,11,12,12,9,10
Latrice Y Bryant,,,,,,,,0,11,12,12,10,10
Robert Taylor,,,,,,,,,0,11,11,11,10
Dustin Morris,,,,,,,,,,0,12,12,10
Jonathan M Gary,,,,,,,,,,,0,13,10
Total,26,18,25,20,16,16,14,14,14,12,12,14,10
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,11
,Dwight Evans,Kevin Johnson,Jaime Bouldin,Humberto Perez,David Rodriguez,Barbara Carroll,Latrice Y Bryant,Sharon Vaughn,Dustin Morris,Jonathan M Gary,Robert Taylor,2,11
Dwight Evans,17,0,31,16,17,14,12,13,11,12,12,3,11
Kevin Johnson,,12,6,5,3,4,3,2,2,2,1,4,11
Jaime Bouldin,,,0,12,14,13,11,11,11,12,11,5,11
Humberto Perez,,,,1,14,13,13,11,11,12,12,6,11
David Rodriguez,,,,,1,13,13,11,12,13,12,7,11
Barbara Carroll,,,,,,0,14,13,14,13,11,8,11
Latrice Y Bryant,,,,,,,0,10,11,13,12,9,11
Sharon Vaughn,,,,,,,,0,13,10,11,10,11
Dustin Morris,,,,,,,,,0,11,11,11,11
Jonathan M Gary,,,,,,,,,,0,12,12,11
Robert Taylor,,,,,,,,,,,0,13,11
Total,61,24,37,23,21,20,16,16,14,14,13,14,11
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,12
,Dwight Evans,Kevin Johnson,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Dustin Morris,Latrice Y Bryant,Jonathan M Gary,Robert Taylor,Sharon Vaughn,2,12
Dwight Evans,6,0,25,18,14,12,11,10,9,9,9,3,12
Kevin Johnson,,1,3,1,2,1,1,2,1,1,1,4,12
Jaime Bouldin,,,1,15,15,12,10,10,10,10,10,5,12
David Rodriguez,,,,0,15,11,10,10,10,10,10,6,12
Humberto Perez,,,,,0,11,10,10,10,10,10,7,12
Barbara Carroll,,,,,,0,10,10,10,10,10,8,12
Dustin Morris,,,,,,,0,11,9,9,9,9,12
Latrice Y Bryant,,,,,,,,0,10,10,9,10,12
Jonathan M Gary,,,,,,,,,0,10,9,11,12
Robert Taylor,,,,,,,,,,0,9,12,12
Sharon Vaughn,,,,,,,,,,,0,13,12
Total,39,6,30,20,17,13,12,12,10,10,10,14,12
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,13
,Dwight Evans,Kevin Johnson,Jaime Bouldin,David Rodriguez,Barbara Carroll,Humberto Perez,Jonathan M Gary,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Dustin Morris,2,13
Dwight Evans,25,0,25,19,14,14,11,12,10,11,10,3,13
Kevin Johnson,,4,3,2,1,1,3,2,3,3,1,4,13
Jaime Bouldin,,,1,14,10,12,10,9,10,9,9,5,13
David Rodriguez,,,,0,14,13,13,11,12,10,9,6,13
Barbara Carroll,,,,,0,8,13,13,12,11,12,7,13
Humberto Perez,,,,,,0,8,8,8,7,8,8,13
Jonathan M Gary,,,,,,,0,13,15,12,11,9,13
Sharon Vaughn,,,,,,,,0,14,12,13,10,13
Latrice Y Bryant,,,,,,,,,0,13,12,11,13
Robert Taylor,,,,,,,,,,0,11,12,13
Dustin Morris,,,,,,,,,,,0,13,13
Total,68,9,31,25,18,17,17,17,16,15,13,14,13
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,14
,Dwight Evans,Kevin Johnson,David Rodriguez,Jaime Bouldin,Humberto Perez,Robert Taylor,Sharon Vaughn,Barbara Carroll,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,2,14
Dwight Evans,5,0,25,22,22,20,20,18,16,15,13,3,14
Kevin Johnson,,0,5,6,4,3,2,3,1,1,1,4,14
David Rodriguez,,,1,21,24,17,18,15,14,15,14,5,14
Jaime Bouldin,,,,2,20,14,17,16,11,14,12,6,14
Humberto Perez,,,,,0,15,17,15,14,15,14,7,14
Robert Taylor,,,,,,0,17,16,14,13,13,8,14
Sharon Vaughn,,,,,,,0,17,13,16,14,9,14
Barbara Carroll,,,,,,,,0,14,14,13,10,14
Latrice Y Bryant,,,,,,,,,0,13,13,11,14
Dustin Morris,,,,,,,,,,0,14,12,14
Jonathan M Gary,,,,,,,,,,,0,13,14
Total,43,9,31,30,26,23,22,21,17,16,14,14,14
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,15
,Dwight Evans,Kevin Johnson,Humberto Perez,David Rodriguez,Jaime Bouldin,Latrice Y Bryant,Sharon Vaughn,Barbara Carroll,Dustin Morris,Robert Taylor,Jonathan M Gary,2,15
Dwight Evans,4,0,13,13,13,11,10,9,9,8,7,3,15
Kevin Johnson,,0,4,1,1,1,1,1,1,1,1,4,15
Humberto Perez,,,0,11,11,8,9,9,9,8,8,5,15
David Rodriguez,,,,1,11,9,10,9,9,8,8,6,15
Jaime Bouldin,,,,,0,10,10,9,10,8,8,7,15
Latrice Y Bryant,,,,,,0,10,9,9,9,8,8,15
Sharon Vaughn,,,,,,,0,9,9,8,8,9,15
Barbara Carroll,,,,,,,,0,9,9,8,10,15
Dustin Morris,,,,,,,,,0,8,8,11,15
Robert Taylor,,,,,,,,,,0,8,12,15
Jonathan M Gary,,,,,,,,,,,0,13,15
Total,24,4,17,15,14,12,11,10,10,9,8,14,15
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,16
,Dwight Evans,Kevin Johnson,Jaime Bouldin,David Rodriguez,Sharon Vaughn,Humberto Perez,Latrice Y Bryant,Barbara Carroll,Jonathan M Gary,Dustin Morris,Robert Taylor,2,16
Dwight Evans,22,0,34,25,25,21,20,19,16,14,14,3,16
Kevin Johnson,,5,5,5,4,4,5,4,4,3,3,4,16
Jaime Bouldin,,,1,23,19,19,17,17,17,16,16,5,16
David Rodriguez,,,,0,20,22,18,19,17,15,16,6,16
Sharon Vaughn,,,,,0,18,20,22,19,17,17,7,16
Humberto Perez,,,,,,1,15,16,14,13,14,8,16
Latrice Y Bryant,,,,,,,0,18,18,17,15,9,16
Barbara Carroll,,,,,,,,0,17,16,16,10,16
Jonathan M Gary,,,,,,,,,0,16,15,11,16
Dustin Morris,,,,,,,,,,0,15,12,16
Robert Taylor,,,,,,,,,,,0,13,16
Total,76,13,41,31,29,27,25,23,20,17,17,14,16
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,17
,Dwight Evans,Kevin Johnson,David Rodriguez,Humberto Perez,Jaime Bouldin,Latrice Y Bryant,Dustin Morris,Barbara Carroll,Jonathan M Gary,Sharon Vaughn,Robert Taylor,2,17
Dwight Evans,7,0,7,7,6,5,4,4,4,4,2,3,17
Kevin Johnson,,5,1,0,0,0,0,0,0,0,0,4,17
David Rodriguez,,,0,5,5,4,3,3,3,4,2,5,17
Humberto Perez,,,,0,6,4,5,3,4,3,2,6,17
Jaime Bouldin,,,,,1,4,4,3,3,3,2,7,17
Latrice Y Bryant,,,,,,0,4,3,3,4,2,8,17
Dustin Morris,,,,,,,0,3,4,3,2,9,17
Barbara Carroll,,,,,,,,0,3,3,2,10,17
Jonathan M Gary,,,,,,,,,0,3,2,11,17
Sharon Vaughn,,,,,,,,,,0,2,12,17
Robert Taylor,,,,,,,,,,,0,13,17
Total,19,6,8,8,8,6,5,4,4,4,2,14,17
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,18
,Dwight Evans,Kevin Johnson,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Dustin Morris,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,2,18
Dwight Evans,15,0,18,13,12,11,8,5,5,6,5,3,18
Kevin Johnson,,11,5,6,6,3,3,4,3,2,2,4,18
Jaime Bouldin,,,0,12,14,8,8,8,8,6,6,5,18
David Rodriguez,,,,0,13,7,8,7,7,7,7,6,18
Humberto Perez,,,,,1,6,7,8,7,6,6,7,18
Barbara Carroll,,,,,,0,9,7,7,8,7,8,18
Sharon Vaughn,,,,,,,0,8,7,8,7,9,18
Dustin Morris,,,,,,,,0,7,6,6,10,18
Jonathan M Gary,,,,,,,,,0,6,6,11,18
Latrice Y Bryant,,,,,,,,,,0,7,12,18
Robert Taylor,,,,,,,,,,,0,13,18
Total,45,20,23,19,19,14,11,9,8,8,7,14,18
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,19
,Dwight Evans,Kevin Johnson,Jaime Bouldin,Latrice Y Bryant,David Rodriguez,Dustin Morris,Barbara Carroll,Robert Taylor,Sharon Vaughn,Jonathan M Gary,Humberto Perez,2,19
Dwight Evans,16,0,19,9,9,8,7,7,7,6,5,3,19
Kevin Johnson,,0,4,2,1,2,2,2,2,2,2,4,19
Jaime Bouldin,,,0,10,9,10,8,8,9,8,7,5,19
Latrice Y Bryant,,,,0,7,9,7,8,9,8,5,6,19
David Rodriguez,,,,,0,8,7,6,7,6,5,7,19
Dustin Morris,,,,,,0,8,8,8,8,6,8,19
Barbara Carroll,,,,,,,0,7,6,7,5,9,19
Robert Taylor,,,,,,,,0,7,8,5,10,19
Sharon Vaughn,,,,,,,,,0,7,5,11,19
Jonathan M Gary,,,,,,,,,,0,5,12,19
Humberto Perez,,,,,,,,,,,0,13,19
Total,38,5,23,11,10,10,9,9,9,8,7,14,19
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,20
,Dwight Evans,Kevin Johnson,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Dustin Morris,Robert Taylor,2,20
Dwight Evans,14,0,37,31,29,21,20,20,17,18,12,3,20
Kevin Johnson,,19,12,10,12,10,9,9,8,6,6,4,20
Jaime Bouldin,,,1,32,31,24,23,23,23,20,16,5,20
David Rodriguez,,,,0,30,23,23,22,22,20,17,6,20
Humberto Perez,,,,,0,25,23,23,23,21,17,7,20
Barbara Carroll,,,,,,0,28,26,25,23,18,8,20
Sharon Vaughn,,,,,,,1,25,25,23,18,9,20
Latrice Y Bryant,,,,,,,,0,24,22,18,10,20
Jonathan M Gary,,,,,,,,,0,22,18,11,20
Dustin Morris,,,,,,,,,,0,18,12,20
Robert Taylor,,,,,,,,,,,0,13,20
Total,72,36,50,41,41,31,30,29,25,24,18,14,20
