col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
John Fetterman,,,,,,0,0,8,22
Ray Sosa,,,,,,,0,9,22
Total,103,18,47,37,16,10,3,10,22
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,23
,Dwight Evans,Kevin Johnson,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,23
Dwight Evans,13,0,64,40,39,8,0,3,23
Kevin Johnson,,4,10,12,9,1,0,4,23
Nina Ahmad,,,5,0,0,0,0,5,23
John Fetterman,,,,7,0,0,0,6,23
Mike Stack,,,,,2,0,0,7,23
Kathi Cozzone,,,,,,1,0,8,23
Ray Sosa,,,,,,,0,9,23
Total,164,36,79,59,50,10,0,10,23
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,24
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,24
Dwight Evans,17,0,76,62,17,15,1,3,24
Kevin Johnson,,3,11,8,7,4,0,4,24
Nina Ahmad,,,0,0,0,0,0,5,24
Mike Stack,,,,2,0,0,0,6,24
John Fetterman,,,,,0,0,0,7,24
Kathi Cozzone,,,,,,2,0,8,24
Ray Sosa,,,,,,,1,9,24
Total,188,33,87,72,24,21,2,10,24
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,25
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,25
Dwight Evans,14,0,48,28,14,8,1,3,25
Kevin Johnson,,4,8,5,1,3,0,4,25
Nina Ahmad,,,1,0,0,0,0,5,25
Mike Stack,,,,1,0,0,0,6,25
John Fetterman,,,,,2,0,0,7,25
Kathi Cozzone,,,,,,1,0,8,25
Ray Sosa,,,,,,,0,9,25
Total,113,21,57,34,17,12,1,10,25
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,26
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,26
Dwight Evans,14,0,48,33,12,11,2,3,26
Kevin Johnson,,5,11,7,5,4,0,4,26
Nina Ahmad,,,2,0,0,0,0,5,26
Mike Stack,,,,1,0,0,0,6,26
John Fetterman,,,,,0,0,0,7,26
Kathi Cozzone,,,,,,0,0,8,26
Ray Sosa,,,,,,,0,9,26
Total,120,32,61,41,17,15,2,10,26
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,27
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,2,27
Dwight Evans,25,0,51,53,23,6,3,3,27
Kevin Johnson,,7,14,10,6,4,0,4,27
Nina Ahmad,,,1,0,0,0,0,5,27
Mike Stack,,,,0,0,0,0,6,27
Kathi Cozzone,,,,,0,0,0,7,27
John Fetterman,,,,,,0,0,8,27
Ray Sosa,,,,,,,0,9,27
Total,161,41,66,63,29,10,3,10,27
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,28
,Dwight Evans,Kevin Johnson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,28
Dwight Evans,14,0,45,40,12,3,1,3,28
Kevin Johnson,,3,7,6,13,0,0,4,28
Mike Stack,,,2,0,0,0,0,5,28
Nina Ahmad,,,,3,0,0,0,6,28
Kathi Cozzone,,,,,0,0,0,7,28
John Fetterman,,,,,,0,0,8,28
Ray Sosa,,,,,,,0,9,28
Total,115,29,54,49,25,3,1,10,28
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,29
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,2,29
Dwight Evans,26,0,67,42,27,8,1,3,29
Kevin Johnson,,7,11,13,9,2,1,4,29
Nina Ahmad,,,2,0,0,0,0,5,29
Mike Stack,,,,0,0,0,0,6,29
Kathi Cozzone,,,,,0,0,0,7,29
John Fetterman,,,,,,0,0,8,29
Ray Sosa,,,,,,,0,9,29
Total,171,43,80,55,36,10,2,10,29
