col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
Nina Ahmad,,,,3,0,0,6,12
John Fetterman,,,,,0,0,7,12
Ray Sosa,,,,,,0,8,12
Total,19,8,6,4,2,0,9,12
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,13
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,13
Bob Casey Jr,1,15,7,3,2,1,3,13
Mike Stack,,2,0,0,0,0,4,13
Kathi Cozzone,,,0,0,0,0,5,13
Nina Ahmad,,,,0,0,0,6,13
John Fetterman,,,,,0,0,7,13
Ray Sosa,,,,,,0,8,13
Total,29,17,7,3,2,1,9,13
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,14
,Bob Casey Jr,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,2,14
Bob Casey Jr,0,8,5,3,3,0,3,14
Mike Stack,,0,0,0,0,0,4,14
John Fetterman,,,0,0,0,0,5,14
Kathi Cozzone,,,,0,0,0,6,14
Nina Ahmad,,,,,0,0,7,14
Ray Sosa,,,,,,0,8,14
Total,19,8,5,3,3,0,9,14
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,15
,Bob Casey Jr,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,15
Bob Casey Jr,1,11,5,3,1,0,3,15
Mike Stack,,0,0,0,0,0,4,15
Nina Ahmad,,,1,0,0,0,5,15
Kathi Cozzone,,,,2,0,0,6,15
John Fetterman,,,,,0,0,7,15
Ray Sosa,,,,,,0,8,15
Total,21,11,6,5,1,0,9,15
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,16
,Bob Casey Jr,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,16
Bob Casey Jr,2,6,4,2,2,0,3,16
Mike Stack,,0,0,0,0,0,4,16
Nina Ahmad,,,0,0,0,0,5,16
John Fetterman,,,,0,0,0,6,16
Kathi Cozzone,,,,,0,0,7,16
Ray Sosa,,,,,,0,8,16
Total,16,6,4,2,2,0,9,16
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,17
,Bob Casey Jr,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,17
Bob Casey Jr,1,10,5,2,3,1,3,17
Mike Stack,,3,0,0,0,0,4,17
Nina Ahmad,,,3,0,0,0,5,17
John Fetterman,,,,1,0,0,6,17
Kathi Cozzone,,,,,0,0,7,17
Ray Sosa,,,,,,0,8,17
Total,22,13,8,3,3,1,9,17
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,18
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,18
Bob Casey Jr,1,14,6,6,3,0,3,18
Mike Stack,,0,0,0,0,0,4,18
Kathi Cozzone,,,0,0,0,0,5,18
Nina Ahmad,,,,0,0,0,6,18
John Fetterman,,,,,0,0,7,18
Ray Sosa,,,,,,1,8,18
Total,30,14,6,6,3,1,9,18
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,19
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,19
Bob Casey Jr,1,11,4,4,2,0,3,19
Mike Stack,,3,0,0,0,0,4,19
Kathi Cozzone,,,0,0,0,0,5,19
Nina Ahmad,,,,0,0,0,6,19
John Fetterman,,,,,0,0,7,19
Ray Sosa,,,,,,0,8,19
Total,22,14,4,4,2,0,9,19
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,20
,Bob Casey Jr,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,20
Bob Casey Jr,1,12,5,4,1,0,3,20
Mike Stack,,0,0,0,0,0,4,20
Nina Ahmad,,,1,0,0,0,5,20
Kathi Cozzone,,,,0,0,0,6,20
John Fetterman,,,,,0,0,7,20
Ray Sosa,,,,,,0,8,20
Total,23,12,6,4,1,0,9,20
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,21
,Bob Casey Jr,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,21
Bob Casey Jr,1,18,6,4,3,0,3,21
Mike Stack,,3,0,0,0,0,4,21
John Fetterman,,,1,0,0,0,5,21
Nina Ahmad,,,,1,0,0,6,21
Kathi Cozzone,,,,,0,0,7,21
Ray Sosa,,,,,,0,8,21
Total,32,21,7,5,3,0,9,21
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,22
,Bob Casey Jr,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,2,22
Bob Casey Jr,0,16,5,3,2,0,3,22
Mike Stack,,1,0,0,0,0,4,22
John Fetterman,,,0,0,0,0,5,22
Kathi Cozzone,,,,0,0,0,6,22
Nina Ahmad,,,,,0,0,7,22
Ray Sosa,,,,,,0,8,22
Total,26,17,5,3,2,0,9,22
