col_1,col_2,col_3,col_4,col_5,col_6,order,division
Theresa A Dintino,,,,,0,7,10
Total,8,8,4,2,0,8,10
,Member Of The - Republican State Committee 1st Congressional District,,,,Representative In Congress 2nd District - Republican,1,11
,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,David Torres,2,11
Maria Digiorgio Mccolgan,0,8,5,6,8,3,11
Christopher M Vogler,,0,5,6,6,4,11
Michael A Cibik,,,1,5,4,5,11
Theresa A Dintino,,,,0,4,6,11
David Torres,,,,,0,7,11
Total,10,8,6,6,8,8,11
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 1st Congressional District,,,,1,12
,David Torres,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,12
David Torres,1,2,2,2,1,3,12
Christopher M Vogler,,0,1,2,1,4,12
Maria Digiorgio Mccolgan,,,0,1,1,5,12
Michael A Cibik,,,,0,1,6,12
Theresa A Dintino,,,,,0,7,12
Total,4,2,2,2,1,8,12
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 1st Congressional District,,,,1,13
,David Torres,Michael A Cibik,Christopher M Vogler,Maria Digiorgio Mccolgan,Theresa A Dintino,2,13
David Torres,0,10,9,9,8,3,13
Michael A Cibik,,0,9,8,9,4,13
Christopher M Vogler,,,0,8,8,5,13
Maria Digiorgio Mccolgan,,,,0,8,6,13
Theresa A Dintino,,,,,0,7,13
Total,11,11,9,9,9,8,13
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 1st Congressional District,,,,1,14
,David Torres,Christopher M Vogler,Maria Digiorgio Mccolgan,Theresa A Dintino,Michael A Cibik,2,14
David Torres,1,9,9,7,7,3,14
Christopher M Vogler,,1,7,7,8,4,14
Maria Digiorgio Mccolgan,,,0,8,7,5,14
Theresa A Dintino,,,,1,7,6,14
Michael A Cibik,,,,,0,7,14
Total,14,11,11,10,8,8,14
,Member Of The - Republican State Committee 1st Congressional District,,,,Representative In Congress 2nd District - Republican,1,15
,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Christopher M Vogler,David Torres,2,15
Maria Digiorgio Mccolgan,2,4,4,3,4,3,15
Michael A Cibik,,0,4,3,5,4,15
Theresa A Dintino,,,1,3,4,5,15
Christopher M Vogler,,,,0,3,6,15
David Torres,,,,,0,7,15
Total,6,5,5,3,5,8,15
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 1st Congressional District,,,,1,16
,David Torres,Theresa A Dintino,Maria Digiorgio Mccolgan,Michael A Cibik,Christopher M Vogler,2,16
David Torres,0,10,9,8,6,3,16
Theresa A Dintino,,1,8,7,7,4,16
Maria Digiorgio Mccolgan,,,0,8,7,5,16
Michael A Cibik,,,,1,7,6,16
Christopher M Vogler,,,,,0,7,16
Total,13,12,10,10,7,8,16
,Member Of The - Republican State Committee 1st Congressional District,,,,Representative In Congress 2nd District - Republican,1,17
,Michael A Cibik,Maria Digiorgio Mccolgan,Christopher M Vogler,Theresa A Dintino,David Torres,2,17
Michael A Cibik,0,15,15,16,15,3,17
Maria Digiorgio Mccolgan,,0,13,14,14,4,17
Christopher M Vogler,,,1,14,13,5,17
Theresa A Dintino,,,,0,13,6,17
David Torres,,,,,0,7,17
Total,19,17,16,16,17,8,17
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 1st Congressional District,,,,1,18
,David Torres,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Christopher M Vogler,2,18
David Torres,0,9,8,8,8,3,18
Maria Digiorgio Mccolgan,,1,8,8,7,4,18
Michael A Cibik,,,0,8,7,5,18
Theresa A Dintino,,,,0,7,6,18
Christopher M Vogler,,,,,0,7,18
Total,12,11,9,9,8,8,18
,Member Of The - Republican State Committee 1st Congressional District,,,,Representative In Congress 2nd District - Republican,1,19
,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Christopher M Vogler,David Torres,2,19
Maria Digiorgio Mccolgan,3,9,9,9,10,3,19
Michael A Cibik,,0,10,10,10,4,19
Theresa A Dintino,,,0,10,10,5,19
Christopher M Vogler,,,,0,9,6,19
David Torres,,,,,0,7,19
Total,14,11,11,10,13,8,19
