col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,order,division
Frank T Brzozowski,,,,,,1,26,27,18,8,14
Marnie Aument Loughrey,,,,,,,0,19,18,9,14
Richard Lombardo,,,,,,,,1,17,10,14
Billy Cortes,,,,,,,,,0,11,14
Total,69,57,54,50,46,45,38,34,24,12,14
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,15
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Frank T Brzozowski,Richard Lombardo,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,2,15
Meagan Ingerson,11,48,46,36,30,30,28,27,19,3,15
Erica Vanstone,,2,44,37,32,32,31,29,18,4,15
Mona Getzes Cohen,,,3,38,28,31,29,29,18,5,15
James Harrity,,,,4,28,30,23,21,16,6,15
Frank T Brzozowski,,,,,1,25,15,16,16,7,15
Richard Lombardo,,,,,,0,19,21,15,8,15
Catherine Bartch,,,,,,,0,24,12,9,15
Marnie Aument Loughrey,,,,,,,,0,12,10,15
Billy Cortes,,,,,,,,,0,11,15
Total,65,56,54,47,37,35,33,32,22,12,15
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,16
,Erica Vanstone,James Harrity,Catherine Bartch,Meagan Ingerson,Marnie Aument Loughrey,Frank T Brzozowski,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,2,16
Erica Vanstone,0,56,61,53,57,55,46,48,48,3,16
James Harrity,,5,43,40,38,45,36,40,35,4,16
Catherine Bartch,,,1,40,53,43,37,36,40,5,16
Meagan Ingerson,,,,6,35,33,51,23,25,6,16
Marnie Aument Loughrey,,,,,0,41,33,35,40,7,16
Frank T Brzozowski,,,,,,1,28,40,38,8,16
Mona Getzes Cohen,,,,,,,1,21,24,9,16
Richard Lombardo,,,,,,,,2,32,10,16
Billy Cortes,,,,,,,,,0,11,16
Total,82,69,68,66,62,61,55,52,49,12,16
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,17
,Erica Vanstone,Catherine Bartch,Meagan Ingerson,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,James Harrity,Mona Getzes Cohen,Richard Lombardo,2,17
Erica Vanstone,1,44,39,42,38,35,30,32,32,3,17
Catherine Bartch,,0,35,40,30,33,26,26,26,4,17
Meagan Ingerson,,,4,32,25,24,19,34,21,5,17
Marnie Aument Loughrey,,,,0,30,29,24,25,26,6,17
Frank T Brzozowski,,,,,2,25,20,18,26,7,17
Billy Cortes,,,,,,2,24,19,27,8,17
James Harrity,,,,,,,6,15,23,9,17
Mona Getzes Cohen,,,,,,,,1,16,10,17
Richard Lombardo,,,,,,,,,0,11,17
Total,57,48,48,45,44,39,38,35,33,12,17
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,18
,Meagan Ingerson,James Harrity,Erica Vanstone,Mona Getzes Cohen,Frank T Brzozowski,Richard Lombardo,Catherine Bartch,Billy Cortes,Marnie Aument Loughrey,2,18
Meagan Ingerson,9,39,40,40,29,29,27,21,17,3,18
James Harrity,,4,36,35,34,33,27,25,19,4,18
Erica Vanstone,,,0,35,32,31,30,25,23,5,18
Mona Getzes Cohen,,,,6,27,25,25,19,14,6,18
Frank T Brzozowski,,,,,0,31,23,20,18,7,18
Richard Lombardo,,,,,,1,24,21,16,8,18
Catherine Bartch,,,,,,,1,21,17,9,18
Billy Cortes,,,,,,,,1,13,10,18
Marnie Aument Loughrey,,,,,,,,,0,11,18
Total,58,50,48,48,38,37,36,30,25,12,18
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,19
,Erica Vanstone,Meagan Ingerson,James Harrity,Frank T Brzozowski,Catherine Bartch,Marnie Aument Loughrey,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,2,19
Erica Vanstone,1,40,46,49,51,44,38,43,39,3,19
Meagan Ingerson,,15,31,30,30,23,40,20,17,4,19
James Harrity,,,11,42,37,32,28,38,33,5,19
Frank T Brzozowski,,,,0,40,37,26,40,37,6,19
Catherine Bartch,,,,,0,44,31,38,35,7,19
Marnie Aument Loughrey,,,,,,0,24,35,33,8,19
Mona Getzes Cohen,,,,,,,5,23,18,9,19
Richard Lombardo,,,,,,,,0,34,10,19
Billy Cortes,,,,,,,,,0,11,19
Total,67,67,65,56,55,49,49,47,43,12,19
