col_1,col_2,col_3,col_4,order,division
Total,50,37,21,6,26
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,27
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,27
Bob Casey Jr,7,26,12,3,27
Dwight Evans,,2,0,4,27
Kevin Johnson,,,3,5,27
Total,45,28,15,6,27
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,28
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,28
Bob Casey Jr,3,48,12,3,28
Dwight Evans,,7,0,4,28
Kevin Johnson,,,1,5,28
Total,63,55,13,6,28
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,29
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,29
Bob Casey Jr,4,61,20,3,29
Dwight Evans,,4,0,4,29
Kevin Johnson,,,2,5,29
Total,85,65,22,6,29
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,30
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,30
Bob Casey Jr,1,33,11,3,30
Dwight Evans,,6,0,4,30
Kevin Johnson,,,2,5,30
Total,45,39,13,6,30
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,31
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,31
Bob Casey Jr,4,55,11,3,31
Dwight Evans,,2,0,4,31
Kevin Johnson,,,1,5,31
Total,70,57,12,6,31
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,32
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,32
Bob Casey Jr,10,67,11,3,32
Dwight Evans,,7,0,4,32
Kevin Johnson,,,0,5,32
Total,88,74,11,6,32
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,33
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,33
Bob Casey Jr,5,40,7,3,33
Dwight Evans,,7,0,4,33
Kevin Johnson,,,2,5,33
Total,52,47,9,6,33
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,34
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,34
Bob Casey Jr,1,35,26,3,34
Dwight Evans,,2,0,4,34
Kevin Johnson,,,0,5,34
Total,62,37,26,6,34
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,35
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,35
Bob Casey Jr,5,85,35,3,35
Dwight Evans,,7,0,4,35
Kevin Johnson,,,3,5,35
Total,125,92,38,6,35
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,36
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,36
Bob Casey Jr,15,92,38,3,36
Dwight Evans,,10,0,4,36
Kevin Johnson,,,2,5,36
Total,145,102,40,6,36
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,37
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,37
Bob Casey Jr,5,84,42,3,37
Dwight Evans,,9,0,4,37
Kevin Johnson,,,1,5,37
Total,131,93,43,6,37
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,38
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,38
Bob Casey Jr,5,70,29,3,38
Dwight Evans,,3,0,4,38
Kevin Johnson,,,0,5,38
Total,104,73,29,6,38
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,39
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,39
Bob Casey Jr,3,79,26,3,39
Dwight Evans,,2,0,4,39
Kevin Johnson,,,2,5,39
Total,108,81,28,6,39
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,40
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,40
Bob Casey Jr,5,94,50,3,40
Dwight Evans,,10,0,4,40
Kevin Johnson,,,5,5,40
Total,149,104,55,6,40
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,41
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,41
Bob Casey Jr,6,38,21,3,41
Dwight Evans,,1,0,4,41
Kevin Johnson,,,1,5,41
Total,65,39,22,6,41
