col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
Humberto Perez,,,,1,7,6,6,5,6,5,6,11
Sharon Vaughn,,,,,1,6,6,5,6,5,7,11
Barbara Carroll,,,,,,1,6,4,5,5,8,11
Dustin Morris,,,,,,,0,4,5,5,9,11
Latrice Y Bryant,,,,,,,,0,5,4,10,11
Robert Taylor,,,,,,,,,0,5,11,11
Jonathan M Gary,,,,,,,,,,0,12,11
Total,28,15,13,11,9,8,6,6,6,5,13,11
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,12
,Tom Wolf,Barbara Carroll,Sharon Vaughn,Jaime Bouldin,David Rodriguez,Humberto Perez,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Robert Taylor,2,12
Tom Wolf,6,26,22,21,18,19,17,14,14,14,3,12
Barbara Carroll,,0,19,15,13,12,14,13,13,12,4,12
Sharon Vaughn,,,0,13,14,14,14,14,13,13,5,12
Jaime Bouldin,,,,0,15,15,12,11,13,11,6,12
David Rodriguez,,,,,0,17,14,12,12,13,7,12
Humberto Perez,,,,,,0,13,12,12,12,8,12
Latrice Y Bryant,,,,,,,0,12,13,12,9,12
Dustin Morris,,,,,,,,0,11,12,10,12
Jonathan M Gary,,,,,,,,,0,11,11,12
Robert Taylor,,,,,,,,,,0,12,12
Total,46,26,22,21,19,19,18,14,14,14,13,12
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,13
,Tom Wolf,Jaime Bouldin,Sharon Vaughn,David Rodriguez,Barbara Carroll,Humberto Perez,Latrice Y Bryant,Dustin Morris,Robert Taylor,Jonathan M Gary,2,13
Tom Wolf,24,20,15,16,14,13,13,12,11,11,3,13
Jaime Bouldin,,1,12,13,12,12,11,12,11,11,4,13
Sharon Vaughn,,,1,12,13,11,12,12,12,11,5,13
David Rodriguez,,,,0,12,12,11,12,11,11,6,13
Barbara Carroll,,,,,0,11,12,12,11,11,7,13
Humberto Perez,,,,,,0,10,11,10,10,8,13
Latrice Y Bryant,,,,,,,0,11,11,11,9,13
Dustin Morris,,,,,,,,0,11,11,10,13
Robert Taylor,,,,,,,,,0,11,11,13
Jonathan M Gary,,,,,,,,,,0,12,13
Total,53,21,17,16,14,13,13,12,12,11,13,13
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,14
,Tom Wolf,David Rodriguez,Humberto Perez,Jaime Bouldin,Robert Taylor,Sharon Vaughn,Latrice Y Bryant,Barbara Carroll,Dustin Morris,Jonathan M Gary,2,14
Tom Wolf,10,11,11,11,6,6,5,4,4,3,3,14
David Rodriguez,,0,8,7,5,5,4,4,4,3,4,14
Humberto Perez,,,0,8,5,4,4,4,3,3,5,14
Jaime Bouldin,,,,0,4,3,4,3,3,3,6,14
Robert Taylor,,,,,0,4,5,4,3,3,7,14
Sharon Vaughn,,,,,,0,3,4,4,2,8,14
Latrice Y Bryant,,,,,,,0,3,3,3,9,14
Barbara Carroll,,,,,,,,0,3,2,10,14
Dustin Morris,,,,,,,,,0,2,11,14
Jonathan M Gary,,,,,,,,,,0,12,14
Total,29,11,11,11,6,6,5,4,4,3,13,14
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,15
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Robert Taylor,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,2,15
Tom Wolf,15,17,12,7,6,5,2,2,1,1,3,15
Jaime Bouldin,,0,6,4,2,3,2,2,1,0,4,15
David Rodriguez,,,0,6,1,2,1,1,1,0,5,15
Humberto Perez,,,,0,1,2,1,1,1,0,6,15
Barbara Carroll,,,,,0,2,1,1,1,1,7,15
Sharon Vaughn,,,,,,1,2,2,1,1,8,15
Robert Taylor,,,,,,,1,1,1,0,9,15
Latrice Y Bryant,,,,,,,,0,1,0,10,15
Dustin Morris,,,,,,,,,0,0,11,15
Jonathan M Gary,,,,,,,,,,0,12,15
Total,43,17,12,7,6,6,3,2,1,1,13,15
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,16
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Dustin Morris,Jonathan M Gary,Latrice Y Bryant,Sharon Vaughn,Robert Taylor,2,16
Tom Wolf,6,16,12,11,7,3,3,3,3,2,3,16
Jaime Bouldin,,0,9,8,3,2,3,3,3,2,4,16
David Rodriguez,,,1,9,3,2,3,3,3,2,5,16
Humberto Perez,,,,0,3,2,3,3,3,2,6,16
Barbara Carroll,,,,,0,2,3,3,3,2,7,16
Dustin Morris,,,,,,0,2,2,2,2,8,16
Jonathan M Gary,,,,,,,0,3,3,2,9,16
