col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
Marnie Aument Loughrey,,,,,,,,,,0,12,4
Total,13,6,4,3,3,2,2,1,1,1,13,4
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,5
,Bob Casey Jr,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Catherine Bartch,Billy Cortes,Erica Vanstone,Richard Lombardo,Frank T Brzozowski,Marnie Aument Loughrey,2,5
Bob Casey Jr,4,6,5,5,3,1,2,2,1,1,3,5
James Harrity,,0,4,3,3,1,2,1,1,1,4,5
Meagan Ingerson,,,1,3,3,1,2,1,1,1,5,5
Mona Getzes Cohen,,,,0,2,1,1,1,1,1,6,5
Catherine Bartch,,,,,0,1,2,1,1,1,7,5
Billy Cortes,,,,,,1,0,0,0,1,8,5
Erica Vanstone,,,,,,,0,1,1,0,9,5
Richard Lombardo,,,,,,,,0,1,0,10,5
Frank T Brzozowski,,,,,,,,,0,0,11,5
Marnie Aument Loughrey,,,,,,,,,,0,12,5
Total,14,6,6,5,3,2,2,2,1,1,13,5
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,6
,Bob Casey Jr,James Harrity,Billy Cortes,Meagan Ingerson,Erica Vanstone,Marnie Aument Loughrey,Mona Getzes Cohen,Richard Lombardo,Frank T Brzozowski,Catherine Bartch,2,6
Bob Casey Jr,9,5,4,3,4,3,2,4,3,2,3,6
James Harrity,,0,3,3,4,3,3,4,3,2,4,6
Billy Cortes,,,0,2,3,3,2,3,2,1,5,6
Meagan Ingerson,,,,1,2,1,3,2,1,0,6,6
Erica Vanstone,,,,,0,3,2,4,3,2,7,6
Marnie Aument Loughrey,,,,,,0,1,3,2,2,8,6
Mona Getzes Cohen,,,,,,,1,2,1,0,9,6
Richard Lombardo,,,,,,,,0,3,2,10,6
Frank T Brzozowski,,,,,,,,,0,2,11,6
Catherine Bartch,,,,,,,,,,0,12,6
Total,16,6,5,5,4,4,4,4,3,2,13,6
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,7
,Bob Casey Jr,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Billy Cortes,Frank T Brzozowski,Catherine Bartch,Marnie Aument Loughrey,2,7
Bob Casey Jr,7,14,10,9,9,9,8,8,7,7,3,7
James Harrity,,2,7,7,9,8,7,8,7,7,4,7
Mona Getzes Cohen,,,2,8,2,3,1,2,0,0,5,7
Meagan Ingerson,,,,2,2,3,1,2,0,0,6,7
Erica Vanstone,,,,,0,8,7,7,7,7,7,7
Richard Lombardo,,,,,,0,6,6,6,6,8,7
Billy Cortes,,,,,,,0,6,6,6,9,7
Frank T Brzozowski,,,,,,,,0,6,6,10,7
Catherine Bartch,,,,,,,,,0,7,11,7
Marnie Aument Loughrey,,,,,,,,,,0,12,7
Total,28,17,13,12,9,9,8,8,7,7,13,7
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,8
,Bob Casey Jr,Meagan Ingerson,Mona Getzes Cohen,Catherine Bartch,James Harrity,Billy Cortes,Erica Vanstone,Richard Lombardo,Frank T Brzozowski,Marnie Aument Loughrey,2,8
Bob Casey Jr,7,21,13,10,11,8,8,7,6,4,3,8
Meagan Ingerson,,0,7,7,7,5,4,6,3,3,4,8
Mona Getzes Cohen,,,0,6,8,5,4,5,3,3,5,8
Catherine Bartch,,,,1,7,7,6,6,5,4,6,8
James Harrity,,,,,0,6,5,6,4,3,7,8
Billy Cortes,,,,,,0,5,5,3,4,8,8
Erica Vanstone,,,,,,,0,4,4,2,9,8
Richard Lombardo,,,,,,,,0,2,2,10,8
Frank T Brzozowski,,,,,,,,,0,2,11,8
Marnie Aument Loughrey,,,,,,,,,,0,12,8
Total,40,21,13,11,11,8,8,7,6,4,13,8
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,9
,Bob Casey Jr,Mona Getzes Cohen,James Harrity,Catherine Bartch,Billy Cortes,Frank T Brzozowski,Meagan Ingerson,Erica Vanstone,Marnie Aument Loughrey,Richard Lombardo,2,9
Bob Casey Jr,14,9,8,5,4,4,4,4,4,3,3,9
Mona Getzes Cohen,,1,4,3,2,3,3,1,1,1,4,9
James Harrity,,,0,2,3,2,1,2,4,2,5,9
Catherine Bartch,,,,0,3,3,3,1,2,1,6,9
Billy Cortes,,,,,0,3,2,2,3,2,7,9
Frank T Brzozowski,,,,,,0,2,3,2,3,8,9
Meagan Ingerson,,,,,,,0,0,1,0,9,9
Erica Vanstone,,,,,,,,0,2,3,10,9
Marnie Aument Loughrey,,,,,,,,,0,2,11,9
Richard Lombardo,,,,,,,,,,0,12,9
Total,34,12,9,6,5,5,5,4,4,3,13,9
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,10
,Bob Casey Jr,James Harrity,Billy Cortes,Marnie Aument Loughrey,Catherine Bartch,Richard Lombardo,Erica Vanstone,Frank T Brzozowski,Meagan Ingerson,Mona Getzes Cohen,2,10
Bob Casey Jr,16,39,32,33,31,30,29,26,25,20,3,10
James Harrity,,0,22,25,25,26,24,24,12,12,4,10
Billy Cortes,,,0,25,26,23,22,22,9,7,5,10
Marnie Aument Loughrey,,,,0,28,24,23,21,10,8,6,10
Catherine Bartch,,,,,0,24,24,21,9,7,7,10
Richard Lombardo,,,,,,0,25,24,10,11,8,10
Erica Vanstone,,,,,,,0,23,12,11,9,10
Frank T Brzozowski,,,,,,,,0,6,5,10,10
Meagan Ingerson,,,,,,,,,0,15,11,10
Mona Getzes Cohen,,,,,,,,,,0,12,10
Total,79,39,33,33,32,30,29,26,25,20,13,10
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,11
,Bob Casey Jr,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Richard Lombardo,Erica Vanstone,Marnie Aument Loughrey,Billy Cortes,Catherine Bartch,Frank T Brzozowski,2,11
Bob Casey Jr,7,9,9,9,8,6,5,4,3,3,3,11
James Harrity,,0,6,8,6,6,5,4,3,4,4,11
Meagan Ingerson,,,1,7,4,3,2,1,2,1,5,11
Mona Getzes Cohen,,,,0,5,5,4,3,2,2,6,11
Richard Lombardo,,,,,0,7,6,5,4,4,7,11
Erica Vanstone,,,,,,0,6,5,4,4,8,11
Marnie Aument Loughrey,,,,,,,0,5,4,3,9,11
Billy Cortes,,,,,,,,0,3,3,10,11
Catherine Bartch,,,,,,,,,0,2,11,11
Frank T Brzozowski,,,,,,,,,,0,12,11
Total,22,11,11,10,9,7,6,5,4,4,13,11
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,12
,Bob Casey Jr,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Richard Lombardo,Billy Cortes,Catherine Bartch,Frank T Brzozowski,Erica Vanstone,Marnie Aument Loughrey,2,12
Bob Casey Jr,11,29,28,26,23,17,16,17,18,13,3,12
James Harrity,,0,18,18,20,18,15,19,16,13,4,12
Mona Getzes Cohen,,,0,18,14,11,7,10,11,8,5,12
Meagan Ingerson,,,,0,14,10,8,12,11,8,6,12
Richard Lombardo,,,,,0,15,13,16,16,11,7,12
Billy Cortes,,,,,,1,11,15,11,9,8,12
Catherine Bartch,,,,,,,1,10,12,10,9,12
Frank T Brzozowski,,,,,,,,0,13,11,10,12
Erica Vanstone,,,,,,,,,0,9,11,12
Marnie Aument Loughrey,,,,,,,,,,0,12,12
Total,58,32,28,26,23,20,19,19,18,14,13,12
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,13
,Bob Casey Jr,James Harrity,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Billy Cortes,Frank T Brzozowski,Meagan Ingerson,Marnie Aument Loughrey,Catherine Bartch,2,13
Bob Casey Jr,16,11,8,6,5,5,5,3,4,3,3,13
James Harrity,,1,5,5,4,3,4,3,3,3,4,13
Mona Getzes Cohen,,,3,2,1,1,2,2,1,1,5,13
Erica Vanstone,,,,0,5,4,5,0,3,3,6,13
Richard Lombardo,,,,,1,4,4,0,2,2,7,13
Billy Cortes,,,,,,0,4,0,2,2,8,13
Frank T Brzozowski,,,,,,,0,0,3,3,9,13
Meagan Ingerson,,,,,,,,0,0,0,10,13
Marnie Aument Loughrey,,,,,,,,,0,3,11,13
Catherine Bartch,,,,,,,,,,0,12,13
Total,38,15,14,6,6,5,5,5,4,3,13,13
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,14
,Bob Casey Jr,Frank T Brzozowski,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Billy Cortes,Catherine Bartch,Erica Vanstone,Marnie Aument Loughrey,Richard Lombardo,2,14
Bob Casey Jr,6,5,5,5,4,3,2,2,2,2,3,14
Frank T Brzozowski,,0,4,2,3,3,2,2,2,2,4,14
James Harrity,,,0,3,3,3,2,2,2,2,5,14
Meagan Ingerson,,,,0,3,2,1,1,1,1,6,14
Mona Getzes Cohen,,,,,0,2,1,1,1,1,7,14
Billy Cortes,,,,,,0,2,2,2,2,8,14
Catherine Bartch,,,,,,,0,1,2,1,9,14
Erica Vanstone,,,,,,,,0,1,2,10,14
Marnie Aument Loughrey,,,,,,,,,0,1,11,14
Richard Lombardo,,,,,,,,,,0,12,14
Total,14,5,5,5,4,3,2,2,2,2,13,14
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,15
,Bob Casey Jr,Billy Cortes,James Harrity,Catherine Bartch,Richard Lombardo,Marnie Aument Loughrey,Erica Vanstone,Frank T Brzozowski,Mona Getzes Cohen,Meagan Ingerson,2,15
Bob Casey Jr,4,18,17,17,17,16,15,15,2,3,3,15
Billy Cortes,,0,16,16,16,16,15,16,0,0,4,15
James Harrity,,,0,16,15,15,15,16,2,2,5,15
Catherine Bartch,,,,0,16,17,15,15,0,0,6,15
Richard Lombardo,,,,,0,16,15,15,0,0,7,15
Marnie Aument Loughrey,,,,,,0,15,15,0,0,8,15
Erica Vanstone,,,,,,,0,15,0,0,9,15
Frank T Brzozowski,,,,,,,,0,0,0,10,15
Mona Getzes Cohen,,,,,,,,,2,3,11,15
Meagan Ingerson,,,,,,,,,,0,12,15
Total,30,19,19,18,18,17,16,16,5,4,13,15
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,16
,Bob Casey Jr,James Harrity,Catherine Bartch,Richard Lombardo,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,Erica Vanstone,Mona Getzes Cohen,Meagan Ingerson,2,16
Bob Casey Jr,6,15,15,14,13,11,11,10,6,3,3,16
James Harrity,,1,11,11,12,10,11,10,2,2,4,16
Catherine Bartch,,,0,15,12,11,12,11,3,1,5,16
Richard Lombardo,,,,0,12,11,12,11,2,1,6,16
Billy Cortes,,,,,0,12,12,11,3,2,7,16
Frank T Brzozowski,,,,,,0,11,11,1,1,8,16
Marnie Aument Loughrey,,,,,,,0,11,2,1,9,16
Erica Vanstone,,,,,,,,0,1,0,10,16
Mona Getzes Cohen,,,,,,,,,0,1,11,16
Meagan Ingerson,,,,,,,,,,0,12,16
Total,29,17,16,15,14,12,12,11,6,3,13,16
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,17
,Bob Casey Jr,Mona Getzes Cohen,Meagan Ingerson,James Harrity,Catherine Bartch,Erica Vanstone,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,Richard Lombardo,2,17
Bob Casey Jr,8,9,7,6,4,4,3,3,3,3,3,17
Mona Getzes Cohen,,2,3,2,2,2,1,1,1,1,4,17
Meagan Ingerson,,,1,2,2,2,1,1,1,1,5,17
James Harrity,,,,1,4,4,3,3,3,3,6,17
Catherine Bartch,,,,,0,4,3,3,3,3,7,17
Erica Vanstone,,,,,,0,3,3,3,3,8,17
Billy Cortes,,,,,,,0,3,2,2,9,17
Frank T Brzozowski,,,,,,,,0,2,2,10,17
Marnie Aument Loughrey,,,,,,,,,0,3,11,17
Richard Lombardo,,,,,,,,,,0,12,17
Total,25,11,8,7,4,4,3,3,3,3,13,17
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,18
,Bob Casey Jr,Meagan Ingerson,Mona Getzes Cohen,James Harrity,Erica Vanstone,Catherine Bartch,Richard Lombardo,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,2,18
Bob Casey Jr,11,8,5,5,3,2,2,1,1,1,3,18
Meagan Ingerson,,1,2,3,1,0,1,0,0,0,4,18
Mona Getzes Cohen,,,3,2,1,1,1,0,0,0,5,18
James Harrity,,,,2,2,1,2,1,1,1,6,18
Erica Vanstone,,,,,0,2,1,1,1,1,7,18
Catherine Bartch,,,,,,0,1,1,1,1,8,18
Richard Lombardo,,,,,,,0,1,1,1,9,18
Billy Cortes,,,,,,,,0,1,1,10,18
Frank T Brzozowski,,,,,,,,,0,1,11,18
Marnie Aument Loughrey,,,,,,,,,,0,12,18
Total,24,9,8,7,3,2,2,1,1,1,13,18
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,19
,Bob Casey Jr,James Harrity,Richard Lombardo,Erica Vanstone,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,Meagan Ingerson,Mona Getzes Cohen,2,19
Bob Casey Jr,6,13,13,11,11,10,9,8,8,6,3,19
James Harrity,,0,12,10,9,10,8,6,5,4,4,19
Richard Lombardo,,,0,12,11,10,10,8,7,6,5,19
Erica Vanstone,,,,0,10,9,8,7,7,6,6,19
Catherine Bartch,,,,,0,8,8,8,6,5,7,19
Frank T Brzozowski,,,,,,0,6,6,5,3,8,19
Marnie Aument Loughrey,,,,,,,0,7,3,3,9,19
Billy Cortes,,,,,,,,1,3,2,10,19
Meagan Ingerson,,,,,,,,,0,6,11,19
Mona Getzes Cohen,,,,,,,,,,0,12,19
Total,22,14,14,12,11,11,10,9,8,6,13,19
