col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,order,division
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,1
,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Micah Mahjoubian,Andi Perez,Mariel J K Martin,Tom Young,Darrell L Clarke,Judi Golding Baker,Noam Kugelmass,Jon Geeting,Joe Celentano,Matthew D Myers,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,1
Rhea Powell,1,70,66,61,55,54,47,42,43,39,33,34,26,34,25,23,18,0,3,1
Amanda Mcillmurray,,0,60,50,45,44,36,37,42,36,31,27,24,36,19,15,10,0,4,1
Marylouise Isaacson,,,0,49,45,43,39,37,37,33,23,25,19,30,19,20,11,0,5,1
Micah Mahjoubian,,,,0,43,37,34,32,31,34,23,28,20,32,16,13,13,0,6,1
Andi Perez,,,,,0,33,34,26,24,30,25,28,14,27,17,13,10,1,7,1
Mariel J K Martin,,,,,,0,31,31,32,26,17,19,17,22,14,17,8,0,8,1
Tom Young,,,,,,,1,22,21,25,20,30,13,15,12,19,14,0,9,1
Darrell L Clarke,,,,,,,,0,26,24,19,10,20,24,10,18,7,0,10,1
Judi Golding Baker,,,,,,,,,0,19,15,15,17,21,12,14,5,0,11,1
Noam Kugelmass,,,,,,,,,,0,20,24,8,19,13,8,9,0,12,1
Jon Geeting,,,,,,,,,,,0,18,10,18,13,11,5,0,13,1
Joe Celentano,,,,,,,,,,,,0,8,11,11,11,11,0,14,1
Matthew D Myers,,,,,,,,,,,,,0,9,8,12,1,0,15,1
Nina Ahmad,,,,,,,,,,,,,,6,0,0,0,0,16,1
John Fetterman,,,,,,,,,,,,,,,15,0,0,0,17,1
Mike Stack,,,,,,,,,,,,,,,,6,0,0,18,1
Kathi Cozzone,,,,,,,,,,,,,,,,,1,0,19,1
Ray Sosa,,,,,,,,,,,,,,,,,,1,20,1
Total,101,81,81,74,68,61,61,59,52,49,48,44,30,56,54,42,24,2,21,1
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,2
,Marylouise Isaacson,Rhea Powell,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Mariel J K Martin,Micah Mahjoubian,Noam Kugelmass,Judi Golding Baker,Tom Young,Jon Geeting,Joe Celentano,Matthew D Myers,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,2
Marylouise Isaacson,1,63,60,55,49,52,47,41,43,38,31,31,24,28,34,25,4,0,3,2
Rhea Powell,,0,57,55,38,50,42,41,43,35,31,33,20,25,36,19,9,0,4,2
Amanda Mcillmurray,,,0,48,39,51,32,38,43,27,31,30,16,26,31,15,4,0,5,2
Andi Perez,,,,0,31,45,35,32,31,31,24,26,20,23,25,16,5,0,6,2
Darrell L Clarke,,,,,0,34,25,23,28,23,22,17,22,16,21,21,5,0,7,2
Mariel J K Martin,,,,,,0,31,32,35,28,21,19,23,19,27,16,2,0,8,2
Micah Mahjoubian,,,,,,,0,32,25,31,20,25,19,20,22,18,3,0,9,2
Noam Kugelmass,,,,,,,,0,27,29,16,28,15,19,20,12,4,0,10,2
Judi Golding Baker,,,,,,,,,0,12,22,17,16,16,26,7,4,0,11,2
Tom Young,,,,,,,,,,0,17,30,18,16,15,17,5,0,12,2
Jon Geeting,,,,,,,,,,,0,18,6,22,17,10,2,0,13,2
Joe Celentano,,,,,,,,,,,,0,11,15,17,13,3,0,14,2
Matthew D Myers,,,,,,,,,,,,,0,9,12,10,2,0,15,2
John Fetterman,,,,,,,,,,,,,,13,0,0,0,0,16,2
Nina Ahmad,,,,,,,,,,,,,,,13,0,0,0,17,2
Mike Stack,,,,,,,,,,,,,,,,5,0,0,18,2
Kathi Cozzone,,,,,,,,,,,,,,,,,1,0,19,2
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,2
Total,95,89,76,69,66,64,64,55,53,53,51,48,33,65,62,44,11,0,21,2
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,3
,Darrell L Clarke,Andi Perez,Micah Mahjoubian,Tom Young,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Rhea Powell,Amanda Mcillmurray,Judi Golding Baker,Noam Kugelmass,Jon Geeting,Joe Celentano,Mike Stack,Nina Ahmad,Ray Sosa,John Fetterman,Kathi Cozzone,2,3
Darrell L Clarke,1,15,14,15,14,14,14,2,3,2,1,1,0,13,3,0,1,0,3,3
Andi Perez,,0,14,15,13,14,13,3,2,1,1,2,0,13,2,1,1,0,4,3
Micah Mahjoubian,,,0,13,14,15,13,2,2,2,2,0,0,12,2,1,1,0,5,3
Tom Young,,,,0,13,13,13,2,1,0,1,2,0,14,1,0,1,0,6,3
Mariel J K Martin,,,,,0,14,12,2,2,2,1,0,0,12,2,0,1,0,7,3
Marylouise Isaacson,,,,,,0,13,2,2,2,1,0,0,12,2,0,1,0,8,3
Matthew D Myers,,,,,,,0,2,3,2,2,1,0,12,3,0,0,0,9,3
Rhea Powell,,,,,,,,1,3,2,2,2,0,1,3,0,0,0,10,3
Amanda Mcillmurray,,,,,,,,,0,3,2,1,0,0,4,0,0,0,11,3
Judi Golding Baker,,,,,,,,,,0,1,0,0,0,3,0,0,0,12,3
Noam Kugelmass,,,,,,,,,,,0,1,0,0,2,1,0,0,13,3
Jon Geeting,,,,,,,,,,,,0,0,1,1,0,0,0,14,3
Joe Celentano,,,,,,,,,,,,,0,0,0,0,0,0,15,3
Mike Stack,,,,,,,,,,,,,,1,0,0,0,0,16,3
Nina Ahmad,,,,,,,,,,,,,,,1,0,0,0,17,3
Ray Sosa,,,,,,,,,,,,,,,,0,0,0,18,3
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,3
Kathi Cozzone,,,,,,,,,,,,,,,,,,0,20,3
Total,18,17,16,16,15,15,15,5,4,3,3,2,0,15,5,2,1,0,21,3
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,4
,Rhea Powell,Marylouise Isaacson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Mariel J K Martin,Judi Golding Baker,Jon Geeting,Micah Mahjoubian,Joe Celentano,Noam Kugelmass,Tom Young,Matthew D Myers,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,4
Rhea Powell,1,43,41,43,32,46,41,30,36,33,33,28,15,29,29,8,8,0,3,4
Marylouise Isaacson,,0,44,36,36,37,39,22,29,24,27,23,15,20,23,11,7,0,4,4
Amanda Mcillmurray,,,0,34,31,41,39,20,28,23,26,24,16,23,21,4,9,0,5,4
Andi Perez,,,,0,33,34,35,29,30,25,25,20,17,25,22,7,4,0,6,4
Darrell L Clarke,,,,,0,28,27,23,19,19,17,14,17,24,16,11,1,0,7,4
Mariel J K Martin,,,,,,0,36,22,31,25,24,22,15,25,22,4,5,0,8,4
Judi Golding Baker,,,,,,,0,21,28,24,27,20,17,19,22,6,6,0,9,4
Jon Geeting,,,,,,,,0,18,22,18,19,15,28,17,6,1,0,10,4
Micah Mahjoubian,,,,,,,,,0,24,23,18,9,16,17,6,7,0,11,4
Joe Celentano,,,,,,,,,,0,23,20,10,14,16,7,4,0,12,4
Noam Kugelmass,,,,,,,,,,,0,25,7,15,17,4,7,0,13,4
Tom Young,,,,,,,,,,,,0,16,12,14,7,10,0,14,4
Matthew D Myers,,,,,,,,,,,,,0,12,7,6,2,0,15,4
John Fetterman,,,,,,,,,,,,,,9,0,0,0,0,16,4
Nina Ahmad,,,,,,,,,,,,,,,3,0,0,0,17,4
Mike Stack,,,,,,,,,,,,,,,,3,0,0,18,4
Kathi Cozzone,,,,,,,,,,,,,,,,,1,0,19,4
Ray Sosa,,,,,,,,,,,,,,,,,,1,20,4
Total,75,65,59,58,56,56,54,53,47,43,43,43,27,57,41,24,15,1,21,4
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,5
,Rhea Powell,Marylouise Isaacson,Micah Mahjoubian,Amanda Mcillmurray,Andi Perez,Jon Geeting,Darrell L Clarke,Noam Kugelmass,Mariel J K Martin,Joe Celentano,Tom Young,Judi Golding Baker,Matthew D Myers,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,5
Rhea Powell,0,27,28,25,22,16,13,21,19,18,16,16,6,17,8,4,10,0,3,5
Marylouise Isaacson,,0,24,21,19,14,14,20,19,15,16,14,9,14,10,6,6,0,4,5
Micah Mahjoubian,,,0,21,19,15,15,17,17,18,15,15,9,13,10,5,7,0,5,5
Amanda Mcillmurray,,,,0,18,15,16,16,20,13,13,17,8,13,10,6,4,0,6,5
Andi Perez,,,,,0,18,16,16,18,16,16,12,8,14,9,5,4,0,7,5
Jon Geeting,,,,,,0,13,10,10,11,11,6,9,10,12,6,1,0,8,5
Darrell L Clarke,,,,,,,0,11,14,8,9,10,10,7,10,8,3,0,9,5
Noam Kugelmass,,,,,,,,1,17,14,14,13,6,8,8,5,6,0,10,5
Mariel J K Martin,,,,,,,,,0,11,12,12,9,8,10,5,4,0,11,5
Joe Celentano,,,,,,,,,,0,9,8,5,10,5,5,6,0,12,5
Tom Young,,,,,,,,,,,0,7,5,8,8,3,5,0,13,5
Judi Golding Baker,,,,,,,,,,,,0,3,9,5,3,4,0,14,5
Matthew D Myers,,,,,,,,,,,,,0,3,8,2,0,0,15,5
Nina Ahmad,,,,,,,,,,,,,,11,0,0,0,0,16,5
John Fetterman,,,,,,,,,,,,,,,8,0,0,0,17,5
Mike Stack,,,,,,,,,,,,,,,,3,0,0,18,5
Kathi Cozzone,,,,,,,,,,,,,,,,,1,0,19,5
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,5
Total,39,36,35,33,32,29,28,28,27,26,24,21,13,34,30,16,12,0,21,5
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,6
,Rhea Powell,Marylouise Isaacson,Andi Perez,Amanda Mcillmurray,Mariel J K Martin,Darrell L Clarke,Micah Mahjoubian,Jon Geeting,Judi Golding Baker,Tom Young,Noam Kugelmass,Joe Celentano,Matthew D Myers,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,6
Rhea Powell,0,50,49,48,39,34,37,28,36,24,28,24,15,20,29,14,10,0,3,6
Marylouise Isaacson,,0,48,48,38,33,36,25,32,23,26,14,17,20,21,14,8,1,4,6
Andi Perez,,,0,46,38,34,39,27,30,23,25,20,16,25,18,13,6,1,5,6
Amanda Mcillmurray,,,,0,40,30,32,22,32,16,21,16,16,20,22,11,8,1,6,6
Mariel J K Martin,,,,,0,30,27,17,28,16,15,14,15,20,16,9,5,1,7,6
Darrell L Clarke,,,,,,1,27,16,21,17,14,11,14,19,13,14,3,0,8,6
Micah Mahjoubian,,,,,,,0,20,19,21,24,18,13,20,11,11,6,0,9,6
Jon Geeting,,,,,,,,0,11,18,14,15,5,20,11,6,6,1,10,6
Judi Golding Baker,,,,,,,,,0,12,13,8,8,12,17,10,3,0,11,6
Tom Young,,,,,,,,,,0,16,18,9,7,6,17,6,0,12,6
Noam Kugelmass,,,,,,,,,,,0,17,8,11,9,11,3,0,13,6
Joe Celentano,,,,,,,,,,,,0,7,10,8,12,3,0,14,6
Matthew D Myers,,,,,,,,,,,,,0,7,8,4,2,1,15,6
John Fetterman,,,,,,,,,,,,,,6,0,0,0,0,16,6
Nina Ahmad,,,,,,,,,,,,,,,2,0,0,0,17,6
Mike Stack,,,,,,,,,,,,,,,,4,0,0,18,6
Kathi Cozzone,,,,,,,,,,,,,,,,,1,0,19,6
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,6
Total,73,64,63,62,51,50,48,44,42,36,34,33,22,48,36,30,13,2,21,6
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,7
,Marylouise Isaacson,Rhea Powell,Amanda Mcillmurray,Darrell L Clarke,Andi Perez,Micah Mahjoubian,Judi Golding Baker,Mariel J K Martin,Jon Geeting,Tom Young,Noam Kugelmass,Joe Celentano,Matthew D Myers,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,7
Marylouise Isaacson,0,62,62,48,48,48,45,46,25,37,37,24,25,27,28,14,14,1,3,7
Rhea Powell,,0,61,33,51,44,53,45,32,37,41,32,22,32,33,9,12,0,4,7
Amanda Mcillmurray,,,0,36,41,43,46,42,27,32,39,26,24,25,28,12,11,1,5,7
Darrell L Clarke,,,,0,27,34,29,28,22,22,19,15,18,21,20,17,6,1,6,7
Andi Perez,,,,,0,33,37,38,28,28,30,19,21,20,26,9,11,1,7,7
Micah Mahjoubian,,,,,,0,32,32,18,29,32,20,21,22,23,11,10,0,8,7
Judi Golding Baker,,,,,,,0,37,19,23,23,15,22,24,19,7,9,1,9,7
Mariel J K Martin,,,,,,,,0,18,30,24,18,21,22,19,11,7,1,10,7
Jon Geeting,,,,,,,,,0,16,15,16,13,25,15,8,4,1,11,7
Tom Young,,,,,,,,,,1,26,19,18,16,13,14,8,0,12,7
Noam Kugelmass,,,,,,,,,,,0,17,14,15,17,7,8,0,13,7
Joe Celentano,,,,,,,,,,,,0,8,12,14,9,4,0,14,7
Matthew D Myers,,,,,,,,,,,,,0,14,6,8,5,1,15,7
John Fetterman,,,,,,,,,,,,,,6,0,0,0,0,16,7
Nina Ahmad,,,,,,,,,,,,,,,11,0,0,0,17,7
Mike Stack,,,,,,,,,,,,,,,,3,0,0,18,7
Kathi Cozzone,,,,,,,,,,,,,,,,,1,0,19,7
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,7
Total,94,88,78,74,68,68,61,60,54,52,49,39,35,61,56,30,21,1,21,7
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,8
,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,Tom Young,Rhea Powell,Andi Perez,Joe Celentano,Darrell L Clarke,Micah Mahjoubian,Mariel J K Martin,Matthew D Myers,Noam Kugelmass,Amanda Mcillmurray,Marylouise Isaacson,Judi Golding Baker,Jon Geeting,2,8
Mike Stack,0,0,0,0,0,7,1,2,2,4,2,1,2,1,1,1,0,0,3,8
John Fetterman,,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,4,8
Kathi Cozzone,,,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,8
Nina Ahmad,,,,0,0,1,2,1,1,0,1,1,1,2,1,1,1,0,6,8
Ray Sosa,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
Tom Young,,,,,,1,2,3,3,2,2,1,2,2,1,1,0,0,8,8
Rhea Powell,,,,,,,1,1,2,0,2,1,1,3,1,1,1,0,9,8
Andi Perez,,,,,,,,1,3,2,2,1,2,1,1,1,0,0,10,8
Joe Celentano,,,,,,,,,1,1,2,1,1,2,0,1,0,0,11,8
Darrell L Clarke,,,,,,,,,,0,1,1,2,0,1,1,0,0,12,8
Micah Mahjoubian,,,,,,,,,,,0,1,2,2,2,1,1,0,13,8
Mariel J K Martin,,,,,,,,,,,,0,2,1,1,2,1,0,14,8
Matthew D Myers,,,,,,,,,,,,,0,1,2,2,1,0,15,8
Noam Kugelmass,,,,,,,,,,,,,,0,1,1,1,0,16,8
Amanda Mcillmurray,,,,,,,,,,,,,,,0,1,1,0,17,8
Marylouise Isaacson,,,,,,,,,,,,,,,,0,1,0,18,8
Judi Golding Baker,,,,,,,,,,,,,,,,,0,0,19,8
Jon Geeting,,,,,,,,,,,,,,,,,,0,20,8
Total,9,4,4,2,0,9,7,5,5,4,4,3,3,3,2,2,1,0,21,8
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,9
,Rhea Powell,Marylouise Isaacson,Andi Perez,Amanda Mcillmurray,Darrell L Clarke,Micah Mahjoubian,Mariel J K Martin,Tom Young,Noam Kugelmass,Judi Golding Baker,Joe Celentano,Jon Geeting,Matthew D Myers,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,9
Rhea Powell,0,40,39,41,24,37,34,36,33,33,22,22,12,34,10,16,10,2,3,9
Marylouise Isaacson,,1,44,45,39,42,45,37,29,27,21,18,21,28,17,19,3,2,4,9
Andi Perez,,,0,34,40,39,42,33,26,30,18,24,22,27,17,15,4,3,5,9
Amanda Mcillmurray,,,,0,30,34,40,29,29,31,21,23,17,30,8,17,5,3,6,9
Darrell L Clarke,,,,,3,36,38,26,18,27,13,15,22,26,17,13,2,1,7,9
Micah Mahjoubian,,,,,,1,40,36,28,25,19,18,21,30,14,12,5,0,8,9
Mariel J K Martin,,,,,,,0,28,22,29,17,16,23,27,19,10,4,0,9,9
Tom Young,,,,,,,,0,27,17,19,17,19,21,16,14,6,1,10,9
Noam Kugelmass,,,,,,,,,0,21,19,16,13,22,8,10,3,2,11,9
Judi Golding Baker,,,,,,,,,,0,10,15,15,22,6,9,4,2,12,9
Joe Celentano,,,,,,,,,,,0,14,9,14,8,8,3,2,13,9
Jon Geeting,,,,,,,,,,,,0,11,15,3,11,2,3,14,9
Matthew D Myers,,,,,,,,,,,,,0,11,13,4,0,3,15,9
Nina Ahmad,,,,,,,,,,,,,,5,0,0,0,0,16,9
Mike Stack,,,,,,,,,,,,,,,4,0,0,0,17,9
John Fetterman,,,,,,,,,,,,,,,,7,0,0,18,9
Kathi Cozzone,,,,,,,,,,,,,,,,,2,0,19,9
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,9
Total,72,70,66,63,62,62,60,58,45,43,35,34,31,55,35,34,15,3,21,9
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,10
,Rhea Powell,Jon Geeting,Andi Perez,Tom Young,Marylouise Isaacson,Amanda Mcillmurray,Joe Celentano,Noam Kugelmass,Darrell L Clarke,Mariel J K Martin,Micah Mahjoubian,Judi Golding Baker,Matthew D Myers,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,10
Rhea Powell,1,41,41,35,32,34,33,40,20,23,26,21,5,30,24,8,15,0,3,10
Jon Geeting,,0,39,30,22,25,33,32,20,16,20,12,7,37,21,9,4,0,4,10
Andi Perez,,,0,38,24,25,33,34,22,27,25,14,13,24,21,7,5,0,5,10
Tom Young,,,,0,21,21,32,30,19,20,23,9,13,20,17,10,6,0,6,10
Marylouise Isaacson,,,,,1,29,14,19,19,29,26,18,10,16,15,7,8,0,7,10
Amanda Mcillmurray,,,,,,0,16,15,20,27,22,22,10,13,19,6,8,0,8,10
Joe Celentano,,,,,,,0,30,13,13,17,8,7,19,15,7,4,0,9,10
Noam Kugelmass,,,,,,,,0,9,15,18,12,3,20,13,4,8,0,10,10
Darrell L Clarke,,,,,,,,,1,20,16,11,15,14,14,11,1,0,11,10
Mariel J K Martin,,,,,,,,,,0,22,17,15,11,16,7,5,0,12,10
Micah Mahjoubian,,,,,,,,,,,0,12,10,13,15,7,5,0,13,10
Judi Golding Baker,,,,,,,,,,,,0,3,9,11,1,7,0,14,10
Matthew D Myers,,,,,,,,,,,,,0,6,5,7,1,0,15,10
John Fetterman,,,,,,,,,,,,,,5,0,0,0,0,16,10
Nina Ahmad,,,,,,,,,,,,,,,4,0,0,0,17,10
Mike Stack,,,,,,,,,,,,,,,,8,0,0,18,10
Kathi Cozzone,,,,,,,,,,,,,,,,,0,0,19,10
Ray Sosa,,,,,,,,,,,,,,,,,,1,20,10
Total,78,72,58,54,49,47,46,45,41,41,41,29,19,58,40,33,20,1,21,10
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,11
,Rhea Powell,Amanda Mcillmurray,Jon Geeting,Marylouise Isaacson,Andi Perez,Darrell L Clarke,Tom Young,Micah Mahjoubian,Mariel J K Martin,Judi Golding Baker,Noam Kugelmass,Joe Celentano,Matthew D Myers,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,11
Rhea Powell,0,42,30,41,39,28,27,33,34,26,26,24,13,21,27,13,8,0,3,11
Amanda Mcillmurray,,0,24,40,30,21,27,29,31,25,20,22,10,19,19,10,5,0,4,11
Jon Geeting,,,2,22,29,27,21,23,13,17,16,16,9,18,19,11,3,0,5,11
Marylouise Isaacson,,,,0,31,23,27,32,30,26,19,20,11,18,21,11,3,0,6,11
Andi Perez,,,,,1,25,26,29,28,21,24,15,10,16,21,10,4,0,7,11
Darrell L Clarke,,,,,,1,19,20,16,18,11,9,13,19,13,16,1,0,8,11
Tom Young,,,,,,,0,25,20,20,16,22,11,12,16,14,6,0,9,11
Micah Mahjoubian,,,,,,,,1,20,19,23,18,10,14,17,8,6,0,10,11
Mariel J K Martin,,,,,,,,,1,20,18,13,11,15,13,9,4,0,11,11
Judi Golding Baker,,,,,,,,,,0,14,12,7,13,11,8,2,0,12,11
Noam Kugelmass,,,,,,,,,,,0,13,3,8,13,7,4,0,13,11
Joe Celentano,,,,,,,,,,,,1,7,7,13,6,5,0,14,11
Matthew D Myers,,,,,,,,,,,,,0,4,4,9,2,0,15,11
John Fetterman,,,,,,,,,,,,,,8,0,0,0,0,16,11
Nina Ahmad,,,,,,,,,,,,,,,6,0,0,0,17,11
Mike Stack,,,,,,,,,,,,,,,,5,0,0,18,11
Kathi Cozzone,,,,,,,,,,,,,,,,,3,0,19,11
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,11
Total,71,56,54,54,53,51,48,46,43,35,33,32,19,47,44,37,15,0,21,11
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,12
,Rhea Powell,Andi Perez,Amanda Mcillmurray,Marylouise Isaacson,Micah Mahjoubian,Mariel J K Martin,Jon Geeting,Darrell L Clarke,Noam Kugelmass,Tom Young,Judi Golding Baker,Joe Celentano,Matthew D Myers,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,12
Rhea Powell,0,54,61,50,47,47,39,35,42,38,33,27,19,53,25,10,5,0,3,12
Andi Perez,,0,47,38,48,47,37,34,35,35,25,20,16,37,21,13,5,0,4,12
Amanda Mcillmurray,,,0,47,43,49,31,32,39,34,33,20,18,39,22,9,3,0,5,12
Marylouise Isaacson,,,,0,40,38,24,36,35,31,30,13,22,33,18,11,5,0,6,12
Micah Mahjoubian,,,,,0,41,23,35,33,34,25,20,17,32,18,17,1,0,7,12
Mariel J K Martin,,,,,,0,22,28,29,28,29,19,17,34,16,12,2,0,8,12
Jon Geeting,,,,,,,0,30,19,21,13,18,14,31,22,4,5,0,9,12
Darrell L Clarke,,,,,,,,1,18,25,23,12,20,21,19,12,5,0,10,12
Noam Kugelmass,,,,,,,,,0,26,20,16,14,25,18,7,4,0,11,12
Tom Young,,,,,,,,,,0,17,17,20,22,14,14,3,0,12,12
Judi Golding Baker,,,,,,,,,,,0,11,13,19,16,4,4,0,13,12
Joe Celentano,,,,,,,,,,,,0,8,17,10,7,2,0,14,12
Matthew D Myers,,,,,,,,,,,,,0,10,5,12,4,0,15,12
John Fetterman,,,,,,,,,,,,,,11,0,0,0,0,16,12
Nina Ahmad,,,,,,,,,,,,,,,10,0,0,0,17,12
Mike Stack,,,,,,,,,,,,,,,,2,0,0,18,12
Kathi Cozzone,,,,,,,,,,,,,,,,,1,0,19,12
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,12
Total,93,77,73,69,68,64,62,60,54,53,43,36,31,78,51,26,11,0,21,12
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,13
,Rhea Powell,Andi Perez,Micah Mahjoubian,Tom Young,Joe Celentano,Marylouise Isaacson,Noam Kugelmass,Amanda Mcillmurray,Judi Golding Baker,Mariel J K Martin,Darrell L Clarke,Jon Geeting,Matthew D Myers,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,13
Rhea Powell,0,5,6,6,6,7,5,6,6,5,2,3,2,5,4,4,3,0,3,13
Andi Perez,,1,4,3,4,3,2,2,2,4,2,3,1,0,3,2,2,1,4,13
Micah Mahjoubian,,,0,4,6,3,5,3,3,4,3,3,0,3,3,1,2,0,5,13
Tom Young,,,,1,4,3,5,3,2,4,0,2,1,1,4,1,2,0,6,13
Joe Celentano,,,,,0,3,4,2,2,4,2,3,1,3,2,2,1,0,7,13
Marylouise Isaacson,,,,,,0,1,5,6,3,2,2,1,0,2,4,1,0,8,13
Noam Kugelmass,,,,,,,0,2,1,3,0,1,0,2,4,0,1,0,9,13
Amanda Mcillmurray,,,,,,,,0,5,2,1,1,0,0,2,3,1,0,10,13
Judi Golding Baker,,,,,,,,,0,2,2,1,0,0,2,3,1,0,11,13
Mariel J K Martin,,,,,,,,,,0,1,2,1,0,3,1,1,0,12,13
Darrell L Clarke,,,,,,,,,,,0,2,0,0,1,2,1,0,13,13
Jon Geeting,,,,,,,,,,,,0,1,0,0,2,2,0,14,13
Matthew D Myers,,,,,,,,,,,,,0,0,0,1,1,0,15,13
Kathi Cozzone,,,,,,,,,,,,,,1,0,0,0,0,16,13
Mike Stack,,,,,,,,,,,,,,,2,0,0,0,17,13
