col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,order,division
Robert Taylor,,,,,,,,,,,0,13,1
Total,24,9,23,17,16,10,8,8,6,6,6,14,1
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,2
,Michele Lawrence,Brendan F Boyle,Humberto Perez,Jaime Bouldin,Barbara Carroll,David Rodriguez,Sharon Vaughn,Robert Taylor,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,2,2
Michele Lawrence,1,0,18,17,15,15,12,9,9,8,7,3,2
Brendan F Boyle,,3,9,11,8,6,7,8,7,6,6,4,2
Humberto Perez,,,1,19,16,19,16,14,15,14,13,5,2
Jaime Bouldin,,,,0,15,19,15,14,14,14,13,6,2
Barbara Carroll,,,,,0,14,16,15,16,14,13,7,2
David Rodriguez,,,,,,0,14,13,13,14,13,8,2
Sharon Vaughn,,,,,,,0,15,14,14,13,9,2
Robert Taylor,,,,,,,,0,12,13,12,10,2
Latrice Y Bryant,,,,,,,,,0,13,13,11,2
Dustin Morris,,,,,,,,,,0,13,12,2
Jonathan M Gary,,,,,,,,,,,0,13,2
Total,32,18,28,28,23,21,19,17,16,14,13,14,2
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,3
,Michele Lawrence,Brendan F Boyle,David Rodriguez,Humberto Perez,Jaime Bouldin,Barbara Carroll,Sharon Vaughn,Dustin Morris,Jonathan M Gary,Robert Taylor,Latrice Y Bryant,2,3
Michele Lawrence,5,0,12,11,13,7,8,7,5,5,4,3,3
Brendan F Boyle,,6,7,6,5,6,4,4,5,4,4,4,3
David Rodriguez,,,0,13,13,10,10,10,8,9,8,5,3
Humberto Perez,,,,0,12,10,10,10,8,9,8,6,3
Jaime Bouldin,,,,,0,11,10,10,8,9,8,7,3
Barbara Carroll,,,,,,1,11,11,8,9,8,8,3
Sharon Vaughn,,,,,,,0,11,8,9,8,9,3
Dustin Morris,,,,,,,,0,8,9,8,10,3
Jonathan M Gary,,,,,,,,,0,8,7,11,3
Robert Taylor,,,,,,,,,,0,8,12,3
Latrice Y Bryant,,,,,,,,,,,0,13,3
Total,27,18,20,18,18,14,12,11,10,9,8,14,3
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,4
,Barbara Carroll,David Rodriguez,Jaime Bouldin,Humberto Perez,Jonathan M Gary,Sharon Vaughn,Dustin Morris,Robert Taylor,Latrice Y Bryant,Michele Lawrence,Brendan F Boyle,2,4
Barbara Carroll,0,15,12,12,12,12,11,11,11,11,6,3,4
David Rodriguez,,1,13,12,11,11,11,10,11,10,6,4,4
Jaime Bouldin,,,0,12,11,11,10,11,10,10,6,5,4
Humberto Perez,,,,0,10,10,10,10,10,8,6,6,4
Jonathan M Gary,,,,,0,12,11,13,12,7,6,7,4
Sharon Vaughn,,,,,,0,10,11,11,9,5,8,4
Dustin Morris,,,,,,,0,11,10,8,5,9,4
Robert Taylor,,,,,,,,0,11,7,5,10,4
Latrice Y Bryant,,,,,,,,,0,7,4,11,4
Michele Lawrence,,,,,,,,,,1,0,12,4
Brendan F Boyle,,,,,,,,,,,0,13,4
Total,18,18,17,16,14,14,13,13,12,17,11,14,4
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,5
,Michele Lawrence,Brendan F Boyle,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Dustin Morris,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,2,5
Michele Lawrence,7,0,28,21,22,18,19,16,16,16,15,3,5
Brendan F Boyle,,7,8,8,8,6,4,5,5,5,4,4,5
Jaime Bouldin,,,3,28,27,21,21,21,21,21,20,5,5
David Rodriguez,,,,1,27,20,21,22,21,20,19,6,5
Humberto Perez,,,,,0,21,21,22,21,20,19,7,5
Barbara Carroll,,,,,,2,20,20,21,21,20,8,5
Sharon Vaughn,,,,,,,0,21,21,20,20,9,5
Dustin Morris,,,,,,,,0,21,20,19,10,5
Latrice Y Bryant,,,,,,,,,0,21,20,11,5
Robert Taylor,,,,,,,,,,0,20,12,5
Jonathan M Gary,,,,,,,,,,,0,13,5
Total,47,18,43,33,33,27,24,22,22,22,20,14,5
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,6
,Michele Lawrence,Brendan F Boyle,Jaime Bouldin,Humberto Perez,Barbara Carroll,David Rodriguez,Sharon Vaughn,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Robert Taylor,2,6
Michele Lawrence,0,0,12,11,7,9,6,5,3,4,4,3,6
Brendan F Boyle,,2,4,2,4,3,1,1,1,0,0,4,6
Jaime Bouldin,,,1,10,6,10,6,6,4,4,4,5,6
Humberto Perez,,,,0,7,9,7,6,4,4,4,6,6
Barbara Carroll,,,,,0,5,8,6,4,4,4,7,6
David Rodriguez,,,,,,0,5,5,4,4,4,8,6
Sharon Vaughn,,,,,,,0,6,4,4,4,9,6
Latrice Y Bryant,,,,,,,,0,4,4,4,10,6
Dustin Morris,,,,,,,,,0,3,3,11,6
Jonathan M Gary,,,,,,,,,,0,4,12,6
Robert Taylor,,,,,,,,,,,0,13,6
Total,18,9,17,14,12,12,9,6,4,4,4,14,6
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,7
,Michele Lawrence,Brendan F Boyle,Jaime Bouldin,Barbara Carroll,Sharon Vaughn,Humberto Perez,David Rodriguez,Robert Taylor,Dustin Morris,Jonathan M Gary,Latrice Y Bryant,2,7
Michele Lawrence,4,0,22,15,15,13,13,7,9,8,8,3,7
Brendan F Boyle,,1,7,9,8,8,6,6,3,4,4,4,7
Jaime Bouldin,,,1,13,13,15,15,7,10,8,9,5,7
Barbara Carroll,,,,0,20,15,11,12,12,10,11,6,7
Sharon Vaughn,,,,,0,16,10,12,12,12,12,7,7
Humberto Perez,,,,,,0,14,10,11,9,9,8,7
David Rodriguez,,,,,,,0,9,9,8,9,9,7
Robert Taylor,,,,,,,,0,8,10,10,10,7
Dustin Morris,,,,,,,,,0,8,9,11,7
Jonathan M Gary,,,,,,,,,,0,10,12,7
Latrice Y Bryant,,,,,,,,,,,0,13,7
Total,34,16,30,24,23,21,19,13,12,12,12,14,7
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,8
,Jaime Bouldin,Barbara Carroll,Humberto Perez,David Rodriguez,Latrice Y Bryant,Sharon Vaughn,Dustin Morris,Jonathan M Gary,Robert Taylor,Michele Lawrence,Brendan F Boyle,2,8
Jaime Bouldin,0,31,34,32,30,30,30,29,28,16,25,3,8
Barbara Carroll,,2,34,32,33,34,30,31,29,14,24,4,8
Humberto Perez,,,0,35,31,33,30,31,28,14,24,5,8
David Rodriguez,,,,0,30,33,30,30,28,14,23,6,8
Latrice Y Bryant,,,,,0,31,28,31,29,13,23,7,8
Sharon Vaughn,,,,,,0,30,30,28,13,22,8,8
Dustin Morris,,,,,,,0,28,28,9,22,9,8
Jonathan M Gary,,,,,,,,0,28,9,22,10,8
Robert Taylor,,,,,,,,,0,8,22,11,8
Michele Lawrence,,,,,,,,,,5,0,12,8
Brendan F Boyle,,,,,,,,,,,1,13,8
Total,41,40,38,37,36,35,31,31,30,31,28,14,8
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,9
,Michele Lawrence,Brendan F Boyle,Humberto Perez,Barbara Carroll,Jaime Bouldin,David Rodriguez,Dustin Morris,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Robert Taylor,2,9
Michele Lawrence,21,0,13,10,11,6,5,5,4,4,4,3,9
Brendan F Boyle,,17,5,5,2,5,4,3,3,2,2,4,9
Humberto Perez,,,0,8,7,10,7,7,7,6,6,5,9
Barbara Carroll,,,,1,6,8,7,8,8,7,6,6,9
Jaime Bouldin,,,,,1,7,7,6,6,6,6,7,9
David Rodriguez,,,,,,0,8,7,7,6,6,8,9
Dustin Morris,,,,,,,0,7,6,6,6,9,9
Sharon Vaughn,,,,,,,,0,7,7,6,10,9
Latrice Y Bryant,,,,,,,,,0,7,6,11,9
Jonathan M Gary,,,,,,,,,,0,6,12,9
Robert Taylor,,,,,,,,,,,0,13,9
Total,48,24,19,17,14,12,9,9,8,7,6,14,9
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,10
,Michele Lawrence,Brendan F Boyle,Humberto Perez,Jaime Bouldin,David Rodriguez,Sharon Vaughn,Barbara Carroll,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,Dustin Morris,2,10
Michele Lawrence,11,0,32,29,24,18,20,17,15,14,14,3,10
Brendan F Boyle,,3,2,3,3,1,1,2,1,2,1,4,10
Humberto Perez,,,0,21,23,16,18,16,16,16,14,5,10
Jaime Bouldin,,,,0,21,17,18,17,16,15,14,6,10
David Rodriguez,,,,,2,15,16,14,14,15,14,7,10
Sharon Vaughn,,,,,,8,18,16,15,14,14,8,10
Barbara Carroll,,,,,,,0,16,15,14,14,9,10
Jonathan M Gary,,,,,,,,0,16,16,14,10,10
Latrice Y Bryant,,,,,,,,,0,15,13,11,10
Robert Taylor,,,,,,,,,,0,13,12,10
Dustin Morris,,,,,,,,,,,0,13,10
Total,56,9,34,33,30,27,22,20,17,17,15,14,10
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,11
,Michele Lawrence,Brendan F Boyle,Barbara Carroll,David Rodriguez,Humberto Perez,Jaime Bouldin,Sharon Vaughn,Jonathan M Gary,Dustin Morris,Latrice Y Bryant,Robert Taylor,2,11
Michele Lawrence,7,0,17,14,16,17,13,9,9,8,8,3,11
Brendan F Boyle,,3,9,4,4,2,3,3,2,2,2,4,11
Barbara Carroll,,,5,11,13,10,12,11,9,11,9,5,11
David Rodriguez,,,,1,14,14,10,12,8,9,8,6,11
Humberto Perez,,,,,0,13,10,10,9,10,10,7,11
Jaime Bouldin,,,,,,1,9,9,8,9,8,8,11
Sharon Vaughn,,,,,,,0,11,10,11,9,9,11
Jonathan M Gary,,,,,,,,0,8,10,9,10,11
Dustin Morris,,,,,,,,,0,9,9,11,11
Latrice Y Bryant,,,,,,,,,,1,9,12,11
Robert Taylor,,,,,,,,,,,0,13,11
Total,45,16,32,21,21,21,17,14,12,12,11,14,11
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,12
,Barbara Carroll,Jaime Bouldin,David Rodriguez,Humberto Perez,Latrice Y Bryant,Robert Taylor,Sharon Vaughn,Dustin Morris,Jonathan M Gary,Michele Lawrence,Brendan F Boyle,2,12
Barbara Carroll,2,5,4,4,6,5,5,4,4,9,15,3,12
Jaime Bouldin,,0,7,7,5,6,5,4,4,10,5,4,12
David Rodriguez,,,1,6,4,5,4,4,4,4,3,5,12
Humberto Perez,,,,0,4,5,4,4,4,5,3,6,12
Latrice Y Bryant,,,,,0,5,5,4,4,3,3,7,12
Robert Taylor,,,,,,0,5,4,4,3,3,8,12
Sharon Vaughn,,,,,,,0,4,4,2,3,9,12
Dustin Morris,,,,,,,,0,4,1,3,10,12
Jonathan M Gary,,,,,,,,,0,1,3,11,12
Michele Lawrence,,,,,,,,,,5,0,12,12
Brendan F Boyle,,,,,,,,,,,3,13,12
Total,26,15,8,8,6,6,5,4,4,23,20,14,12
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,13
,Michele Lawrence,Brendan F Boyle,David Rodriguez,Barbara Carroll,Humberto Perez,Jaime Bouldin,Latrice Y Bryant,Sharon Vaughn,Dustin Morris,Jonathan M Gary,Robert Taylor,2,13
Michele Lawrence,4,0,16,12,14,13,3,3,3,3,3,3,13
Brendan F Boyle,,2,1,3,1,0,1,1,0,0,0,4,13
David Rodriguez,,,1,7,10,12,2,3,2,3,3,5,13
Barbara Carroll,,,,2,5,2,4,4,2,3,3,6,13
Humberto Perez,,,,,1,9,3,2,2,3,2,7,13
Jaime Bouldin,,,,,,0,2,2,2,2,2,8,13
Latrice Y Bryant,,,,,,,0,3,2,2,2,9,13
Sharon Vaughn,,,,,,,,0,2,2,3,10,13
Dustin Morris,,,,,,,,,0,2,2,11,13
Jonathan M Gary,,,,,,,,,,0,2,12,13
Robert Taylor,,,,,,,,,,,0,13,13
Total,31,6,19,17,16,14,4,4,3,3,3,14,13
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,14
,Michele Lawrence,Brendan F Boyle,Barbara Carroll,David Rodriguez,Jaime Bouldin,Humberto Perez,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Dustin Morris,Jonathan M Gary,2,14
Michele Lawrence,8,0,14,16,17,15,12,10,9,9,9,3,14
Brendan F Boyle,,17,10,7,6,5,6,5,6,4,4,4,14
Barbara Carroll,,,4,12,12,13,18,15,14,14,12,5,14
David Rodriguez,,,,1,17,13,13,12,12,12,12,6,14
Jaime Bouldin,,,,,1,13,13,12,10,12,11,7,14
Humberto Perez,,,,,,0,11,10,9,9,10,8,14
Sharon Vaughn,,,,,,,0,14,13,14,12,9,14
Latrice Y Bryant,,,,,,,,0,14,13,13,10,14
Robert Taylor,,,,,,,,,0,11,12,11,14
Dustin Morris,,,,,,,,,,0,12,12,14
Jonathan M Gary,,,,,,,,,,,0,13,14
Total,39,30,30,24,24,20,20,16,16,14,14,14,14
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,15
,Michele Lawrence,Brendan F Boyle,Barbara Carroll,David Rodriguez,Jaime Bouldin,Humberto Perez,Sharon Vaughn,Dustin Morris,Latrice Y Bryant,Jonathan M Gary,Robert Taylor,2,15
Michele Lawrence,1,0,5,7,6,6,4,3,4,3,3,3,15
Brendan F Boyle,,0,3,1,2,0,1,1,0,0,0,4,15
Barbara Carroll,,,0,6,4,6,5,4,4,3,3,5,15
David Rodriguez,,,,0,6,8,5,4,5,4,4,6,15
Jaime Bouldin,,,,,1,5,5,5,4,4,4,7,15
Humberto Perez,,,,,,0,4,3,4,3,3,8,15
Sharon Vaughn,,,,,,,0,5,5,4,4,9,15
Dustin Morris,,,,,,,,0,4,4,4,10,15
Latrice Y Bryant,,,,,,,,,0,4,4,11,15
Jonathan M Gary,,,,,,,,,,0,4,12,15
Robert Taylor,,,,,,,,,,,0,13,15
Total,12,5,11,11,10,9,6,5,5,4,4,14,15
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,16
,Michele Lawrence,Brendan F Boyle,Jaime Bouldin,Barbara Carroll,David Rodriguez,Humberto Perez,Robert Taylor,Dustin Morris,Jonathan M Gary,Latrice Y Bryant,Sharon Vaughn,2,16
Michele Lawrence,2,0,8,3,4,3,3,3,3,3,3,3,16
Brendan F Boyle,,2,2,1,1,3,1,1,1,1,1,4,16
Jaime Bouldin,,,0,4,4,4,4,4,4,4,4,5,16
Barbara Carroll,,,,2,4,4,4,4,4,4,4,6,16
David Rodriguez,,,,,1,4,4,4,4,4,4,7,16
Humberto Perez,,,,,,0,4,4,4,4,4,8,16
Robert Taylor,,,,,,,1,4,4,4,4,9,16
Dustin Morris,,,,,,,,0,4,4,4,10,16
Jonathan M Gary,,,,,,,,,0,4,4,11,16
Latrice Y Bryant,,,,,,,,,,0,4,12,16
Sharon Vaughn,,,,,,,,,,,0,13,16
Total,11,6,10,6,6,6,5,4,4,4,4,14,16
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,17
,Jaime Bouldin,Humberto Perez,David Rodriguez,Barbara Carroll,Dustin Morris,Jonathan M Gary,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Brendan F Boyle,Michele Lawrence,2,17
Jaime Bouldin,0,13,15,11,11,11,10,9,9,13,7,3,17
Humberto Perez,,1,13,10,10,9,10,9,9,11,7,4,17
David Rodriguez,,,1,10,11,10,10,9,9,10,7,5,17
Barbara Carroll,,,,0,10,10,10,9,9,9,2,6,17
Dustin Morris,,,,,0,10,10,9,9,8,3,7,17
Jonathan M Gary,,,,,,0,9,9,9,9,2,8,17
Sharon Vaughn,,,,,,,0,9,9,8,3,9,17
Latrice Y Bryant,,,,,,,,0,9,8,1,10,17
Robert Taylor,,,,,,,,,0,8,1,11,17
Brendan F Boyle,,,,,,,,,,5,0,12,17
Michele Lawrence,,,,,,,,,,,0,13,17
Total,20,19,18,11,11,11,11,9,9,19,14,14,17
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,18
,Michele Lawrence,Brendan F Boyle,Humberto Perez,David Rodriguez,Barbara Carroll,Jaime Bouldin,Latrice Y Bryant,Sharon Vaughn,Dustin Morris,Jonathan M Gary,Robert Taylor,2,18
Michele Lawrence,3,0,27,26,24,22,21,21,19,20,19,3,18
Brendan F Boyle,,0,3,2,2,2,2,2,2,1,2,4,18
Humberto Perez,,,0,28,27,25,26,26,24,24,24,5,18
David Rodriguez,,,,0,25,26,25,25,24,24,24,6,18
Barbara Carroll,,,,,1,22,26,26,24,24,24,7,18
Jaime Bouldin,,,,,,0,22,22,22,21,21,8,18
Latrice Y Bryant,,,,,,,1,26,24,24,24,9,18
Sharon Vaughn,,,,,,,,0,24,24,24,10,18
Dustin Morris,,,,,,,,,0,23,23,11,18
Jonathan M Gary,,,,,,,,,,0,23,12,18
Robert Taylor,,,,,,,,,,,0,13,18
Total,36,3,33,31,30,27,27,26,24,24,24,14,18
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,19
,Michele Lawrence,Brendan F Boyle,David Rodriguez,Jaime Bouldin,Humberto Perez,Sharon Vaughn,Barbara Carroll,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,Dustin Morris,2,19
Michele Lawrence,5,0,14,12,12,9,8,7,7,7,7,3,19
Brendan F Boyle,,0,3,4,3,3,3,3,3,3,3,4,19
David Rodriguez,,,0,14,14,12,11,10,10,10,10,5,19
Jaime Bouldin,,,,1,13,11,11,9,10,10,10,6,19
Humberto Perez,,,,,0,12,11,10,10,9,10,7,19
Sharon Vaughn,,,,,,0,11,10,10,9,10,8,19
Barbara Carroll,,,,,,,0,9,10,9,10,9,19
Jonathan M Gary,,,,,,,,0,10,9,8,10,19
Latrice Y Bryant,,,,,,,,,0,10,9,11,19
Robert Taylor,,,,,,,,,,0,9,12,19
Dustin Morris,,,,,,,,,,,0,13,19
Total,21,4,17,17,15,12,11,11,11,11,10,14,19
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,20
,Michele Lawrence,Brendan F Boyle,David Rodriguez,Humberto Perez,Jaime Bouldin,Barbara Carroll,Robert Taylor,Dustin Morris,Jonathan M Gary,Latrice Y Bryant,Sharon Vaughn,2,20
Michele Lawrence,9,0,9,8,6,2,3,2,2,2,2,3,20
Brendan F Boyle,,3,8,8,5,4,3,3,3,3,3,4,20
David Rodriguez,,,0,9,9,5,5,5,5,5,5,5,20
Humberto Perez,,,,0,9,5,5,5,5,5,5,6,20
Jaime Bouldin,,,,,1,5,5,5,5,5,5,7,20
Barbara Carroll,,,,,,0,5,5,5,5,5,8,20
Robert Taylor,,,,,,,0,5,5,5,5,9,20
Dustin Morris,,,,,,,,0,5,5,5,10,20
Jonathan M Gary,,,,,,,,,0,5,5,11,20
Latrice Y Bryant,,,,,,,,,,0,5,12,20
Sharon Vaughn,,,,,,,,,,,0,13,20
Total,23,17,17,16,12,6,6,5,5,5,5,14,20
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,21
,Brendan F Boyle,Michele Lawrence,David Rodriguez,Humberto Perez,Barbara Carroll,Jaime Bouldin,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Robert Taylor,Dustin Morris,2,21
Brendan F Boyle,31,0,20,22,6,6,5,2,1,1,0,3,21
Michele Lawrence,,0,7,6,4,5,2,0,0,0,0,4,21
David Rodriguez,,,0,24,9,7,7,2,1,1,1,5,21
Humberto Perez,,,,0,9,6,7,2,1,1,0,6,21
Barbara Carroll,,,,,1,1,4,2,1,1,0,7,21
Jaime Bouldin,,,,,,0,1,1,1,1,0,8,21
Sharon Vaughn,,,,,,,0,2,1,1,0,9,21
Latrice Y Bryant,,,,,,,,0,2,2,0,10,21
Jonathan M Gary,,,,,,,,,0,2,0,11,21
Robert Taylor,,,,,,,,,,0,0,12,21
Dustin Morris,,,,,,,,,,,0,13,21
Total,56,11,28,28,11,11,7,3,2,2,1,14,21
