col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,All
,Rhea Powell,Darrell L Clarke,Tom Young,Micah Mahjoubian,Joe Celentano,Noam Kugelmass,Andi Perez,Amanda Mcillmurray,Marylouise Isaacson,Mariel J K Martin,Jon Geeting,Judi Golding Baker,Matthew D Myers,All
,Rhea Powell,Tom Young,Micah Mahjoubian,Joe Celentano,Noam Kugelmass,Amanda Mcillmurray,Marylouise Isaacson,Darrell L Clarke,Judi Golding Baker,Andi Perez,Mariel J K Martin,Jon Geeting,Matthew D Myers,10
Rhea Powell,6,27,24,23,19,19,19,9,14,12,12,6,8,10
Tom Young,,5,20,19,18,13,14,6,9,8,6,5,9,10
Micah Mahjoubian,,,1,18,19,12,12,7,8,7,7,6,4,10
Joe Celentano,,,,2,15,9,9,5,8,6,4,2,6,10
Noam Kugelmass,,,,,1,10,10,5,6,7,5,3,5,10
Amanda Mcillmurray,,,,,,0,19,10,15,14,14,6,8,10
Marylouise Isaacson,,,,,,,0,9,14,12,11,4,7,10
Darrell L Clarke,,,,,,,,6,7,5,9,3,4,10
Judi Golding Baker,,,,,,,,,1,12,12,2,8,10
Andi Perez,,,,,,,,,,1,12,3,5,10
Mariel J K Martin,,,,,,,,,,,0,3,4,10
Jon Geeting,,,,,,,,,,,,4,2,10
Matthew D Myers,,,,,,,,,,,,,0,10
Total,42,33,29,26,25,23,21,20,19,18,18,12,10,10
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,11
,Rhea Powell,Darrell L Clarke,Micah Mahjoubian,Joe Celentano,Andi Perez,Noam Kugelmass,Amanda Mcillmurray,Tom Young,Marylouise Isaacson,Mariel J K Martin,Jon Geeting,Judi Golding Baker,Matthew D Myers,11
Rhea Powell,13,10,14,15,11,15,13,12,14,14,9,8,6,11
Darrell L Clarke,,7,7,8,10,6,6,6,5,8,5,6,4,11
Micah Mahjoubian,,,1,16,11,11,10,9,11,9,6,4,6,11
Joe Celentano,,,,1,8,10,9,8,10,7,6,3,3,11
Andi Perez,,,,,1,8,11,9,9,8,5,4,5,11
Noam Kugelmass,,,,,,0,8,11,9,6,6,6,6,11
Amanda Mcillmurray,,,,,,,1,7,12,10,6,5,6,11
Tom Young,,,,,,,,2,7,5,4,4,4,11
Marylouise Isaacson,,,,,,,,,0,9,7,6,6,11
Mariel J K Martin,,,,,,,,,,0,6,5,4,11
Jon Geeting,,,,,,,,,,,1,3,1,11
Judi Golding Baker,,,,,,,,,,,,0,2,11
Matthew D Myers,,,,,,,,,,,,,0,11
Total,40,27,26,24,21,21,20,20,18,16,11,10,10,11
