col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,order,division
Lisa Rhodes,,,,,,,0,4,2,2,2,1,1,6,0,0,1,0,9,10
John Brady,,,,,,,,0,1,2,2,1,1,4,0,0,1,0,10,10
Nat Lownes,,,,,,,,,1,1,2,1,0,2,0,1,0,0,11,10
Joe Khan,,,,,,,,,,0,0,1,1,3,0,0,0,0,12,10
Rebecca Poyourow,,,,,,,,,,,0,0,0,1,0,1,1,0,13,10
Jacque Whaumbush,,,,,,,,,,,,0,0,1,0,0,0,0,14,10
Monica Maria Djerassi,,,,,,,,,,,,,0,2,0,0,0,0,15,10
Mike Stack,,,,,,,,,,,,,,0,0,0,0,0,16,10
Kathi Cozzone,,,,,,,,,,,,,,,1,0,0,0,17,10
John Fetterman,,,,,,,,,,,,,,,,0,0,0,18,10
Nina Ahmad,,,,,,,,,,,,,,,,,0,0,19,10
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,10
Total,31,26,21,14,13,7,7,5,5,3,3,2,2,22,12,2,2,0,21,10
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,11
,Kathryn S Huggins,Ken Washington,Liam G Boyle,Dewayne Drummond,Kevin Bundy,Monica Maria Djerassi,Linda Norris,Lisa Rhodes,Rebecca Poyourow,John Brady,Jacque Whaumbush,Joe Khan,Nat Lownes,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,11
Kathryn S Huggins,1,11,13,14,13,5,5,6,4,3,2,4,4,5,7,3,1,0,3,11
Ken Washington,,2,11,8,9,5,4,3,3,2,3,1,1,6,6,3,0,0,4,11
Liam G Boyle,,,1,10,10,5,3,3,3,2,3,3,3,5,6,2,1,0,5,11
Dewayne Drummond,,,,0,11,4,4,3,3,2,1,2,2,5,5,1,1,0,6,11
Kevin Bundy,,,,,0,2,3,2,4,2,1,2,3,7,5,0,1,0,7,11
Monica Maria Djerassi,,,,,,0,6,4,4,2,3,1,1,5,0,3,0,0,8,11
Linda Norris,,,,,,,0,5,4,3,2,0,0,4,1,2,0,0,9,11
Lisa Rhodes,,,,,,,,0,2,3,2,2,1,1,1,4,0,0,10,11
Rebecca Poyourow,,,,,,,,,0,4,2,1,2,5,0,1,0,0,11,11
John Brady,,,,,,,,,,0,2,2,2,3,0,2,0,0,12,11
Jacque Whaumbush,,,,,,,,,,,0,2,1,1,0,2,1,0,13,11
Joe Khan,,,,,,,,,,,,0,3,1,0,2,1,0,14,11
Nat Lownes,,,,,,,,,,,,,0,2,0,1,1,0,15,11
Mike Stack,,,,,,,,,,,,,,4,0,0,0,0,16,11
Kathi Cozzone,,,,,,,,,,,,,,,0,0,0,0,17,11
Nina Ahmad,,,,,,,,,,,,,,,,3,0,0,18,11
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,11
Ray Sosa,,,,,,,,,,,,,,,,,,1,20,11
Total,20,19,17,15,15,9,8,7,6,5,4,4,4,16,8,8,1,1,21,11
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,12
,Ken Washington,Kathryn S Huggins,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Joe Khan,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,John Brady,Rebecca Poyourow,Jacque Whaumbush,Nat Lownes,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,12
Ken Washington,1,14,20,18,13,10,8,8,7,6,5,4,5,13,6,5,3,0,3,12
Kathryn S Huggins,,1,16,16,11,8,9,8,7,4,5,4,3,9,12,4,1,0,4,12
Dewayne Drummond,,,0,18,14,11,9,9,6,6,5,2,6,9,5,5,2,0,5,12
Liam G Boyle,,,,0,12,7,7,6,6,6,5,3,4,8,6,4,2,0,6,12
Kevin Bundy,,,,,0,8,4,3,0,5,6,2,4,3,6,4,3,0,7,12
Joe Khan,,,,,,0,4,5,4,6,4,5,3,4,3,5,2,0,8,12
Lisa Rhodes,,,,,,,0,10,8,3,3,3,3,8,0,3,1,0,9,12
Linda Norris,,,,,,,,0,8,1,1,2,2,7,0,3,1,0,10,12
Monica Maria Djerassi,,,,,,,,,0,1,1,3,1,7,1,2,0,0,11,12
John Brady,,,,,,,,,,0,4,3,3,3,2,1,2,0,12,12
Rebecca Poyourow,,,,,,,,,,,0,2,2,3,2,2,1,0,13,12
Jacque Whaumbush,,,,,,,,,,,,0,0,1,1,3,1,0,14,12
Nat Lownes,,,,,,,,,,,,,0,2,2,1,1,0,15,12
Mike Stack,,,,,,,,,,,,,,1,0,0,0,0,16,12
Kathi Cozzone,,,,,,,,,,,,,,,1,0,0,0,17,12
Nina Ahmad,,,,,,,,,,,,,,,,0,0,0,18,12
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,12
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,12
Total,30,28,23,22,17,14,12,11,10,8,8,6,6,18,14,8,4,0,21,12
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,13
,Kathryn S Huggins,Ken Washington,Liam G Boyle,Dewayne Drummond,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Kevin Bundy,Nat Lownes,Joe Khan,John Brady,Rebecca Poyourow,Jacque Whaumbush,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,13
Kathryn S Huggins,0,36,34,32,25,23,18,13,4,3,4,3,1,30,15,5,0,0,3,13
Ken Washington,,2,36,33,27,24,20,12,5,4,5,3,1,32,5,4,0,0,4,13
Liam G Boyle,,,0,32,23,21,19,10,4,4,3,0,2,29,4,2,0,0,5,13
Dewayne Drummond,,,,0,27,23,18,9,5,1,3,1,0,30,3,2,0,0,6,13
Linda Norris,,,,,0,25,19,7,5,2,3,3,0,23,1,3,0,0,7,13
Lisa Rhodes,,,,,,0,17,5,4,2,2,2,1,21,0,3,0,0,8,13
Monica Maria Djerassi,,,,,,,0,2,1,0,1,1,0,16,0,2,0,0,9,13
Kevin Bundy,,,,,,,,0,4,4,2,2,1,8,7,1,0,0,10,13
Nat Lownes,,,,,,,,,0,2,2,0,0,5,1,0,0,0,11,13
Joe Khan,,,,,,,,,,0,1,1,2,3,1,1,0,0,12,13
John Brady,,,,,,,,,,,0,1,0,1,2,1,0,0,13,13
Rebecca Poyourow,,,,,,,,,,,,0,0,0,1,2,0,0,14,13
Jacque Whaumbush,,,,,,,,,,,,,0,2,0,0,0,0,15,13
Mike Stack,,,,,,,,,,,,,,2,0,0,0,0,16,13
Kathi Cozzone,,,,,,,,,,,,,,,0,0,0,0,17,13
Nina Ahmad,,,,,,,,,,,,,,,,0,0,0,18,13
John Fetterman,,,,,,,,,,,,,,,,,1,0,19,13
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,13
