col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,order,division
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,4
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,4
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,4
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,4
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,4
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,4
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,4
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,4
Rhea Powell,,,,,,,,,,,,,,0,0,16,4
Tom Young,,,,,,,,,,,,,,,0,17,4
Total,62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,5
,Dwight Evans,Kevin Johnson,Rhea Powell,Micah Mahjoubian,Tom Young,Joe Celentano,Amanda Mcillmurray,Darrell L Clarke,Mariel J K Martin,Marylouise Isaacson,Andi Perez,Judi Golding Baker,Noam Kugelmass,Matthew D Myers,Jon Geeting,2,5
Dwight Evans,5,0,22,14,18,12,12,12,12,12,7,9,10,7,2,3,5
Kevin Johnson,,1,16,10,7,10,8,6,6,5,8,5,4,4,0,4,5
Rhea Powell,,,1,19,18,18,17,12,16,14,12,13,11,7,2,5,5
Micah Mahjoubian,,,,1,17,17,12,10,10,9,9,7,14,8,1,6,5
Tom Young,,,,,0,17,10,9,9,9,7,5,11,6,2,7,5
Joe Celentano,,,,,,0,8,7,6,5,8,6,12,5,2,8,5
Amanda Mcillmurray,,,,,,,0,11,15,16,9,12,5,8,0,9,5
Darrell L Clarke,,,,,,,,0,8,9,7,7,2,8,0,10,5
Mariel J K Martin,,,,,,,,,0,13,9,10,4,5,1,11,5
Marylouise Isaacson,,,,,,,,,,0,6,10,3,7,1,12,5
Andi Perez,,,,,,,,,,,0,7,5,4,2,13,5
Judi Golding Baker,,,,,,,,,,,,0,2,4,0,14,5
Noam Kugelmass,,,,,,,,,,,,,0,2,1,15,5
Matthew D Myers,,,,,,,,,,,,,,0,0,16,5
Jon Geeting,,,,,,,,,,,,,,,0,17,5
Total,39,19,39,25,25,22,20,18,18,17,15,14,14,11,2,18,5
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,6
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,6
Dwight Evans,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Kevin Johnson,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,6
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,6
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,6
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,6
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,6
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,6
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,6
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,6
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,6
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,6
Rhea Powell,,,,,,,,,,,,,,0,0,16,6
Tom Young,,,,,,,,,,,,,,,0,17,6
Total,51,21,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,7
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,7
Dwight Evans,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
Kevin Johnson,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,7
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,7
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,7
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,7
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,7
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,7
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,7
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,7
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,7
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,7
Rhea Powell,,,,,,,,,,,,,,0,0,16,7
Tom Young,,,,,,,,,,,,,,,0,17,7
