col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,order,division
,Rhea Powell,Tom Young,Joe Celentano,Matthew D Myers,Darrell L Clarke,Andi Perez,Marylouise Isaacson,Micah Mahjoubian,Mariel J K Martin,Amanda Mcillmurray,Noam Kugelmass,Jon Geeting,Judi Golding Baker,2,4
Rhea Powell,6,8,6,4,4,3,4,5,2,4,4,2,2,3,4
Tom Young,,1,8,5,5,4,4,6,3,2,4,3,1,4,4
Joe Celentano,,,1,5,3,2,1,4,2,2,4,2,1,5,4
Matthew D Myers,,,,2,6,4,4,2,4,2,0,1,2,6,4
Darrell L Clarke,,,,,0,5,5,3,3,2,1,1,1,7,4
Andi Perez,,,,,,0,4,3,3,1,1,1,0,8,4
Marylouise Isaacson,,,,,,,0,3,3,3,1,0,1,9,4
Micah Mahjoubian,,,,,,,,0,3,1,4,1,0,10,4
Mariel J K Martin,,,,,,,,,0,1,1,0,0,11,4
Amanda Mcillmurray,,,,,,,,,,0,1,1,2,12,4
Noam Kugelmass,,,,,,,,,,,0,1,0,13,4
Jon Geeting,,,,,,,,,,,,0,1,14,4
Judi Golding Baker,,,,,,,,,,,,,0,15,4
Total,16,14,12,12,9,6,6,6,5,4,4,3,2,16,4
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,5
,Joe Celentano,Tom Young,Judi Golding Baker,Marylouise Isaacson,Micah Mahjoubian,Rhea Powell,Darrell L Clarke,Noam Kugelmass,Amanda Mcillmurray,Matthew D Myers,Mariel J K Martin,Andi Perez,Jon Geeting,2,5
Joe Celentano,7,17,13,10,12,10,8,12,9,6,8,6,7,3,5
Tom Young,,2,12,11,14,10,9,12,8,8,10,9,7,4,5
Judi Golding Baker,,,0,14,11,12,8,10,14,6,7,8,8,5,5
Marylouise Isaacson,,,,0,12,9,10,8,12,6,10,9,5,6,5
Micah Mahjoubian,,,,,0,10,11,12,6,5,9,11,3,7,5
Rhea Powell,,,,,,3,5,9,7,5,4,5,5,8,5
Darrell L Clarke,,,,,,,3,5,4,3,7,10,4,9,5
Noam Kugelmass,,,,,,,,0,7,3,6,5,4,10,5
Amanda Mcillmurray,,,,,,,,,0,4,8,3,6,11,5
Matthew D Myers,,,,,,,,,,3,7,5,4,12,5
Mariel J K Martin,,,,,,,,,,,0,5,3,13,5
Andi Perez,,,,,,,,,,,,0,3,14,5
Jon Geeting,,,,,,,,,,,,,0,15,5
Total,27,23,21,19,19,19,17,16,15,15,14,13,10,16,5
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,6
,Matthew D Myers,Tom Young,Joe Celentano,Micah Mahjoubian,Marylouise Isaacson,Andi Perez,Darrell L Clarke,Mariel J K Martin,Rhea Powell,Amanda Mcillmurray,Noam Kugelmass,Judi Golding Baker,Jon Geeting,2,6
Matthew D Myers,12,24,18,19,22,19,21,20,8,13,4,9,5,3,6
Tom Young,,1,20,27,25,21,17,20,17,17,11,6,7,4,6
Joe Celentano,,,10,14,13,10,7,10,15,15,11,8,7,5,6
Micah Mahjoubian,,,,0,21,19,14,19,12,11,11,4,4,6,6
Marylouise Isaacson,,,,,0,21,16,19,11,17,5,9,7,7,6
Andi Perez,,,,,,0,14,18,6,10,5,3,6,8,6
Darrell L Clarke,,,,,,,1,16,5,8,1,3,3,9,6
Mariel J K Martin,,,,,,,,1,7,9,5,4,2,10,6
Rhea Powell,,,,,,,,,2,11,9,7,4,11,6
Amanda Mcillmurray,,,,,,,,,,0,7,9,8,12,6
Noam Kugelmass,,,,,,,,,,,1,3,3,13,6
Judi Golding Baker,,,,,,,,,,,,1,4,14,6
Jon Geeting,,,,,,,,,,,,,0,15,6
Total,49,40,39,32,31,26,26,26,23,22,16,12,9,16,6
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,7
,Joe Celentano,Rhea Powell,Micah Mahjoubian,Tom Young,Amanda Mcillmurray,Marylouise Isaacson,Judi Golding Baker,Andi Perez,Darrell L Clarke,Mariel J K Martin,Matthew D Myers,Noam Kugelmass,Jon Geeting,2,7
Joe Celentano,5,7,5,5,5,5,4,3,1,3,1,4,3,3,7
Rhea Powell,,5,6,5,6,7,6,6,1,4,1,3,2,4,7
Micah Mahjoubian,,,1,9,5,6,4,5,4,3,2,4,1,5,7
Tom Young,,,,1,6,5,4,4,2,3,2,4,2,6,7
Amanda Mcillmurray,,,,,0,8,7,6,2,5,2,2,2,7,7
Marylouise Isaacson,,,,,,0,8,7,3,6,2,3,3,8,7
Judi Golding Baker,,,,,,,0,5,2,5,2,2,3,9,7
Andi Perez,,,,,,,,0,2,6,2,1,1,10,7
Darrell L Clarke,,,,,,,,,2,1,2,1,0,11,7
Mariel J K Martin,,,,,,,,,,0,2,1,2,12,7
Matthew D Myers,,,,,,,,,,,3,0,1,13,7
Noam Kugelmass,,,,,,,,,,,,0,1,14,7
Jon Geeting,,,,,,,,,,,,,0,15,7
Total,15,15,13,12,10,10,9,8,7,7,7,5,3,16,7
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,8
,Tom Young,Micah Mahjoubian,Marylouise Isaacson,Matthew D Myers,Andi Perez,Mariel J K Martin,Darrell L Clarke,Joe Celentano,Rhea Powell,Amanda Mcillmurray,Judi Golding Baker,Noam Kugelmass,Jon Geeting,2,8
Tom Young,3,39,33,31,33,30,27,8,9,10,6,6,1,3,8
Micah Mahjoubian,,0,35,27,32,30,28,11,9,10,6,6,3,4,8
Marylouise Isaacson,,,1,30,31,30,29,14,12,14,8,7,4,5,8
Matthew D Myers,,,,1,29,27,29,8,7,7,6,2,2,6,8
Andi Perez,,,,,0,28,27,7,5,8,3,4,1,7,8
Mariel J K Martin,,,,,,0,27,8,7,8,6,3,1,8,8
Darrell L Clarke,,,,,,,0,6,8,7,6,1,2,9,8
Joe Celentano,,,,,,,,10,11,12,5,6,4,10,8
Rhea Powell,,,,,,,,,5,13,8,7,4,11,8
Amanda Mcillmurray,,,,,,,,,,0,8,7,3,12,8
Judi Golding Baker,,,,,,,,,,,0,3,2,13,8
Noam Kugelmass,,,,,,,,,,,,0,1,14,8
Jon Geeting,,,,,,,,,,,,,0,15,8
Total,48,45,42,37,35,35,34,28,22,17,10,8,4,16,8
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,9
,Joe Celentano,Matthew D Myers,Rhea Powell,Tom Young,Darrell L Clarke,Marylouise Isaacson,Mariel J K Martin,Micah Mahjoubian,Andi Perez,Amanda Mcillmurray,Noam Kugelmass,Judi Golding Baker,Jon Geeting,2,9
Joe Celentano,7,12,15,12,7,10,10,8,6,8,8,8,7,3,9
Matthew D Myers,,5,9,11,15,10,12,9,8,6,3,6,5,4,9
Rhea Powell,,,5,11,6,10,9,8,7,8,8,8,7,5,9
Tom Young,,,,2,10,12,11,13,11,6,6,6,4,6,9
Darrell L Clarke,,,,,4,8,10,8,7,4,2,3,1,7,9
Marylouise Isaacson,,,,,,1,12,10,11,7,6,5,5,8,9
Mariel J K Martin,,,,,,,0,9,7,7,4,6,3,9,9
Micah Mahjoubian,,,,,,,,1,11,6,5,5,3,10,9
Andi Perez,,,,,,,,,0,5,5,2,4,11,9
Amanda Mcillmurray,,,,,,,,,,0,6,7,5,12,9
Noam Kugelmass,,,,,,,,,,,1,6,4,13,9
Judi Golding Baker,,,,,,,,,,,,0,4,14,9
Jon Geeting,,,,,,,,,,,,,0,15,9
Total,27,27,22,21,20,18,17,17,14,12,11,10,8,16,9
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,10
,Andi Perez,Mariel J K Martin,Marylouise Isaacson,Micah Mahjoubian,Amanda Mcillmurray,Joe Celentano,Rhea Powell,Tom Young,Noam Kugelmass,Darrell L Clarke,Judi Golding Baker,Jon Geeting,Matthew D Myers,2,10
Andi Perez,0,15,13,13,13,10,8,9,8,5,6,5,4,3,10
Mariel J K Martin,,0,13,12,14,7,9,10,9,6,8,5,3,4,10
Marylouise Isaacson,,,2,12,12,7,6,8,5,7,8,2,4,5,10
Micah Mahjoubian,,,,2,10,5,5,7,7,7,6,3,5,6,10
Amanda Mcillmurray,,,,,0,9,10,8,8,5,9,6,2,7,10
Joe Celentano,,,,,,4,6,7,3,4,4,5,2,8,10
Rhea Powell,,,,,,,4,6,7,2,6,5,0,9,10
Tom Young,,,,,,,,1,4,4,3,5,3,10,10
Noam Kugelmass,,,,,,,,,0,2,4,3,0,11,10
Darrell L Clarke,,,,,,,,,,0,5,1,5,12,10
Judi Golding Baker,,,,,,,,,,,0,1,2,13,10
Jon Geeting,,,,,,,,,,,,0,0,14,10
Matthew D Myers,,,,,,,,,,,,,0,15,10
Total,19,18,18,17,16,16,15,13,10,9,9,6,5,16,10
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,11
,Tom Young,Micah Mahjoubian,Marylouise Isaacson,Joe Celentano,Rhea Powell,Amanda Mcillmurray,Mariel J K Martin,Andi Perez,Darrell L Clarke,Matthew D Myers,Judi Golding Baker,Noam Kugelmass,Jon Geeting,2,11
Tom Young,3,22,19,16,17,16,19,19,12,7,8,12,6,3,11
Micah Mahjoubian,,0,17,14,15,14,17,17,14,9,7,13,6,4,11
Marylouise Isaacson,,,0,12,18,20,20,19,14,6,14,9,7,5,11
Joe Celentano,,,,6,16,14,11,13,7,2,7,10,8,6,11
Rhea Powell,,,,,4,19,13,16,7,1,13,13,7,7,11
Amanda Mcillmurray,,,,,,2,19,18,9,2,14,10,4,8,11
Mariel J K Martin,,,,,,,0,20,12,8,11,6,4,9,11
Andi Perez,,,,,,,,0,13,7,9,8,4,10,11
Darrell L Clarke,,,,,,,,,2,9,4,2,5,11,11
Matthew D Myers,,,,,,,,,,3,2,1,1,12,11
Judi Golding Baker,,,,,,,,,,,0,6,3,13,11
Noam Kugelmass,,,,,,,,,,,,0,3,14,11
Jon Geeting,,,,,,,,,,,,,2,15,11
Total,31,30,29,28,28,27,26,25,24,16,15,15,12,16,11
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,12
,Marylouise Isaacson,Micah Mahjoubian,Matthew D Myers,Andi Perez,Darrell L Clarke,Rhea Powell,Tom Young,Mariel J K Martin,Amanda Mcillmurray,Joe Celentano,Judi Golding Baker,Jon Geeting,Noam Kugelmass,2,12
Marylouise Isaacson,0,27,21,24,20,21,22,21,16,12,14,11,9,3,12
Micah Mahjoubian,,1,21,21,21,16,20,18,11,10,11,11,8,4,12
Matthew D Myers,,,2,20,23,11,20,20,9,11,10,10,4,5,12
Andi Perez,,,,1,20,13,20,19,11,10,10,8,6,6,12
Darrell L Clarke,,,,,2,11,18,18,8,6,9,8,3,7,12
Rhea Powell,,,,,,2,10,12,16,14,16,11,9,8,12
Tom Young,,,,,,,2,18,6,9,5,8,8,9,12
Mariel J K Martin,,,,,,,,1,9,7,11,5,3,10,12
Amanda Mcillmurray,,,,,,,,,0,9,13,7,6,11,12
Joe Celentano,,,,,,,,,,1,8,9,7,12,12
Judi Golding Baker,,,,,,,,,,,0,6,3,13,12
Jon Geeting,,,,,,,,,,,,0,8,14,12
Noam Kugelmass,,,,,,,,,,,,,0,15,12
Total,36,32,31,30,29,29,29,27,20,20,19,16,12,16,12
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,13
,Marylouise Isaacson,Matthew D Myers,Tom Young,Micah Mahjoubian,Darrell L Clarke,Mariel J K Martin,Andi Perez,Joe Celentano,Amanda Mcillmurray,Rhea Powell,Noam Kugelmass,Judi Golding Baker,Jon Geeting,2,13
Marylouise Isaacson,0,27,28,27,25,26,26,10,13,10,7,9,6,3,13
Matthew D Myers,,2,25,21,27,24,22,9,10,4,4,6,4,4,13
Tom Young,,,2,27,23,24,23,10,13,11,11,8,5,5,13
Micah Mahjoubian,,,,1,25,25,24,8,11,12,10,5,4,6,13
Darrell L Clarke,,,,,0,25,24,3,11,6,6,6,2,7,13
Mariel J K Martin,,,,,,0,22,5,12,8,8,6,4,8,13
Andi Perez,,,,,,,0,7,10,6,8,7,6,9,13
Joe Celentano,,,,,,,,5,5,10,6,4,6,10,13
Amanda Mcillmurray,,,,,,,,,2,10,10,11,4,11,13
Rhea Powell,,,,,,,,,,2,10,8,6,12,13
Noam Kugelmass,,,,,,,,,,,1,7,4,13,13
Judi Golding Baker,,,,,,,,,,,,0,4,14,13
Jon Geeting,,,,,,,,,,,,,1,15,13
Total,36,36,36,34,33,31,30,22,21,20,15,14,9,16,13
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,14
,Rhea Powell,Joe Celentano,Marylouise Isaacson,Amanda Mcillmurray,Mariel J K Martin,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Tom Young,Judi Golding Baker,Andi Perez,Darrell L Clarke,Jon Geeting,2,14
Rhea Powell,2,17,16,17,18,8,15,17,14,14,11,6,4,3,14
Joe Celentano,,6,10,9,9,6,15,14,12,10,7,5,4,4,14
Marylouise Isaacson,,,1,19,18,8,11,11,10,13,14,7,4,5,14
Amanda Mcillmurray,,,,2,18,6,8,10,7,13,10,5,6,6,14
Mariel J K Martin,,,,,0,11,10,10,8,12,11,9,7,7,14
Matthew D Myers,,,,,,10,9,7,10,7,5,9,5,8,14
Micah Mahjoubian,,,,,,,0,11,15,8,7,9,2,9,14
Noam Kugelmass,,,,,,,,1,12,8,8,6,4,10,14
Tom Young,,,,,,,,,1,7,7,7,2,11,14
Judi Golding Baker,,,,,,,,,,0,8,5,5,12,14
Andi Perez,,,,,,,,,,,0,5,3,13,14
Darrell L Clarke,,,,,,,,,,,,2,5,14,14
Jon Geeting,,,,,,,,,,,,,0,15,14
Total,30,26,25,24,24,24,20,20,20,19,16,15,8,16,14
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,15
,Matthew D Myers,Darrell L Clarke,Rhea Powell,Marylouise Isaacson,Joe Celentano,Tom Young,Micah Mahjoubian,Andi Perez,Amanda Mcillmurray,Judi Golding Baker,Mariel J K Martin,Noam Kugelmass,Jon Geeting,2,15
Matthew D Myers,6,12,7,9,6,7,6,6,4,5,7,3,2,3,15
Darrell L Clarke,,4,10,13,6,7,8,9,4,7,9,4,2,4,15
Rhea Powell,,,3,11,8,8,8,7,9,10,8,5,4,5,15
Marylouise Isaacson,,,,0,8,9,8,10,7,9,9,4,4,6,15
Joe Celentano,,,,,4,5,4,2,5,6,3,3,4,7,15
Tom Young,,,,,,5,8,6,5,7,6,4,4,8,15
Micah Mahjoubian,,,,,,,0,5,2,4,4,4,3,9,15
Andi Perez,,,,,,,,1,6,6,7,2,1,10,15
Amanda Mcillmurray,,,,,,,,,0,8,5,1,3,11,15
Judi Golding Baker,,,,,,,,,,0,8,4,4,12,15
Mariel J K Martin,,,,,,,,,,,0,2,2,13,15
Noam Kugelmass,,,,,,,,,,,,0,2,14,15
Jon Geeting,,,,,,,,,,,,,0,15,15
Total,25,24,23,20,19,19,15,14,12,12,11,7,5,16,15
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,16
,Rhea Powell,Marylouise Isaacson,Andi Perez,Micah Mahjoubian,Amanda Mcillmurray,Judi Golding Baker,Tom Young,Mariel J K Martin,Noam Kugelmass,Jon Geeting,Joe Celentano,Darrell L Clarke,Matthew D Myers,2,16
Rhea Powell,3,42,34,30,34,31,23,22,24,19,18,11,5,3,16
Marylouise Isaacson,,1,31,30,33,30,23,22,20,17,17,12,8,4,16
Andi Perez,,,1,28,21,22,19,20,19,13,13,11,6,5,16
Micah Mahjoubian,,,,2,18,18,20,17,18,12,12,11,6,6,16
Amanda Mcillmurray,,,,,0,24,16,19,16,14,14,7,5,7,16
Judi Golding Baker,,,,,,0,8,16,11,11,7,8,5,8,16
Tom Young,,,,,,,2,12,17,12,14,9,7,9,16
Mariel J K Martin,,,,,,,,0,10,8,8,10,5,10,16
Noam Kugelmass,,,,,,,,,0,7,13,7,5,11,16
Jon Geeting,,,,,,,,,,2,11,7,3,12,16
Joe Celentano,,,,,,,,,,,1,5,3,13,16
Darrell L Clarke,,,,,,,,,,,,0,4,14,16
Matthew D Myers,,,,,,,,,,,,,1,15,16
Total,53,49,40,39,36,33,30,27,26,23,22,15,11,16,16
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,17
,Rhea Powell,Micah Mahjoubian,Mariel J K Martin,Marylouise Isaacson,Amanda Mcillmurray,Andi Perez,Joe Celentano,Noam Kugelmass,Darrell L Clarke,Judi Golding Baker,Jon Geeting,Tom Young,Matthew D Myers,2,17
Rhea Powell,2,22,19,21,20,19,14,16,11,17,9,9,5,3,17
Micah Mahjoubian,,2,18,18,16,16,14,16,14,12,9,8,4,4,17
Mariel J K Martin,,,0,17,18,19,9,12,15,16,5,8,8,5,17
Marylouise Isaacson,,,,0,21,17,12,12,9,14,7,8,5,6,17
Amanda Mcillmurray,,,,,1,14,8,10,10,16,5,3,3,7,17
Andi Perez,,,,,,0,12,9,12,11,7,11,7,8,17
Joe Celentano,,,,,,,4,10,4,5,7,9,3,9,17
Noam Kugelmass,,,,,,,,2,9,11,6,6,4,10,17
Darrell L Clarke,,,,,,,,,1,11,6,4,7,11,17
Judi Golding Baker,,,,,,,,,,0,3,3,5,12,17
Jon Geeting,,,,,,,,,,,3,5,2,13,17
Tom Young,,,,,,,,,,,,0,6,14,17
Matthew D Myers,,,,,,,,,,,,,0,15,17
Total,33,29,26,26,25,24,21,21,20,20,15,12,10,16,17
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,18
,Rhea Powell,Marylouise Isaacson,Micah Mahjoubian,Joe Celentano,Matthew D Myers,Tom Young,Darrell L Clarke,Mariel J K Martin,Amanda Mcillmurray,Andi Perez,Judi Golding Baker,Noam Kugelmass,Jon Geeting,2,18
Rhea Powell,2,23,21,18,13,14,12,14,20,12,17,12,9,3,18
Marylouise Isaacson,,0,20,15,20,13,18,20,19,17,17,8,9,4,18
Micah Mahjoubian,,,1,18,16,20,16,11,11,15,9,8,8,5,18
Joe Celentano,,,,7,12,12,9,10,10,12,6,8,10,6,18
Matthew D Myers,,,,,3,13,16,16,11,16,10,6,8,7,18
Tom Young,,,,,,2,14,10,6,13,3,8,6,8,18
Darrell L Clarke,,,,,,,0,14,8,14,8,4,8,9,18
Mariel J K Martin,,,,,,,,0,13,16,12,7,6,10,18
Amanda Mcillmurray,,,,,,,,,1,7,13,6,4,11,18
Andi Perez,,,,,,,,,,0,9,4,9,12,18
Judi Golding Baker,,,,,,,,,,,0,6,4,13,18
Noam Kugelmass,,,,,,,,,,,,0,3,14,18
Jon Geeting,,,,,,,,,,,,,1,15,18
Total,38,34,33,31,31,28,25,25,24,23,20,15,13,16,18
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,19
,Joe Celentano,Micah Mahjoubian,Rhea Powell,Tom Young,Amanda Mcillmurray,Andi Perez,Marylouise Isaacson,Mariel J K Martin,Judi Golding Baker,Darrell L Clarke,Noam Kugelmass,Matthew D Myers,Jon Geeting,2,19
Joe Celentano,8,17,17,19,15,14,10,8,9,7,12,6,7,3,19
Micah Mahjoubian,,1,19,22,15,19,18,18,12,12,13,8,5,4,19
Rhea Powell,,,3,18,17,18,19,16,14,10,16,2,6,5,19
Tom Young,,,,1,10,18,15,13,9,11,13,9,6,6,19
Amanda Mcillmurray,,,,,0,14,16,14,14,9,11,6,3,7,19
Andi Perez,,,,,,0,18,16,9,11,9,5,5,8,19
Marylouise Isaacson,,,,,,,0,18,12,13,11,7,4,9,19
Mariel J K Martin,,,,,,,,1,13,10,7,5,2,10,19
Judi Golding Baker,,,,,,,,,0,8,7,4,1,11,19
Darrell L Clarke,,,,,,,,,,0,4,7,0,12,19
Noam Kugelmass,,,,,,,,,,,0,1,5,13,19
Matthew D Myers,,,,,,,,,,,,2,0,14,19
Jon Geeting,,,,,,,,,,,,,0,15,19
Total,34,32,31,29,27,27,27,24,18,17,17,15,7,16,19
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,20
,Marylouise Isaacson,Joe Celentano,Mariel J K Martin,Tom Young,Andi Perez,Matthew D Myers,Amanda Mcillmurray,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Darrell L Clarke,Judi Golding Baker,Jon Geeting,2,20
Marylouise Isaacson,2,5,6,4,5,3,3,3,4,5,4,3,2,3,20
Joe Celentano,,0,6,6,4,4,4,1,4,4,3,3,1,4,20
Mariel J K Martin,,,0,6,5,3,5,3,5,4,4,4,2,5,20
Tom Young,,,,0,5,3,3,3,5,3,3,3,3,6,20
Andi Perez,,,,,0,3,3,4,4,5,4,2,3,7,20
Matthew D Myers,,,,,,0,3,2,4,3,3,3,1,8,20
Amanda Mcillmurray,,,,,,,0,2,2,3,2,3,0,9,20
Micah Mahjoubian,,,,,,,,1,2,3,2,2,2,10,20
Noam Kugelmass,,,,,,,,,0,3,3,3,3,11,20
Rhea Powell,,,,,,,,,,0,2,3,2,12,20
Darrell L Clarke,,,,,,,,,,,0,2,1,13,20
Judi Golding Baker,,,,,,,,,,,,0,1,14,20
Jon Geeting,,,,,,,,,,,,,0,15,20
Total,9,8,8,8,7,7,6,6,6,6,5,5,3,16,20
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,21
,Rhea Powell,Marylouise Isaacson,Micah Mahjoubian,Joe Celentano,Amanda Mcillmurray,Andi Perez,Matthew D Myers,Tom Young,Darrell L Clarke,Jon Geeting,Noam Kugelmass,Mariel J K Martin,Judi Golding Baker,2,21
Rhea Powell,5,16,15,13,14,12,8,10,8,9,11,9,8,3,21
Marylouise Isaacson,,0,17,11,13,12,8,10,8,7,10,10,7,4,21
Micah Mahjoubian,,,0,10,11,11,8,9,9,8,11,7,6,5,21
Joe Celentano,,,,3,10,10,4,10,5,10,7,7,3,6,21
Amanda Mcillmurray,,,,,1,11,7,8,7,5,6,8,6,7,21
Andi Perez,,,,,,0,7,8,7,4,6,8,5,8,21
Matthew D Myers,,,,,,,2,5,7,2,3,5,4,9,21
Tom Young,,,,,,,,0,6,8,6,4,2,10,21
Darrell L Clarke,,,,,,,,,0,4,7,4,7,11,21
Jon Geeting,,,,,,,,,,2,6,3,3,12,21
Noam Kugelmass,,,,,,,,,,,0,4,5,13,21
Mariel J K Martin,,,,,,,,,,,,0,3,14,21
Judi Golding Baker,,,,,,,,,,,,,0,15,21
