To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
Bob Casey Jr,3,0,46,33,25,12,0,0,6
Write In,,1,0,0,0,0,0,0,6
John Fetterman,,,2,0,0,0,0,0,6
Nina Ahmad,,,,3,0,0,0,0,6
Mike Stack,,,,,5,0,0,0,6
Kathi Cozzone,,,,,,1,0,0,6
Ray Sosa,,,,,,,2,0,6
Total,124,1,49,37,31,14,3,0,6
,Bob Casey Jr,Write In,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,0,7
Bob Casey Jr,7,0,56,51,26,19,0,0,7
Write In,,1,0,0,0,0,0,0,7
John Fetterman,,,5,0,0,0,0,0,7
Nina Ahmad,,,,5,0,0,0,0,7
Mike Stack,,,,,4,0,0,0,7
Kathi Cozzone,,,,,,2,0,0,7
Ray Sosa,,,,,,,2,0,7
Total,163,1,62,57,31,22,2,0,7
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,0,8
Bob Casey Jr,11,0,8,1,2,1,0,0,8
Write In,,1,0,0,0,0,0,0,8
Mike Stack,,,1,0,0,0,0,0,8
John Fetterman,,,,3,0,0,0,0,8
Kathi Cozzone,,,,,2,0,0,0,8
Nina Ahmad,,,,,,1,0,0,8
Ray Sosa,,,,,,,1,0,8
Total,27,1,10,5,5,3,1,0,8
,Bob Casey Jr,Write In,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,0,9
Bob Casey Jr,11,0,52,32,33,14,2,0,9
Write In,,1,0,0,0,0,0,0,9
Nina Ahmad,,,3,0,0,0,0,0,9
Mike Stack,,,,3,0,0,0,0,9
John Fetterman,,,,,1,0,0,0,9
Kathi Cozzone,,,,,,1,0,0,9
Ray Sosa,,,,,,,1,0,9
Total,149,1,56,36,35,16,4,0,9
,Bob Casey Jr,Write In,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,0,10
Bob Casey Jr,6,0,55,38,26,18,0,0,10
Write In,,1,0,0,0,0,0,0,10
John Fetterman,,,3,0,0,0,0,0,10
Nina Ahmad,,,,2,0,0,0,0,10
Mike Stack,,,,,7,0,0,0,10
Kathi Cozzone,,,,,,2,0,0,10
Ray Sosa,,,,,,,1,0,10
Total,148,1,59,41,34,21,2,0,10
,Bob Casey Jr,Write In,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,0,11
Bob Casey Jr,7,0,43,38,31,14,0,0,11
Write In,,2,0,0,0,0,0,0,11
John Fetterman,,,4,0,0,0,0,0,11
Nina Ahmad,,,,6,0,0,0,0,11
Mike Stack,,,,,6,0,0,0,11
Kathi Cozzone,,,,,,1,0,0,11
Ray Sosa,,,,,,,1,0,11
Total,137,2,48,45,38,16,1,0,11
,Bob Casey Jr,Write In,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,0,12
Bob Casey Jr,6,0,73,48,24,10,0,0,12
Write In,,1,0,0,0,0,0,0,12
John Fetterman,,,5,0,0,0,0,0,12
Nina Ahmad,,,,3,0,0,0,0,12
Mike Stack,,,,,2,0,0,0,12
Kathi Cozzone,,,,,,1,0,0,12
Ray Sosa,,,,,,,1,0,12
Total,165,1,79,52,27,12,1,0,12
,Bob Casey Jr,Write In,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,0,13
Bob Casey Jr,8,0,8,8,4,3,0,0,13
Write In,,1,0,0,0,0,0,0,13
Kathi Cozzone,,,1,0,0,0,0,0,13
Mike Stack,,,,1,0,0,0,0,13
Nina Ahmad,,,,,1,0,0,0,13
John Fetterman,,,,,,1,0,0,13
Ray Sosa,,,,,,,2,0,13
Total,36,1,10,10,6,5,3,0,13
,Bob Casey Jr,Write In,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,0,14
Bob Casey Jr,7,0,22,20,19,9,1,0,14
Write In,,1,0,0,0,0,0,0,14
Nina Ahmad,,,2,0,0,0,0,0,14
Mike Stack,,,,3,0,0,0,0,14
John Fetterman,,,,,1,0,0,0,14
Kathi Cozzone,,,,,,2,0,0,14
Ray Sosa,,,,,,,1,0,14
Total,83,1,25,24,21,12,3,0,14
,Bob Casey Jr,Write In,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,0,15
Bob Casey Jr,3,0,20,19,9,6,1,0,15
Write In,,1,0,0,0,0,0,0,15
Mike Stack,,,1,0,0,0,0,0,15
Nina Ahmad,,,,1,0,0,0,0,15
John Fetterman,,,,,3,0,0,0,15
Kathi Cozzone,,,,,,2,0,0,15
Ray Sosa,,,,,,,1,0,15
Total,63,1,22,21,13,9,3,0,15
,Bob Casey Jr,Write In,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,0,16
Bob Casey Jr,4,0,43,23,21,4,0,0,16
Write In,,1,0,0,0,0,0,0,16
Nina Ahmad,,,2,0,0,0,0,0,16
John Fetterman,,,,2,0,0,0,0,16
Mike Stack,,,,,1,0,0,0,16
Kathi Cozzone,,,,,,3,0,0,16
Ray Sosa,,,,,,,1,0,16
Total,99,1,46,26,23,8,1,0,16
,Bob Casey Jr,Write In,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,0,17
Bob Casey Jr,8,0,47,43,26,10,1,0,17
Write In,,1,0,0,0,0,0,0,17
John Fetterman,,,2,0,0,0,0,0,17
Nina Ahmad,,,,2,0,0,0,0,17
Mike Stack,,,,,5,0,0,0,17
Kathi Cozzone,,,,,,1,0,0,17
Ray Sosa,,,,,,,1,0,17
Total,140,1,50,46,32,12,3,0,17
