col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,order,division
,James Harrity,Mona Getzes Cohen,Catherine Bartch,Erica Vanstone,Richard Lombardo,Meagan Ingerson,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,Brendan F Boyle,Michele Lawrence,2,9
James Harrity,1,9,12,12,12,10,10,11,9,11,6,3,9
Mona Getzes Cohen,,3,8,8,7,10,7,4,5,6,6,4,9
Catherine Bartch,,,0,12,12,9,11,9,11,9,5,5,9
Erica Vanstone,,,,0,12,8,10,9,10,9,5,6,9
Richard Lombardo,,,,,0,9,10,10,9,8,6,7,9
Meagan Ingerson,,,,,,1,7,5,6,5,7,8,9
Billy Cortes,,,,,,,0,8,9,8,4,9,9
Frank T Brzozowski,,,,,,,,0,7,7,5,10,9
Marnie Aument Loughrey,,,,,,,,,0,7,4,11,9
Brendan F Boyle,,,,,,,,,,2,0,12,9
Michele Lawrence,,,,,,,,,,,1,13,9
Total,18,15,14,14,14,13,12,12,11,13,11,14,9
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,10
,Erica Vanstone,Mona Getzes Cohen,Billy Cortes,James Harrity,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Meagan Ingerson,Brendan F Boyle,Michele Lawrence,2,10
Erica Vanstone,0,10,19,15,17,17,17,15,11,13,9,3,10
Mona Getzes Cohen,,2,8,7,6,6,5,4,12,5,12,4,10
Billy Cortes,,,0,14,17,15,15,13,9,13,5,5,10
James Harrity,,,,0,14,11,13,10,7,13,5,6,10
Richard Lombardo,,,,,0,13,14,12,7,13,5,7,10
Catherine Bartch,,,,,,0,13,13,7,10,6,8,10
Frank T Brzozowski,,,,,,,0,14,6,12,5,9,10
Marnie Aument Loughrey,,,,,,,,0,5,10,5,10,10
Meagan Ingerson,,,,,,,,,0,4,10,11,10
Brendan F Boyle,,,,,,,,,,4,0,12,10
Michele Lawrence,,,,,,,,,,,0,13,10
Total,23,20,19,19,19,17,17,15,15,20,19,14,10
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,11
,James Harrity,Richard Lombardo,Erica Vanstone,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,Mona Getzes Cohen,Meagan Ingerson,Brendan F Boyle,Michele Lawrence,2,11
James Harrity,0,28,27,24,23,23,19,15,16,27,14,3,11
Richard Lombardo,,0,32,29,27,27,23,11,13,25,6,4,11
Erica Vanstone,,,0,28,26,26,21,11,13,25,6,5,11
Catherine Bartch,,,,0,23,24,21,10,11,24,5,6,11
Frank T Brzozowski,,,,,0,21,21,5,6,22,3,7,11
Marnie Aument Loughrey,,,,,,0,21,8,8,21,5,8,11
Billy Cortes,,,,,,,0,2,4,19,2,9,11
Mona Getzes Cohen,,,,,,,,1,16,8,13,10,11
Meagan Ingerson,,,,,,,,,0,9,10,11,11
Brendan F Boyle,,,,,,,,,,1,0,12,11
Michele Lawrence,,,,,,,,,,,0,13,11
Total,42,34,33,31,27,27,23,22,20,33,20,14,11
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,12
,James Harrity,Mona Getzes Cohen,Billy Cortes,Marnie Aument Loughrey,Meagan Ingerson,Richard Lombardo,Erica Vanstone,Catherine Bartch,Frank T Brzozowski,Brendan F Boyle,Michele Lawrence,2,12
James Harrity,0,12,10,10,10,8,9,9,8,15,6,3,12
Mona Getzes Cohen,,0,7,6,10,4,5,5,5,10,9,4,12
Billy Cortes,,,0,12,6,9,9,9,7,9,4,5,12
Marnie Aument Loughrey,,,,0,6,8,9,9,7,8,4,6,12
Meagan Ingerson,,,,,1,3,5,5,3,5,5,7,12
Richard Lombardo,,,,,,0,8,6,8,9,3,8,12
Erica Vanstone,,,,,,,0,9,7,8,3,9,12
Catherine Bartch,,,,,,,,0,6,8,2,10,12
Frank T Brzozowski,,,,,,,,,0,9,1,11,12
Brendan F Boyle,,,,,,,,,,1,0,12,12
Michele Lawrence,,,,,,,,,,,1,13,12
Total,22,20,13,12,12,12,11,10,10,20,13,14,12
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,13
,James Harrity,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Billy Cortes,Erica Vanstone,Marnie Aument Loughrey,Mona Getzes Cohen,Meagan Ingerson,Brendan F Boyle,Michele Lawrence,2,13
James Harrity,0,18,16,15,15,16,12,5,5,16,8,3,13
Richard Lombardo,,0,17,17,17,17,12,5,6,14,4,4,13
Catherine Bartch,,,0,16,16,15,12,5,5,13,3,5,13
Frank T Brzozowski,,,,0,15,15,11,5,4,14,1,6,13
Billy Cortes,,,,,0,15,11,4,4,12,3,7,13
Erica Vanstone,,,,,,0,11,3,4,12,3,8,13
Marnie Aument Loughrey,,,,,,,0,2,3,12,1,9,13
Mona Getzes Cohen,,,,,,,,0,4,5,5,10,13
Meagan Ingerson,,,,,,,,,0,5,2,11,13
Brendan F Boyle,,,,,,,,,,4,0,12,13
Michele Lawrence,,,,,,,,,,,0,13,13
Total,25,20,18,18,17,17,13,11,7,23,11,14,13
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,14
,James Harrity,Erica Vanstone,Catherine Bartch,Richard Lombardo,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,Mona Getzes Cohen,Meagan Ingerson,Brendan F Boyle,Michele Lawrence,2,14
James Harrity,0,33,30,30,27,29,27,19,17,31,14,3,14
Erica Vanstone,,1,31,30,28,27,26,13,11,27,8,4,14
Catherine Bartch,,,0,28,26,26,24,12,10,23,10,5,14
Richard Lombardo,,,,0,27,26,24,10,9,24,8,6,14
Frank T Brzozowski,,,,,0,22,24,9,6,22,8,7,14
Billy Cortes,,,,,,0,24,9,7,23,6,8,14
Marnie Aument Loughrey,,,,,,,0,9,7,22,6,9,14
Mona Getzes Cohen,,,,,,,,2,18,9,16,10,14
Meagan Ingerson,,,,,,,,,0,9,14,11,14
Brendan F Boyle,,,,,,,,,,3,0,12,14
Michele Lawrence,,,,,,,,,,,3,13,14
Total,45,36,33,32,30,29,28,27,23,36,27,14,14
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,15
,Mona Getzes Cohen,James Harrity,Meagan Ingerson,Erica Vanstone,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Richard Lombardo,Billy Cortes,Brendan F Boyle,Michele Lawrence,2,15
Mona Getzes Cohen,0,12,14,9,7,5,4,6,6,11,13,3,15
James Harrity,,0,15,13,11,10,8,11,10,9,12,4,15
Meagan Ingerson,,,0,13,12,7,8,7,7,11,9,5,15
Erica Vanstone,,,,0,12,10,10,10,8,7,9,6,15
Catherine Bartch,,,,,0,6,11,6,9,7,7,7,15
Frank T Brzozowski,,,,,,0,7,9,6,6,5,8,15
Marnie Aument Loughrey,,,,,,,0,5,6,5,6,9,15
Richard Lombardo,,,,,,,,0,6,4,7,10,15
Billy Cortes,,,,,,,,,0,4,5,11,15
Brendan F Boyle,,,,,,,,,,4,0,12,15
Michele Lawrence,,,,,,,,,,,0,13,15
Total,24,22,20,17,15,12,12,12,10,21,20,14,15
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,16
,Mona Getzes Cohen,James Harrity,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,Catherine Bartch,Michele Lawrence,Brendan F Boyle,2,16
Mona Getzes Cohen,2,14,17,13,11,7,7,7,7,16,9,3,16
James Harrity,,0,14,13,13,10,10,11,8,10,12,4,16
Meagan Ingerson,,,0,11,11,7,5,7,8,15,7,5,16
Erica Vanstone,,,,0,16,11,11,11,10,11,7,6,16
Richard Lombardo,,,,,0,12,9,11,10,9,8,7,16
Billy Cortes,,,,,,0,7,9,8,6,5,8,16
Frank T Brzozowski,,,,,,,0,8,5,5,6,9,16
Marnie Aument Loughrey,,,,,,,,0,7,6,5,10,16
Catherine Bartch,,,,,,,,,0,6,5,11,16
Michele Lawrence,,,,,,,,,,1,0,12,16
Brendan F Boyle,,,,,,,,,,,2,13,16
Total,27,23,22,19,18,12,12,12,11,23,19,14,16
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,17
,James Harrity,Richard Lombardo,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,Meagan Ingerson,Marnie Aument Loughrey,Mona Getzes Cohen,Billy Cortes,Brendan F Boyle,Michele Lawrence,2,17
James Harrity,1,16,16,15,15,12,14,14,10,16,10,3,17
Richard Lombardo,,0,15,17,15,9,11,8,8,14,6,4,17
Catherine Bartch,,,0,15,14,10,13,10,8,12,6,5,17
Erica Vanstone,,,,0,15,8,11,9,7,12,6,6,17
Frank T Brzozowski,,,,,0,10,12,7,8,11,7,7,17
Meagan Ingerson,,,,,,0,7,11,3,8,7,8,17
Marnie Aument Loughrey,,,,,,,0,8,8,11,5,9,17
Mona Getzes Cohen,,,,,,,,0,3,10,4,10,17
Billy Cortes,,,,,,,,,0,7,3,11,17
Brendan F Boyle,,,,,,,,,,0,0,12,17
Michele Lawrence,,,,,,,,,,,0,13,17
Total,29,21,19,19,19,17,16,16,10,21,12,14,17
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,18
,Richard Lombardo,James Harrity,Billy Cortes,Frank T Brzozowski,Erica Vanstone,Meagan Ingerson,Mona Getzes Cohen,Marnie Aument Loughrey,Catherine Bartch,Brendan F Boyle,Michele Lawrence,2,18
Richard Lombardo,6,14,14,12,11,5,6,8,6,17,6,3,18
James Harrity,,1,12,10,9,9,6,7,3,13,5,4,18
Billy Cortes,,,0,12,11,5,5,8,5,10,4,5,18
Frank T Brzozowski,,,,0,11,5,5,8,5,10,3,6,18
Erica Vanstone,,,,,0,5,5,8,6,9,2,7,18
Meagan Ingerson,,,,,,0,7,4,1,7,3,8,18
Mona Getzes Cohen,,,,,,,0,3,3,5,5,9,18
Marnie Aument Loughrey,,,,,,,,0,6,8,1,10,18
Catherine Bartch,,,,,,,,,0,5,1,11,18
Brendan F Boyle,,,,,,,,,,1,0,12,18
Michele Lawrence,,,,,,,,,,,0,13,18
Total,29,19,14,13,12,11,11,10,7,24,8,14,18
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,19
,Brendan F Boyle,Michele Lawrence,Richard Lombardo,Erica Vanstone,Frank T Brzozowski,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Meagan Ingerson,Mona Getzes Cohen,Billy Cortes,2,19
Brendan F Boyle,4,0,14,14,12,11,11,11,6,5,3,3,19
Michele Lawrence,,1,2,3,1,2,1,1,3,5,1,4,19
Richard Lombardo,,,1,14,12,10,10,11,7,5,3,5,19
Erica Vanstone,,,,0,13,11,12,12,8,6,4,6,19
Frank T Brzozowski,,,,,0,9,9,10,5,4,3,7,19
James Harrity,,,,,,0,8,8,7,5,2,8,19
Catherine Bartch,,,,,,,0,11,5,3,3,9,19
Marnie Aument Loughrey,,,,,,,,0,5,4,3,10,19
Meagan Ingerson,,,,,,,,,0,7,3,11,19
Mona Getzes Cohen,,,,,,,,,,0,3,12,19
Billy Cortes,,,,,,,,,,,0,13,19
Total,22,7,18,17,13,13,12,12,10,10,4,14,19
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,20
,Brendan F Boyle,Michele Lawrence,James Harrity,Catherine Bartch,Mona Getzes Cohen,Richard Lombardo,Erica Vanstone,Frank T Brzozowski,Marnie Aument Loughrey,Meagan Ingerson,Billy Cortes,2,20
Brendan F Boyle,4,0,22,17,18,16,13,16,13,14,10,3,20
Michele Lawrence,,2,5,5,5,3,5,2,4,4,3,4,20
James Harrity,,,2,20,16,20,18,18,16,15,15,5,20
Catherine Bartch,,,,0,12,19,18,18,18,10,15,6,20
Mona Getzes Cohen,,,,,0,9,9,8,9,15,6,7,20
Richard Lombardo,,,,,,0,17,18,15,10,14,8,20
Erica Vanstone,,,,,,,0,16,15,9,13,9,20
Frank T Brzozowski,,,,,,,,0,15,9,11,10,20
Marnie Aument Loughrey,,,,,,,,,0,7,13,11,20
Meagan Ingerson,,,,,,,,,,0,5,12,20
Billy Cortes,,,,,,,,,,,0,13,20
Total,33,9,32,24,24,21,20,20,19,18,16,14,20
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,21
,Brendan F Boyle,Michele Lawrence,James Harrity,Meagan Ingerson,Richard Lombardo,Frank T Brzozowski,Mona Getzes Cohen,Erica Vanstone,Billy Cortes,Marnie Aument Loughrey,Catherine Bartch,2,21
Brendan F Boyle,5,0,10,10,9,9,6,6,5,6,5,3,21
Michele Lawrence,,3,7,8,7,6,8,7,6,5,2,4,21
James Harrity,,,2,12,13,11,10,11,7,8,6,5,21
Meagan Ingerson,,,,0,12,10,12,10,6,8,4,6,21
Richard Lombardo,,,,,0,15,11,14,9,11,8,7,21
Frank T Brzozowski,,,,,,0,10,12,9,9,7,8,21
Mona Getzes Cohen,,,,,,,1,10,6,7,5,9,21
Erica Vanstone,,,,,,,,0,9,9,7,10,21
Billy Cortes,,,,,,,,,0,6,3,11,21
Marnie Aument Loughrey,,,,,,,,,,0,4,12,21
Catherine Bartch,,,,,,,,,,,0,13,21
Total,20,13,20,18,17,16,16,14,11,11,8,14,21
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,22
,Brendan F Boyle,Michele Lawrence,Mona Getzes Cohen,James Harrity,Richard Lombardo,Frank T Brzozowski,Meagan Ingerson,Erica Vanstone,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,2,22
Brendan F Boyle,4,0,6,5,6,5,4,4,3,3,2,3,22
Michele Lawrence,,1,6,4,3,2,4,3,2,2,0,4,22
Mona Getzes Cohen,,,1,8,5,4,6,5,3,2,1,5,22
James Harrity,,,,0,7,6,6,6,5,4,3,6,22
Richard Lombardo,,,,,0,8,4,7,6,6,3,7,22
Frank T Brzozowski,,,,,,0,3,6,5,5,3,8,22
Meagan Ingerson,,,,,,,0,4,2,2,0,9,22
Erica Vanstone,,,,,,,,0,4,4,2,10,22
Catherine Bartch,,,,,,,,,0,4,3,11,22
Marnie Aument Loughrey,,,,,,,,,,0,2,12,22
Billy Cortes,,,,,,,,,,,0,13,22
Total,15,8,13,10,10,8,8,7,6,6,3,14,22
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,23
,Brendan F Boyle,Michele Lawrence,James Harrity,Richard Lombardo,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,Mona Getzes Cohen,Billy Cortes,Marnie Aument Loughrey,Meagan Ingerson,2,23
Brendan F Boyle,3,0,6,7,4,6,5,4,4,3,5,3,23
Michele Lawrence,,2,3,3,4,2,3,3,3,4,1,4,23
James Harrity,,,0,7,5,5,7,4,6,6,3,5,23
Richard Lombardo,,,,0,6,6,8,4,7,6,3,6,23
Catherine Bartch,,,,,0,6,6,3,6,6,2,7,23
Erica Vanstone,,,,,,0,6,4,5,5,4,8,23
Frank T Brzozowski,,,,,,,0,4,7,6,3,9,23
Mona Getzes Cohen,,,,,,,,0,3,3,5,10,23
Billy Cortes,,,,,,,,,0,5,2,11,23
Marnie Aument Loughrey,,,,,,,,,,0,2,12,23
Meagan Ingerson,,,,,,,,,,,0,13,23
Total,16,7,10,10,8,8,8,8,7,7,7,14,23
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,24
,James Harrity,Richard Lombardo,Erica Vanstone,Mona Getzes Cohen,Catherine Bartch,Meagan Ingerson,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,Brendan F Boyle,Michele Lawrence,2,24
James Harrity,0,16,14,13,12,12,12,10,9,15,4,3,24
Richard Lombardo,,0,17,13,15,14,14,13,11,13,6,4,24
Erica Vanstone,,,0,12,13,13,13,12,9,13,5,5,24
Mona Getzes Cohen,,,,0,10,15,9,7,6,11,5,6,24
Catherine Bartch,,,,,0,11,9,12,8,11,4,7,24
Meagan Ingerson,,,,,,0,10,8,6,9,5,8,24
Frank T Brzozowski,,,,,,,0,7,7,10,3,9,24
Marnie Aument Loughrey,,,,,,,,0,8,10,4,10,24
Billy Cortes,,,,,,,,,0,7,3,11,24
Brendan F Boyle,,,,,,,,,,1,0,12,24
Michele Lawrence,,,,,,,,,,,1,13,24
Total,21,20,18,18,16,16,14,14,11,19,8,14,24
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,25
,Brendan F Boyle,Michele Lawrence,Mona Getzes Cohen,James Harrity,Richard Lombardo,Erica Vanstone,Meagan Ingerson,Frank T Brzozowski,Billy Cortes,Catherine Bartch,Marnie Aument Loughrey,2,25
Brendan F Boyle,2,0,8,8,8,6,7,5,5,4,4,3,25
Michele Lawrence,,1,6,4,3,4,3,4,2,2,2,4,25
Mona Getzes Cohen,,,0,9,8,7,7,7,4,4,3,5,25
James Harrity,,,,0,9,10,9,9,6,5,6,6,25
Richard Lombardo,,,,,0,8,8,7,7,5,4,7,25
Erica Vanstone,,,,,,0,8,8,6,4,5,8,25
Meagan Ingerson,,,,,,,0,7,5,4,5,9,25
Frank T Brzozowski,,,,,,,,0,4,4,5,10,25
Billy Cortes,,,,,,,,,0,4,2,11,25
Catherine Bartch,,,,,,,,,,0,3,12,25
Marnie Aument Loughrey,,,,,,,,,,,0,13,25
Total,15,7,15,12,12,10,10,9,7,6,6,14,25
