To Remove,Governor Democrat,To Remove 2,Lieutenant,To Remove 3,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
Nina Ahmad,,,,,1,0,0,0,24
John Fetterman,,,,,,1,0,0,24
Ray Sosa,,,,,,,1,0,24
Total,65,1,23,20,9,8,1,0,24
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,0,25
Tom Wolf,4,0,35,10,4,0,0,0,25
Write In,,1,0,0,0,0,0,0,25
Mike Stack,,,3,0,0,0,0,0,25
Kathi Cozzone,,,,3,0,0,0,0,25
Nina Ahmad,,,,,1,0,0,0,25
John Fetterman,,,,,,1,0,0,25
Ray Sosa,,,,,,,1,0,25
Total,58,1,39,14,6,2,2,0,25
,Tom Wolf,Write In,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,0,26
Tom Wolf,11,0,14,13,8,1,0,0,26
Write In,,1,0,0,0,0,0,0,26
Kathi Cozzone,,,3,0,0,0,0,0,26
Mike Stack,,,,3,0,0,0,0,26
Nina Ahmad,,,,,1,0,0,0,26
John Fetterman,,,,,,1,0,0,26
Ray Sosa,,,,,,,1,0,26
Total,51,1,18,17,10,3,1,0,26
,Tom Wolf,Write In,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,0,27
Tom Wolf,9,0,10,5,4,2,0,0,27
Write In,,1,0,0,0,0,0,0,27
Kathi Cozzone,,,1,0,0,0,0,0,27
Mike Stack,,,,1,0,0,0,0,27
Nina Ahmad,,,,,1,0,0,0,27
John Fetterman,,,,,,1,0,0,27
Ray Sosa,,,,,,,1,0,27
Total,35,1,12,7,6,4,2,0,27
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,0,28
Tom Wolf,10,0,36,22,6,2,1,0,28
Write In,,1,0,0,0,0,0,0,28
Mike Stack,,,1,0,0,0,0,0,28
Kathi Cozzone,,,,2,0,0,0,0,28
Nina Ahmad,,,,,2,0,0,0,28
John Fetterman,,,,,,2,0,0,28
Ray Sosa,,,,,,,1,0,28
Total,82,1,38,25,9,5,3,0,28
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,0,29
Tom Wolf,11,0,22,4,4,0,0,0,29
Write In,,1,0,0,0,0,0,0,29
Mike Stack,,,2,0,0,0,0,0,29
Kathi Cozzone,,,,2,0,0,0,0,29
Nina Ahmad,,,,,1,0,0,0,29
John Fetterman,,,,,,2,0,0,29
Ray Sosa,,,,,,,1,0,29
Total,45,1,25,7,6,3,1,0,29
,Tom Wolf,Write In,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,0,30
Tom Wolf,6,0,43,11,4,0,0,0,30
Write In,,1,0,0,0,0,0,0,30
Mike Stack,,,1,0,0,0,0,0,30
Nina Ahmad,,,,1,0,0,0,0,30
Kathi Cozzone,,,,,3,0,0,0,30
John Fetterman,,,,,,1,0,0,30
Ray Sosa,,,,,,,1,0,30
Total,68,1,45,13,8,2,1,0,30
,Tom Wolf,Write In,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,0,31
Tom Wolf,11,0,21,15,11,9,0,0,31
Write In,,1,0,0,0,0,0,0,31
Kathi Cozzone,,,1,0,0,0,0,0,31
Mike Stack,,,,3,0,0,0,0,31
Nina Ahmad,,,,,2,0,0,0,31
John Fetterman,,,,,,2,0,0,31
Ray Sosa,,,,,,,1,0,31
Total,72,1,23,19,14,12,2,0,31
