col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,19
,Bob Casey Jr,Erica Vanstone,Meagan Ingerson,James Harrity,Frank T Brzozowski,Catherine Bartch,Marnie Aument Loughrey,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,2,19
Bob Casey Jr,18,64,64,63,54,53,47,46,44,42,3,19
Erica Vanstone,,1,40,46,49,51,44,38,43,39,4,19
Meagan Ingerson,,,1,31,30,30,23,40,20,17,5,19
James Harrity,,,,0,42,37,32,28,38,33,6,19
Frank T Brzozowski,,,,,0,40,37,26,40,37,7,19
Catherine Bartch,,,,,,0,44,31,38,35,8,19
Marnie Aument Loughrey,,,,,,,0,24,35,33,9,19
Mona Getzes Cohen,,,,,,,,0,23,18,10,19
Richard Lombardo,,,,,,,,,0,34,11,19
Billy Cortes,,,,,,,,,,0,12,19
Total,124,67,67,65,56,55,49,49,47,43,13,19
