col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
John Fetterman,,,8,0,0,0,0,0,0,0,5,11
Nina Ahmad,,,,4,0,0,0,0,0,0,6,11
Ray Sosa,,,,,0,0,0,0,0,0,7,11
James G Donnelly Sr,,,,,,0,0,0,0,0,8,11
John Dellricci,,,,,,,0,0,0,0,9,11
Kathy Enggasser,,,,,,,,0,0,0,10,11
Mary Ann Quartullo,,,,,,,,,0,0,11,11
Patrick Parkinson,,,,,,,,,,0,12,11
Total,22,9,8,4,0,0,0,0,0,0,13,11
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,12
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,12
Mike Stack,13,0,0,0,0,0,0,0,0,0,3,12
Kathi Cozzone,,6,0,0,0,0,0,0,0,0,4,12
Nina Ahmad,,,4,0,0,0,0,0,0,0,5,12
John Fetterman,,,,3,0,0,0,0,0,0,6,12
Ray Sosa,,,,,0,0,0,0,0,0,7,12
James G Donnelly Sr,,,,,,0,0,0,0,0,8,12
John Dellricci,,,,,,,0,0,0,0,9,12
Kathy Enggasser,,,,,,,,0,0,0,10,12
Mary Ann Quartullo,,,,,,,,,0,0,11,12
Patrick Parkinson,,,,,,,,,,0,12,12
Total,13,6,4,3,0,0,0,0,0,0,13,12
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,13
,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,13
Mike Stack,23,0,0,0,0,0,0,0,0,0,3,13
John Fetterman,,16,0,0,0,0,0,0,0,0,4,13
Kathi Cozzone,,,7,0,0,0,0,0,0,0,5,13
Nina Ahmad,,,,4,0,0,0,0,0,0,6,13
Ray Sosa,,,,,0,0,0,0,0,0,7,13
James G Donnelly Sr,,,,,,0,0,0,0,0,8,13
John Dellricci,,,,,,,0,0,0,0,9,13
Kathy Enggasser,,,,,,,,0,0,0,10,13
Mary Ann Quartullo,,,,,,,,,0,0,11,13
Patrick Parkinson,,,,,,,,,,0,12,13
Total,23,16,7,4,0,0,0,0,0,0,13,13
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,14
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,14
Mike Stack,20,0,0,0,0,0,0,0,0,0,3,14
John Fetterman,,12,0,0,0,0,0,0,0,0,4,14
Nina Ahmad,,,5,0,0,0,0,0,0,0,5,14
Kathi Cozzone,,,,3,0,0,0,0,0,0,6,14
Ray Sosa,,,,,0,0,0,0,0,0,7,14
James G Donnelly Sr,,,,,,0,0,0,0,0,8,14
John Dellricci,,,,,,,0,0,0,0,9,14
Kathy Enggasser,,,,,,,,0,0,0,10,14
Mary Ann Quartullo,,,,,,,,,0,0,11,14
Patrick Parkinson,,,,,,,,,,0,12,14
Total,20,12,5,3,0,0,0,0,0,0,13,14
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,Lieutenant Governor - Democrat,,,,,1,15
,Mary Ann Quartullo,Kathy Enggasser,John Dellricci,Patrick Parkinson,James G Donnelly Sr,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,15
Mary Ann Quartullo,0,38,37,38,37,21,13,5,6,0,3,15
Kathy Enggasser,,0,33,36,33,19,13,5,5,0,4,15
John Dellricci,,,1,34,34,19,11,5,5,0,5,15
Patrick Parkinson,,,,0,35,19,11,5,6,0,6,15
James G Donnelly Sr,,,,,0,18,10,4,6,0,7,15
Mike Stack,,,,,,10,0,0,0,0,8,15
Kathi Cozzone,,,,,,,1,0,0,0,9,15
John Fetterman,,,,,,,,3,0,0,10,15
Nina Ahmad,,,,,,,,,0,0,11,15
Ray Sosa,,,,,,,,,,0,12,15
Total,46,43,42,42,39,41,16,9,6,0,13,15
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,16
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,16
Mike Stack,34,0,0,0,0,0,0,0,0,0,3,16
John Fetterman,,9,0,0,0,0,0,0,0,0,4,16
Nina Ahmad,,,8,0,0,0,0,0,0,0,5,16
Kathi Cozzone,,,,2,0,0,0,0,0,0,6,16
Ray Sosa,,,,,0,0,0,0,0,0,7,16
James G Donnelly Sr,,,,,,0,0,0,0,0,8,16
John Dellricci,,,,,,,0,0,0,0,9,16
Kathy Enggasser,,,,,,,,0,0,0,10,16
Mary Ann Quartullo,,,,,,,,,0,0,11,16
Patrick Parkinson,,,,,,,,,,0,12,16
Total,34,9,8,2,0,0,0,0,0,0,13,16
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,17
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,17
Mike Stack,32,0,0,0,0,0,0,0,0,0,3,17
John Fetterman,,6,0,0,0,0,0,0,0,0,4,17
Nina Ahmad,,,6,0,0,0,0,0,0,0,5,17
Kathi Cozzone,,,,3,0,0,0,0,0,0,6,17
Ray Sosa,,,,,1,0,0,0,0,0,7,17
James G Donnelly Sr,,,,,,0,0,0,0,0,8,17
John Dellricci,,,,,,,0,0,0,0,9,17
Kathy Enggasser,,,,,,,,0,0,0,10,17
Mary Ann Quartullo,,,,,,,,,0,0,11,17
Patrick Parkinson,,,,,,,,,,0,12,17
Total,32,6,6,3,1,0,0,0,0,0,13,17
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,18
,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,18
Mike Stack,29,0,0,0,0,0,0,0,0,0,3,18
Nina Ahmad,,20,0,0,0,0,0,0,0,0,4,18
John Fetterman,,,18,0,0,0,0,0,0,0,5,18
Kathi Cozzone,,,,12,0,0,0,0,0,0,6,18
Ray Sosa,,,,,1,0,0,0,0,0,7,18
James G Donnelly Sr,,,,,,0,0,0,0,0,8,18
John Dellricci,,,,,,,0,0,0,0,9,18
Kathy Enggasser,,,,,,,,0,0,0,10,18
Mary Ann Quartullo,,,,,,,,,0,0,11,18
Patrick Parkinson,,,,,,,,,,0,12,18
Total,29,20,18,12,1,0,0,0,0,0,13,18
