col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,All
,Mary Murray,Emil Giordano,Craig Stedman,Wade A Kagarise,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Jules Mermelstein,Marissa Brumbach,Matt Wolf,All
Total,42,32,28,27,27,25,24,21,0,37,33,9
,Judge Of The Municipal Court,,Judge Of The Superior Court,,,,,,,,,10
,Marissa Brumbach,Matt Wolf,Mary Murray,Maria Mclaughlin,Carolyn H Nichols,Emil Giordano,Craig Stedman,Geoff Moulton,Wade A Kagarise,Debbie Kunselman,Jules Mermelstein,10
Marissa Brumbach,0,36,12,39,39,8,6,32,5,30,4,10
Matt Wolf,,0,10,34,32,7,4,28,3,26,2,10
Mary Murray,,,1,9,9,34,34,1,31,4,2,10
Maria Mclaughlin,,,,0,37,5,2,32,3,29,2,10
Carolyn H Nichols,,,,,0,3,3,29,2,28,2,10
Emil Giordano,,,,,,0,31,2,30,1,0,10
Craig Stedman,,,,,,,0,0,31,1,1,10
Geoff Moulton,,,,,,,,1,2,25,1,10
Wade A Kagarise,,,,,,,,,0,0,0,10
Debbie Kunselman,,,,,,,,,,0,4,10
Jules Mermelstein,,,,,,,,,,,0,10
Total,46,38,44,42,41,36,35,33,33,31,4,10
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,11
,Mary Murray,Emil Giordano,Craig Stedman,Maria Mclaughlin,Wade A Kagarise,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Jules Mermelstein,Matt Wolf,Marissa Brumbach,11
Mary Murray,0,44,41,7,42,3,3,1,2,15,12,11
Emil Giordano,,0,39,5,40,2,2,1,3,14,10,11
Craig Stedman,,,2,2,40,2,1,1,2,14,10,11
Maria Mclaughlin,,,,4,2,26,25,25,2,31,31,11
Wade A Kagarise,,,,,0,1,1,1,2,11,7,11
Carolyn H Nichols,,,,,,0,22,23,2,25,24,11
Geoff Moulton,,,,,,,0,24,0,24,22,11
Debbie Kunselman,,,,,,,,0,1,24,21,11
Jules Mermelstein,,,,,,,,,0,3,5,11
Matt Wolf,,,,,,,,,,0,34,11
