col_1,col_2,col_3,col_4,col_5,division
,Christine Fizzano Cannon,Paul Lalley,Ellen Ceisler,Irene M Clark,41
Christine Fizzano Cannon,5,48,13,2,41
Paul Lalley,,3,1,0,41
Ellen Ceisler,,,3,29,41
Irene M Clark,,,,2,41
Total,68,52,46,33,41
,Judge Of The Commonwealth Court,,,,42
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,42
Ellen Ceisler,6,56,9,1,42
Irene M Clark,,3,0,1,42
Christine Fizzano Cannon,,,3,34,42
Paul Lalley,,,,0,42
Total,72,60,46,36,42
,Judge Of The Commonwealth Court,,,,43
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,43
Ellen Ceisler,6,38,5,0,43
Irene M Clark,,1,1,0,43
Christine Fizzano Cannon,,,6,25,43
Paul Lalley,,,,0,43
Total,49,40,37,25,43
,Judge Of The Commonwealth Court,,,,44
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,44
Ellen Ceisler,1,37,5,1,44
Irene M Clark,,2,1,0,44
Christine Fizzano Cannon,,,6,20,44
Paul Lalley,,,,0,44
Total,44,40,32,21,44
,Judge Of The Commonwealth Court,,,,45
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,45
Ellen Ceisler,22,141,24,1,45
Irene M Clark,,7,2,1,45
Christine Fizzano Cannon,,,20,27,45
Paul Lalley,,,,1,45
Total,188,151,73,30,45
,Judge Of The Commonwealth Court,,,,46
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,46
Ellen Ceisler,28,155,19,0,46
Irene M Clark,,10,3,0,46
Christine Fizzano Cannon,,,8,42,46
Paul Lalley,,,,3,46
Total,202,168,72,45,46
